material_id,Name,Coeff_C,unscaled_Coeff_C
mp-1183115,AcAlO3,1.046405540708463,0.025420482166182312
mp-1183052,AcBO3,0.8907040788109271,0.019547288743324467
mp-866101,AcCrO3,0.6720915996920667,0.011301037495147463
mp-864606,AcCuO3,0.88051509820923,0.019162951607845972
mp-861502,AcFeO3,0.6992597580809274,0.01232584385994334
mp-1183053,AcGaO3,0.675693153649263,0.01143689121646572
mp-1183142,AcMgO3,0.7708653028201411,0.015026866761573261
mp-864911,AcMnO3,0.6301346667935945,0.009718385801711473
mp-1183139,AcNiO3,0.6049708873349573,0.008769186338780465
mp-1183145,AcPdO3,0.34108618281453573,-0.0011847722952242016
mp-1183152,AcScO3,0.4691589390965305,0.003646242524262164
mp-1183150,AcSiO3,0.6186355559153753,0.00928462942231977
mp-865927,AcTiO3,0.6279606851517201,0.00963638133929433
mp-1183168,AcVO3,0.5799943772951792,0.007827050839833755
mp-558950,AgAsO3,0.3065325166116395,-0.0024881663841764736
mp-1178563,AgAsO3,0.8650845941616012,0.018580899687591336
mp-775767,AgAsO3,0.5538331984149636,0.00684022861054342
mp-776165,AgAuO3,0.5973083310157108,0.008480148106075289
mp-752678,AgAuO3,0.6985281643933376,0.012298247515106291
mp-775774,AgBiO3,0.6518003012303097,0.01053563221754472
mp-23548,AgBiO3,0.616680232028898,0.009210872919011069
mp-780275,AgBO3,1.1191598642195117,0.028164837993815854
mp-985292,AgBO3,1.2038261713610723,0.031358524117127355
mp-1178562,AgBrO3,0.3472568901657951,-0.0009520078921921547
mp-776199,AgClO3,0.1269925076526306,-0.00926057036103713
mp-775761,AgClO3,0.16565433936256113,-0.007802212726194689
mp-27941,AgClO3,0.15985153949037567,-0.008021099341825235
mp-1178561,AgClO3,0.3609594621956944,-0.000435135057849716
mp-753176,AgCO3,0.6903692990757122,0.011990488078955365
mp-891880,AgGeO3,0.5133609441224394,0.005313580274540578
mp-891854,AgGeO3,0.7131154650124927,0.012848493074843247
mp-779706,AgGeO3,0.5202786723859845,0.00557452295062995
mp-759939,AgGeO3,1.0133965961759372,0.02417535631083556
mp-779664,AgGeO3,0.7126872897722478,0.012832341935514241
mp-27384,AgIO3,0.0519623144406296,-0.012090773956546542
mp-1202188,AgIO3,0.0638037910708249,-0.011644103245727167
mp-849271,AgIO3,0.1183282260760734,-0.009587394534356143
mp-1178556,AgPbO3,0.7628595799874915,0.014724883992028792
mp-776166,AgPdO3,0.7920263314526323,0.015825079011288955
mp-18702,AgPO3,0.4707633619178182,0.003706762736767755
mp-775762,AgPO3,0.7491844671542367,0.014209046942265149
mp-5470,AgPS3,-0.029824731006215188,-0.015175851845599981
mp-776168,AgRuO3,0.6737698876530089,0.011364343964423611
mp-540872,AgSbO3,0.554569149070403,0.006867989303965294
mp-860791,AgSbO3,0.3820052739361586,0.00035873111133334114
mp-677054,AgSbO3,0.25133373530826475,-0.004570312019482676
mp-545999,AgSbO3,0.7091391630622752,0.012698503536038
mp-755834,AgSnO3,0.8807413112120912,0.019171484557404556
mp-1404877,AlAgO3,1.0958044681494812,0.027283852311889414
mp-1183169,AlAgO3,1.410987237222514,0.03917281818130465
