material_id,Name,Coeff_B,unscaled_Coeff_B
mp-1183115,AcAlO3,0.521946199366397,-0.00021951198197525462
mp-1183052,AcBO3,0.8129924644716056,-0.00020320328825781996
mp-866101,AcCrO3,0.35870334594841324,-0.00022865924829386415
mp-864606,AcCuO3,0.40297312226712734,-0.00022617860411634734
mp-861502,AcFeO3,0.3307551865052005,-0.00023022531536626113
mp-1183053,AcGaO3,0.05006167809288797,-0.00024595389534138565
mp-1183142,AcMgO3,0.3127752215034576,-0.00023123281753144995
mp-864911,AcMnO3,0.27814046917912094,-0.00023317356591189258
mp-1183139,AcNiO3,0.1960331358208265,-0.0002377744267104728
mp-1183145,AcPdO3,0.014199818413416665,-0.00024796340432937664
mp-1183152,AcScO3,0.14603971498443968,-0.00024057579366157494
mp-1183150,AcSiO3,0.6354692002228006,-0.00021315075328818693
mp-865927,AcTiO3,0.3126090357053073,-0.00023124212970482982
mp-1183168,AcVO3,0.31297938029376837,-0.000231221377552381
mp-558950,AgAsO3,0.02311675834993343,-0.000247463746165858
mp-1178563,AgAsO3,0.8037295007671048,-0.00020372233576361018
mp-775767,AgAsO3,0.6333869067380107,-0.0002132674340044331
mp-776165,AgAuO3,0.3926607334885901,-0.00022675645585419212
mp-752678,AgAuO3,0.41745437049819856,-0.0002253671515386573
mp-775774,AgBiO3,0.29883527924243936,-0.00023201393818486735
mp-23548,AgBiO3,0.3478740561609115,-0.00022926606443100946
mp-780275,AgBO3,1.034024659040469,-0.00019081781283653959
mp-985292,AgBO3,1.0168874316206455,-0.0001917780924438209
mp-1178562,AgBrO3,0.45286767541434614,-0.0002233827771877588
mp-776199,AgClO3,0.5602773576105449,-0.00021736410655272563
mp-775761,AgClO3,0.5648970303730181,-0.00021710524451877815
mp-27941,AgClO3,0.5740771263957214,-0.00021659084047969253
mp-1178561,AgClO3,0.5016219990990649,-0.0002206508426890037
mp-753176,AgCO3,1.0771913223234861,-0.00018839898128056038
mp-891880,AgGeO3,0.5716391373035492,-0.00021672745249694795
mp-891854,AgGeO3,0.6427323444849833,-0.00021274376508940464
mp-779706,AgGeO3,0.5733602384670746,-0.00021663101108849179
