material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,density_MP
mp-8110,AlBO3,Al,B,O,R-3c,0.0328901956250132,-38.79437396,3.49721646811567
mp-1435808,AlCoO3,Al,Co,O,Pm-3m,1.32827165381818,-26.90345665,4.40971941493784
mp-1386773,AlCoO3,Al,Co,O,P6_3/mmc,0.28680172181818,-31.96293807,4.58868878734629
mp-1348445,AlCoO3,Al,Co,O,P6_3cm,0.269171609151512,-32.1232783566666,4.54685960826025
mp-1378752,AlCoO3,Al,Co,O,Pnma,0.21236072431818,-32.8201495075,5.19086054762903
mp-1404938,AlCoO3,Al,Co,O,P-1,5.10494422781818,-8.35723199,4.76983747355832
mp-1248478,AlCoO3,Al,Co,O,P1,0.281046083484846,-32.4128890416666,4.43935661237273
mp-776216,AlCoO3,Al,Co,O,P-1,0.13517791681818,-33.14041303,4.76983684965077
mp-1178576,AlCoO3,Al,Co,O,R-3,0.0617001338181797,-33.39409686,5.04767521030208
mp-756947,AlCoO3,Al,Co,O,C2/c,0.13198388231818,-34.903701145,4.39658586706044
mp-754022,AlCoO3,Al,Co,O,P1,0.14641343081818,-34.798494545,4.76142518983074
mp-1385937,AlCrO3,Al,Cr,O,P6_3/mmc,0.374911019500002,-34.532441925,4.10189598016658
mp-1345463,AlCrO3,Al,Cr,O,Pnma,0.176285461000003,-36.7859995975,4.41520288800972
mp-1383064,AlCrO3,Al,Cr,O,P4/mmm,1.3427578775,-31.95156387,3.863934818304
mp-1251690,AlCrO3,Al,Cr,O,P6_3cm,0.352142375500003,-36.834887325,4.12996952290708
mp-776172,AlCuO3,Al,Cu,O,P2_1/c,0.11748381154545,-30.8754841125,4.63697651078505
mp-1504314,AlCuO3,Al,Cu,O,Pm-3m,1.32438792954545,-24.872398,4.54437800921111
mp-1347317,AlCuO3,Al,Cu,O,Pnma,0.21573284804545,-30.4157760075,4.75627043516454
mp-1412082,AlCuO3,Al,Cu,O,P6_3/mmc,0.235508398545448,-30.317056935,4.7427515822073
mp-1253258,AlCuO3,Al,Cu,O,P6_3cm,0.200237262212116,-30.4769131233334,4.75314853507947
mp-1178579,AlCuO3,Al,Cu,O,R-3,0.14355884054545,-30.714611925,4.89943629631307
mp-1178577,AlFeO3,Al,Fe,O,R-3,0.0325528524999914,-35.391847985,4.49945571149891
mp-1254277,AlFeO3,Al,Fe,O,Pnma,0.280233170999993,-33.862690475,4.46357018331295
mp-1259818,AlFeO3,Al,Fe,O,P2_1/c,0.210626288499993,-34.3940980375,4.39070281773228
mp-776154,AlFeO3,Al,Fe,O,Pnma,0.0803160834999925,-37.1062198125,4.70747469606122
mp-1421498,AlFeO3,Al,Fe,O,Pm-3m,1.40429498749999,-28.55511102,3.95582873221065
mp-1398131,AlFeO3,Al,Fe,O,P6_3/mmc,0.265544550499992,-31.207182195,4.12695920995393
mp-21216,AlFeO3,Al,Fe,O,Pna2_1,0.0439558349999922,-37.26549911625,4.23475134314416
mp-1264966,AlFeO3,Al,Fe,O,P-1,0.236047591999992,-34.3963479975,4.39848189406428
mp-756686,AlGaO3,Al,Ga,O,Pnma,0.107533476999999,-33.2528745725,5.26875060486634
mp-772187,AlGaO3,Al,Ga,O,Pna2_1,0.0287432352499994,-33.6484866575,4.87110740122886
mp-772898,AlGaO3,Al,Ga,O,Pna2_1,0.0276705999999995,-33.6524569125,4.81593018792068
mp-1178550,AlInO3,Al,In,O,Pnma,0.0630337659999958,-32.5225068,6.21226477449055
mp-1183160,AlInO3,Al,In,O,Pm-3m,0.467804547499997,-30.49931541,6.14859936813073
mp-754157,AlInO3,Al,In,O,P6_3/mmc,0.0346600674999964,-32.66453357,5.61381545477363
mp-504482,AlInS3,Al,In,S,P6_1,0,-22.9822959683333,3.24313544538805
mp-862787,AlInSe3,Al,In,Se,P6_1,0,-20.451385085,4.5334506686425
mp-1183133,AlIrO3,Al,Ir,O,Pm-3m,1.08264807004545,-31.36678402,9.01951132834798
mp-1246835,AlMoN3,Al,Mo,N,P-1,0.203797401733334,-41.7796633975,3.68322107955182
mp-1433892,AlMoO3,Al,Mo,O,Pm-3m,1.21977742975,-31.1880985,4.40908911495914
mp-1389151,AlMoO3,Al,Mo,O,P6_3/mmc,0.580191703750002,-33.39112608,4.96285309261861
mp-1248370,AlMoO3,Al,Mo,O,P6_3cm,0.463632203750001,-34.96646421,5.30938787182986
mp-1373731,AlMoO3,Al,Mo,O,Pnma,0.176259155250001,-35.73144613,5.10115376980297
mp-1416557,AlNiO3,Al,Ni,O,Pm-3m,1.36156986597727,-24.24002608,4.529178568322
mp-1400395,AlNiO3,Al,Ni,O,P6_3/mmc,0.420411245977272,-28.94581918,4.74978263864985
mp-1333178,AlNiO3,Al,Ni,O,P6_3cm,0.40988360264394,-28.9984573966666,4.76267137991023
mp-1376903,AlNiO3,Al,Ni,O,Pnma,0.242979411477274,-29.1230805925,4.97964360968413
