Name,Temp,FE
RbReO3,580.0,-24.407892
RbReO3,590.0,-26.1678096
RbReO3,600.0,-27.9475804
RbReO3,610.0,-29.7469128
RbReO3,620.0,-31.565523
RbReO3,630.0,-33.4031347
RbReO3,640.0,-35.2594789
RbReO3,650.0,-37.1342937
RbReO3,660.0,-39.0273239
RbReO3,670.0,-40.9383208
RbReO3,680.0,-42.8670421
RbReO3,690.0,-44.8132514
RbReO3,700.0,-46.7767185
RbReO3,710.0,-48.7572185
RbReO3,720.0,-50.7545323
RbReO3,730.0,-52.7684458
RbReO3,740.0,-54.7987504
RbReO3,750.0,-56.8452421
RbReO3,760.0,-58.9077217
RbReO3,770.0,-60.9859949
RbReO3,780.0,-63.0798716
RbReO3,790.0,-65.1891662
RbReO3,800.0,-67.3136972
RbReO3,810.0,-69.4532872
RbReO3,820.0,-71.6077627
RbReO3,830.0,-73.7769539
RbReO3,840.0,-75.960695
RbReO3,850.0,-78.1588234
RbReO3,860.0,-80.3711803
RbReO3,870.0,-82.59761
RbReO3,880.0,-84.8379601
RbReO3,890.0,-87.0920815
RbReO3,900.0,-89.359828
RbReO3,910.0,-91.6410566
RbReO3,920.0,-93.9356269
RbReO3,930.0,-96.2434015
RbReO3,940.0,-98.5642457
RbReO3,950.0,-100.8980274
RbReO3,960.0,-103.244617
RbReO3,970.0,-105.6038876
RbReO3,980.0,-107.9757146
RbReO3,990.0,-110.3599757
RbReO3,1000.0,-112.7565511
KSbO3,0.0,29.143990783333300
KSbO3,10.0,29.14317545
KSbO3,20.0,29.136194733333300
KSbO3,30.0,29.115096416666700
KSbO3,40.0,29.071414133333300
KSbO3,50.0,28.997395116666700
KSbO3,60.0,28.887137316666700
KSbO3,70.0,28.736682133333300
KSbO3,80.0,28.543614516666700
KSbO3,90.0,28.306608433333300
KSbO3,100.0,28.025057383333300
KSbO3,110.0,27.698812200000000
KSbO3,120.0,27.328009183333300
KSbO3,130.0,26.912964016666700
KSbO3,140.0,26.454108383333300
KSbO3,150.0,25.951952716666700
KSbO3,160.0,25.407064083333300
KSbO3,170.0,24.820052066666700
KSbO3,180.0,24.19155926666670
KSbO3,190.0,23.52225386666670
KSbO3,200.0,22.81282358333330
KSbO3,210.0,22.06397026666670
KSbO3,220.0,21.276405133333300
KSbO3,230.0,20.450844466666700
KSbO3,240.0,19.5880058
KSbO3,250.0,18.68860455
KSbO3,260.0,17.753351116666700
KSbO3,270.0,16.782948433333300
KSbO3,280.0,15.778089866666700
KSbO3,290.0,14.739457566666700
KSbO3,300.0,13.667721116666700
KSbO3,310.0,12.56353645
KSbO3,320.0,11.427545066666700
KSbO3,330.0,10.260373466666700
KSbO3,340.0,9.062632716666670
KSbO3,350.0,7.834918300000000
KSbO3,360.0,6.57780995
KSbO3,370.0,5.291871750000000
KSbO3,380.0,3.9776521333333300
KSbO3,390.0,2.6356842166666700
KSbO3,400.0,1.2664859
KSbO3,410.0,-0.12943975
KSbO3,420.0,-1.5516042166666700
KSbO3,430.0,-2.9995331333333300
KSbO3,440.0,-4.472766
KSbO3,450.0,-5.9708557
KSbO3,460.0,-7.493368133333330
KSbO3,470.0,-9.039881883333330
KSbO3,480.0,-10.609987716666700
KSbO3,490.0,-12.203288266666700
KSbO3,500.0,-13.819397616666700
KSbO3,510.0,-15.457940900000000
KSbO3,520.0,-17.118553933333300
KSbO3,530.0,-18.800882883333300
KSbO3,540.0,-20.50458385
KSbO3,550.0,-22.229322550000000
KSbO3,560.0,-23.974773983333300
KSbO3,570.0,-25.740622116666700
KSbO3,580.0,-27.5265595
KSbO3,590.0,-29.33228708333330
KSbO3,600.0,-31.1575138
KSbO3,610.0,-33.00195636666670
KSbO3,620.0,-34.86533896666670
KSbO3,630.0,-36.74739301666670
KSbO3,640.0,-38.6478569
KSbO3,650.0,-40.5664757
KSbO3,660.0,-42.503001016666700
KSbO3,670.0,-44.457190733333300
KSbO3,680.0,-46.42880875
KSbO3,690.0,-48.41762483333330
KSbO3,700.0,-50.423414433333300
KSbO3,710.0,-52.445958383333300
KSbO3,720.0,-54.48504286666670
KSbO3,730.0,-56.54045911666670
KSbO3,740.0,-58.61200333333330
KSbO3,750.0,-60.69947646666670
KSbO3,760.0,-62.8026841
KSbO3,770.0,-64.92143626666670
KSbO3,780.0,-67.05554731666670
KSbO3,790.0,-69.2048358
KSbO3,800.0,-71.36912433333330
KSbO3,810.0,-73.54823941666670
KSbO3,820.0,-75.74201136666670
KSbO3,830.0,-77.95027421666670
KSbO3,840.0,-80.17286553333330
KSbO3,850.0,-82.40962636666670
KSbO3,860.0,-84.66040111666670
KSbO3,870.0,-86.92503743333330
KSbO3,880.0,-89.20338615000000
KSbO3,890.0,-91.49530113333330
KSbO3,900.0,-93.80063925
KSbO3,910.0,-96.11926026666670
KSbO3,920.0,-98.45102671666670
KSbO3,930.0,-100.79580391666700
KSbO3,940.0,-103.15345978333300
KSbO3,950.0,-105.52386481666700
KSbO3,960.0,-107.90689203333300
KSbO3,970.0,-110.30241688333300
KSbO3,980.0,-112.71031716666700
KSbO3,990.0,-115.13047301666700
