Name,A_site,B_site,X_site,Spacegroup,Ehull,BulkModulus,Energy,ZPE,s_A,s_B,s_X,density,mean_A2B,mean_A2X,mean_B2X,mean_X2X,std_A2B,std_A2X,std_B2X,std_X2X,E_coh,TF,OF,A_Z,B_Z,X_Z,A_M,B_M,X_M,A_G,B_G,X_G,A_IEI,B_IEI,X_IEI,A_IEII,B_IEII,X_IEII,A_EA,B_EA,X_EA,A_ChiP,B_ChiP,X_ChiP,A_ChiA,B_ChiA,X_ChiA,A_Rvdw,B_Rvdw,X_Rvdw,A_Rc,B_Rc,X_Rc,A_Ra,B_Ra,X_Ra,A_MP,B_MP,X_MP,A_BP,B_BP,X_BP,A_Rho,B_Rho,X_Rho,A_MV,B_MV,X_MV,A_Hf,B_Hf,X_Hf,A_Hv,B_Hv,X_Hv,A_Kappa,B_Kappa,X_Kappa,A_CvM,B_CvM,X_CvM,A_B,B_B,X_B,A_MendeleevNo,B_MendeleevNo,X_MendeleevNo
CdSnO3,Cd,Sn,O,R-3,0.0,116.32,-26.6884678666667,27.5672268166667,1.31,0.69,1.35,6.821173679928445,3.785637054390316,3.2991913428582933,3.249370503995331,3.0932055656818065,0.38346064222651854,0.9591326546359272,1.1493926004791075,0.23042959678317426,-26.025754046666698,0.9220117833118707,0.5111111111111111,48.0,50.0,8.0,112.411,118.71,15.9994,12.0,14.0,16.0,8.99382,7.34392,13.61805,16.90831,14.6322,35.1211,0.0,107.3,141.0,1.69,1.96,3.44,1.52,1.824,3.61,2.18,2.17,1.52,144.0,139.0,66.0,1.55,1.45,0.6,594.22,505.08,54.8,1040.0,2875.0,90.2,8650.0,7310.0,,13.0,16.29,17.36,6.21,7.15,0.22,100.0,290.0,3.41,97.0,67.0,0.02658,0.231,0.227,0.918,3.0,2.0,2.0,75.0,83.0,101.0
CsAuBr3,Cs,Au,Br,I4/mmm ,0.0,16.0,-13.55807017,6.83728895,1.88,1.11,1.96,5.09495746277545,4.94301902486144,4.064329009579455,2.8530623161034154,4.0383925535658864,0.0,0.03270788174267019,0.3838068156144017,0.321577194748667,-12.894715360000001,0.8844592963375707,0.5663265306122449,55.0,79.0,35.0,132.9054519,196.966569,79.904,1.0,11.0,17.0,3.893905,9.22553,11.8138,23.15744,20.2,21.591,45.5,222.8,324.6,0.79,2.54,2.96,0.659,,2.685,3.43,2.14,1.85,244.0,136.0,120.0,2.6,1.35,1.15,301.59,1337.33,265.8,944.0,3129.0,332.0,1879.0,19300.0,,70.94,10.21,19.78,2.09,12.55,5.285,65.0,330.0,14.8,36.0,320.0,0.12,0.242,0.129,0.474,1.0,3.0,2.0,8.0,70.0,98.0
CsAuCl3,Cs,Au,Cl,I4/mmm ,0.0,27.35,-14.92026889,9.974861275,1.88,1.11,1.81,4.405056143754373,4.746958874330636,3.9075739739386877,2.739981262982808,3.9364989780091455,3.8459253727671276e-16,0.02909412027070559,0.4194149962577046,0.3853812737649267,-14.24999944,0.8935698707460138,0.6132596685082873,55.0,79.0,17.0,132.9054519,196.966569,35.453,1.0,11.0,17.0,3.893905,9.22553,12.96763,23.15744,20.2,23.8136,45.5,222.8,349.0,0.79,2.54,3.16,0.659,,2.869,3.43,2.14,1.75,244.0,136.0,102.0,2.6,1.35,1.0,301.59,1337.33,171.6,944.0,3129.0,239.11,1879.0,19300.0,,70.94,10.21,17.39,2.09,12.55,3.2,65.0,330.0,10.2,36.0,320.0,0.0089,0.242,0.129,0.479,1.0,3.0,2.0,8.0,70.0,99.0
CsAuI3,Cs,Au,I,I4/mmm ,0.0,17.36,-12.29230354,5.247777075,1.88,1.11,2.2,5.273790866520243,5.259788518909546,4.32110620373121,3.0360724589809274,4.253915853181856,3.8459253727671276e-16,0.030438622974322115,0.3822763086201281,0.26237736026989755,-11.641618630000002,0.8715998994686143,0.5045454545454545,55.0,79.0,53.0,132.9054519,196.966569,126.90447,1.0,11.0,17.0,3.893905,9.22553,10.45126,23.15744,20.2,19.1313,45.5,222.8,295.2,0.79,2.54,2.66,0.659,,2.359,3.43,2.14,1.98,244.0,136.0,139.0,2.6,1.35,1.4,301.59,1337.33,386.85,944.0,3129.0,457.4,1879.0,19300.0,4940.0,70.94,10.21,25.72,2.09,12.55,7.76,65.0,330.0,20.9,36.0,320.0,0.449,0.242,0.129,0.214,1.0,3.0,2.0,8.0,70.0,97.0
CsAuSe3,Cs,Au,Se,C2/c,0.0,27.88,-17.11735,8.8,1.88,1.11,1.98,5.5093451130065985,4.232312907437451,4.074252687403119,3.035364048352873,3.7157529044709867,0.29100707571452683,0.3704646461314429,0.5066770781671772,0.7946123080825243,-16.318906239999997,0.8833113836181468,0.5606060606060607,55.0,79.0,34.0,132.9054519,196.966569,78.96,1.0,11.0,16.0,3.893905,9.22553,9.75239,23.15744,20.2,21.19,45.5,222.8,195.0,0.79,2.54,2.55,0.659,,2.424,3.43,2.14,1.9,244.0,136.0,120.0,2.6,1.35,1.15,301.59,1337.33,494.0,944.0,3129.0,958.0,1879.0,19300.0,4819.0,70.94,10.21,16.42,2.09,12.55,6.69,65.0,330.0,26.0,36.0,320.0,0.52,0.242,0.129,0.321,1.0,3.0,2.0,8.0,70.0,93.0
CsBeH3,Cs,Be,H,P21/m,0.0,18.92,-15.31705,54.18,1.88,0.16,1.3,2.1149163356482634,3.6419419205498285,3.182216281525264,2.8319144520170934,3.466278940247519,0.024595632176184434,0.10288608407920748,1.4613616499920588,0.9025872280458365,-14.88930261,1.5401366877898774,0.12307692307692307,55.0,4.0,1.0,132.9054519,9.012182,1.00794,1.0,2.0,1.0,3.893905,9.3227,13.598443,23.15744,18.21114,,45.5,0.0,72.8,0.79,1.57,2.2,0.659,1.576,2.3,3.43,1.53,1.1,244.0,96.0,31.0,2.6,1.05,0.25,301.59,1560.0,14.01,944.0,2742.0,20.28,1879.0,1848.0,,70.94,4.85,11.42,2.09,7.895,0.06,65.0,297.0,0.452,36.0,190.0,0.1805,0.242,1.825,14.304,1.0,1.0,1.0,8.0,77.0,103.0
CsBiO3,Cs,Bi,O,Pm-3m,0.033,59.0,-24.3815032,15.7748079,1.88,0.895,1.35,7.481828632399729,3.83050678175963,3.1275956905272055,2.2115441215816096,3.1275956905272055,0.0,0.0,0.0,0.0,-23.48638159,1.0173518499922263,0.662962962962963,55.0,83.0,8.0,132.9054519,208.9804,15.9994,1.0,15.0,16.0,3.893905,7.2855,13.61805,23.15744,16.703,35.1211,45.5,91.2,141.0,0.79,2.02,3.44,0.659,,3.61,3.43,2.07,1.52,244.0,148.0,66.0,2.6,1.6,0.6,301.59,544.4,54.8,944.0,1837.0,90.2,1879.0,9780.0,,70.94,21.31,17.36,2.09,11.106,0.22,65.0,160.0,3.41,36.0,8.0,0.02658,0.242,0.122,0.918,1.0,2.0,2.0,8.0,87.0,101.0
CsBrO3,Cs,Br,O,R3m,0.0,38.4,-20.6227,23.87,1.88,0.39,1.35,3.9440491202967958,4.082999890728085,3.4627465648157436,3.24748731381026,3.6274394795827503,0.0818994588872303,0.1757714877394845,1.3037340741584387,0.7549065741367411,-19.768465699999997,1.312617760478476,0.28888888888888886,55.0,35.0,8.0,132.9054519,79.904,15.9994,1.0,17.0,16.0,3.893905,11.8138,13.61805,23.15744,21.591,35.1211,45.5,324.6,141.0,0.79,2.96,3.44,0.659,2.685,3.61,3.43,1.85,1.52,244.0,120.0,66.0,2.6,1.15,0.6,301.59,265.8,54.8,944.0,332.0,90.2,1879.0,,,70.94,19.78,17.36,2.09,5.285,0.22,65.0,14.8,3.41,36.0,0.12,0.02658,0.242,0.474,0.918,1.0,2.0,2.0,8.0,98.0,101.0
CsCaF3,Cs,Ca,F,Pm-3m,0.0,117.0,-25.86329092,15.6856663,1.88,1.34,1.285,3.9738154939565287,3.966799762885769,3.238878443621145,2.2902329109234425,3.238878443621145,0.0,0.0,0.0,0.0,-25.210920249999997,0.8525687476020658,1.0428015564202335,55.0,20.0,9.0,132.9054519,40.078,18.9984032,1.0,2.0,17.0,3.893905,6.11316,17.4228,23.15744,11.87172,34.9708,45.5,2.37,328.0,0.79,1.0,3.98,0.659,1.034,4.193,3.43,2.31,1.47,244.0,176.0,57.0,2.6,1.8,0.5,301.59,1115.0,53.53,944.0,1757.0,85.03,1879.0,1550.0,,70.94,26.2,11.2,2.09,8.54,0.255,65.0,155.0,3.27,36.0,200.0,0.0277,0.242,0.647,0.824,1.0,1.0,2.0,8.0,16.0,102.0
CsCaH3,Cs,Ca,H,Pm-3m,0.012,27.56,-14.88916527,40.7533565,1.88,1.34,1.3,2.951305580255678,4.0066906110412015,3.2714491847503626,2.313263902844184,3.2714491847503626,0.0,0.0,0.0,0.0,-14.42288505,0.8517422591565229,1.0307692307692309,55.0,20.0,1.0,132.9054519,40.078,1.00794,1.0,2.0,1.0,3.893905,6.11316,13.598443,23.15744,11.87172,,45.5,2.37,72.8,0.79,1.0,2.2,0.659,1.034,2.3,3.43,2.31,1.1,244.0,176.0,31.0,2.6,1.8,0.25,301.59,1115.0,14.01,944.0,1757.0,20.28,1879.0,1550.0,,70.94,26.2,11.42,2.09,8.54,0.06,65.0,155.0,0.452,36.0,200.0,0.1805,0.242,0.647,14.304,1.0,1.0,1.0,8.0,16.0,103.0
