Name,Coeff_A,Coeff_B,Coeff_C,Coeff_D
CsCaF3,1.03248239333397E-07,-0.00029592536311807300,-0.019956036031931500,17.254751004838600
NaCoF3,8.97048263201155E-08,-0.00027037596917891600,0.004591053491185220,20.347021397871500
CsSnS3,1.07653121571967E-07,-0.0003039081459303720,-0.043553632461153800,16.436372870824800
RbReO3,6.51415454651216E-08,-0.00022078816464231700,0.01426475994146380,29.034234000177200
KSbO3,6.53675873352092E-08,-0.00021916005573518500,0.007330229348325230,29.347208185082900
TiPbO3,7.5028862816059E-08,-0.00023937473865123000,-0.0017620037512988000,26.96431458073690
CsIO3,9.06840476505188E-08,-0.0002676013993201050,-0.03682925505243230,24.612482388140400
KMgF3,8.38011395421438E-08,-0.0002584887957134780,0.007469095551424060,22.41563604862360
RbBiO3,9.96997255592241E-08,-0.00028854566976311800,-0.01382833728840810,18.73071955572550
CaWN3,5.96433360374641E-08,-0.0002060118839720160,0.008564551817473650,35.135085601743300
InBO3,4.43249197763384E-08,-0.0001718871317085460,0.011732107470557600,45.2801900107047
LaCrO3,6.73072450545356E-08,-0.00022534885906168100,0.013282121436602400,28.081651226350000
LaCoN3,6.66175234801514E-08,-0.000217540044231258,-0.0002805777962087440,36.6942620063263
RbWO3,6.48675291626049E-08,-0.0002202385531724260,0.014133118528816100,29.127693471279600
CaTcN3,5.67447135276132E-08,-0.00020128663517539700,0.013672272839526600,35.23755743614370
CsMgBr3,1.24745932574764E-07,-0.00033649373404965600,-0.07281415144909310,12.263672219441600
CsPbF3,1.14556028674901E-07,-0.0003132468101862230,-0.05416002805726140,13.034629241522800
KNbO3,6.84621490768082E-08,-0.00022621450137050900,0.012797744225303000,28.470810589591200
KZnF3,9.79839599843718E-08,-0.00028592696785319100,-0.007173972289760410,18.55294536383110
BaHfO3,6.96472097141732E-08,-0.00021315462207497600,-0.006524142891547050,20.16279563319040
MgTiO3,5.0848505266217E-08,-0.0001919752471971830,0.02253171949654610,34.170559935868800
LaAlO3,5.87606306986609E-08,-0.0002075853715768700,0.0152270187631997,31.6428662356705
SrWN3,6.36399269711194E-08,-0.0002142082624403670,0.003273897569117960,33.05202238884560
