mp-id,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-1183115,0.0,,,
mp-1183052,0.7924727446666662,,,
mp-866101,0.0,,,
mp-864606,0.0,,,
mp-861502,0.0,,,
mp-1183053,0.0,,,
mp-1183142,0.08218525712500124,,,
mp-864911,0.0,,,
mp-1183139,0.0,,,
mp-1183145,0.008102041000000781,,,
mp-1183152,0.024140034874999827,,,
mp-1183150,0.4708205135000014,,,
mp-865927,0.0,,,
mp-1183168,0.0,,,
mp-558950,0.02576531425000539,,,
mp-1178563,0.0,,,
mp-775767,0.03726786450000574,,,
mp-776165,0.059381992041669385,125.87963855825825,125.87963855825826,125.87963855825825
mp-752678,0.41869036354166944,,,
mp-775774,0.026863360999985986,,,
mp-23548,0.04882168199998649,,,
mp-780275,0.08519762070833448,,,
mp-985292,1.0397133027083338,,,
mp-1178562,0.0016109087916706955,,,
mp-776199,0.04860494550000105,,,
mp-775761,0.031584152500000684,31.80412135455635,31.80412135455635,31.80412135455635
mp-27941,0.03828472650000059,,,
mp-1178561,0.09281757450000061,,,
mp-753176,0.0035800969999995047,66.25502911791995,58.616969185203665,62.4359991515618
mp-891880,0.08457618695832814,,,
mp-891854,0.08690772033332816,,,
mp-779706,0.09076211883332785,,,
mp-759939,0.1123049153333282,,,
mp-779664,0.08635776433332776,,,
mp-27384,0.0,,,
mp-1202188,0.010943250000000404,,,
mp-849271,0.027469873500000297,,,
mp-1178556,0.1103289070000022,,,
mp-776166,0.43821755500000137,,,
mp-18702,0.0,,,
mp-775762,0.04544482850000087,,,
mp-5470,0.0096905379999912,,,
mp-776168,0.057218359333333524,,,
mp-540872,0.006888715999989969,,,
mp-860791,0.043660192333321746,,,
mp-677054,0.05975533933332233,,,
mp-545999,0.0,93.39130359636188,79.08148831569245,86.23639595602717
mp-755834,0.09061548699999822,,,
mp-1404877,0.5740327846439408,,,
mp-1183169,0.3398944426439403,,,
mp-1253488,0.19381714914394,,,
mp-1343733,0.21731366264394048,,,
mp-1343327,0.33403097197727316,,,
mp-1418444,1.7040774346439402,,,
