material_id,formula_pretty,crystal_system,space_group,number,nsites,volume,density,density,energy,energy_per_atom,A_site,B_site,X_site,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-1202188,AgIO3,Orthorhombic,Pbca,61,40,589.652032046087,6.37056502496401,5.79831128543912,-165.11415336,-4.127853834,Ag,I,O,0.0109432500000004,,,
mp-849271,AgIO3,Orthorhombic,Pnma,62,20,331.97990780951,5.65759632418356,5.65759584763595,-82.23066679,-4.1115333395,Ag,I,O,0.0274698735000003,,,
mp-1178556,AgPbO3,Trigonal,R-3,148,10,146.418468429595,8.23510787178762,8.23510633514352,-47.12574833,-4.712574833,Ag,Pb,O,0.110328907000002,,,
mp-776166,AgPdO3,Orthorhombic,Cmcm,63,20,267.596321977409,6.51035575705174,6.51035621598347,-92.89137849,-4.6445689245,Ag,Pd,O,0.438217555000001,,,
mp-18702,AgPO3,Monoclinic,P2_1/c,14,40,523.544804128728,4.74084182693312,4.40552900872216,-246.57540679,-6.16438516975,Ag,P,O,0,,,
mp-775762,AgPO3,Monoclinic,P2_1/c,14,20,264.726837555252,4.68793252812712,4.68793250531224,-122.38118223,-6.1190591115,Ag,P,O,0.0454448285000009,,,
mp-5470,AgPS3,Monoclinic,C2/m,12,10,222.463817539057,3.50877784813217,3.11152908721451,-42.88515475,-4.288515475,Ag,P,S,0.0096905379999912,,,
mp-776168,AgRuO3,Cubic,Fd-3m,227,20,265.536783464494,6.42702565369613,6.42702471925485,-119.43407432,-5.971703716,Ag,Ru,O,0.0572183593333335,,,
mp-540872,AgSbO3,Cubic,Fd-3m,227,20,271.708067949105,6.78683539431551,6.48163240229557,-107.39785263,-5.3698926315,Ag,Sb,O,0.00688871599998997,,,
mp-860791,AgSbO3,Monoclinic,C2,5,30,430.824968327308,6.42037277796692,6.42037270146072,-160.00894766,-5.33363158866667,Ag,Sb,O,0.0436601923333217,,,
mp-677054,AgSbO3,Triclinic,P1,1,60,857.910165028521,6.44836023973479,6.44836095808704,-319.05054271,-5.31750904516667,Ag,Sb,O,0.0597553393333223,,,
mp-545999,AgSbO3,Trigonal,R-3,148,10,137.636985390937,6.69891863455293,6.37523918318294,-53.77475346,-5.377475346,Ag,Sb,O,0,93.3913035963619,79.0814883156925,86.2363959560272
mp-755834,AgSnO3,Orthorhombic,Cmmm,65,10,134.594913363866,6.77506790667161,6.77507279284434,-52.75168881,-5.275168881,Ag,Sn,O,0.0906154869999982,,,
mp-1404877,AlAgO3,Hexagonal,P6_3/mmc,194,10,116.487243968004,5.21303680900849,5.21303680900849,-52.55160678,-5.255160678,Al,Ag,O,0.574032784643941,,,
mp-1183169,AlAgO3,Cubic,Pm-3m,221,5,52.7777556399064,5.75291885020969,5.75291958624763,-27.19368755,-5.43873751,Al,Ag,O,0.33989444264394,,,
mp-1253488,AlAgO3,Orthorhombic,Pnma,62,20,247.9195771941,4.8987844966332,4.89878518875307,-112.64548313,-5.6322741565,Al,Ag,O,0.19381714914394,,,
mp-1343733,AlAgO3,Orthorhombic,Pnma,62,20,237.677557325303,5.10988330087915,5.10988330087914,-112.237596,-5.6118798,Al,Ag,O,0.21731366264394,,,
