nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,symprec,version,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
10.0,3.0,BaVS3,225.71113273783448,4.185551231275974,Orthorhombic,C222_1,20.0,222,0.1,1.16.2,mp-555857,-6.348760177,-1.666314054875,,,['icsd-63230']
20.0,3.0,BaVS3,470.98230335403633,4.011724019419855,Orthorhombic,Cmc2_1,36.0,mm2,0.1,1.16.2,mp-3451,-6.3525493420000005,-1.6701032198750005,,,"['icsd-154183', 'icsd-52692', 'icsd-63229', 'icsd-154184', 'icsd-154182', 'icsd-616099']"
10.0,3.0,BaVS3,226.60022021533962,4.169128823642622,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-4227,-6.338342442,-1.655896319875,,,"['icsd-616097', 'icsd-15537', 'icsd-8194', 'icsd-154181', 'icsd-8193', 'icsd-616098', 'icsd-23194', 'icsd-62711']"
20.0,3.0,BaVS3,449.9130824709808,4.199591193725612,Monoclinic,Cm,8.0,m,0.1,1.16.2,mp-542818,-6.3512208105,-1.668774688375,,,
10.0,3.0,BaVSe3,257.4942130766846,5.483429587958488,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-27363,-5.777679637,-1.47955654840625,,,['icsd-10486']
10.0,3.0,BaVSe3,254.6217980166793,5.545288729051739,Orthorhombic,Cmc2_1,36.0,mm2,0.1,1.16.2,mp-676597,-5.792741587,-1.4946184984062498,,,
70.0,3.0,BaCrO3,937.4401924422201,5.885322716359031,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-557081,-7.821830158285715,-2.5394124495357153,,,['icsd-32524']
30.0,3.0,BaCrO3,396.4708704169665,5.96383723583796,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-540926,-7.819695598,-2.53727788925,,,"['icsd-192940', 'icsd-35459', 'icsd-192939']"
20.0,3.0,BaCrO3,270.6740991655128,5.823701509693755,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-19271,-7.608645989,-2.3262282802499996,,,['icsd-35029']
5.0,3.0,BaMnO3,65.61237804092859,6.080659114987635,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1016852,-7.54118007,-2.3569687968362074,,,
10.0,3.0,BaMnO3,138.62812636506428,5.755924357513797,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-19156,-7.6671448255,-2.4829335523362075,15.486149323360648,5.129945166666665,"['icsd-24129', 'icsd-23873', 'icsd-10331', 'icsd-10332', 'icsd-89994']"
30.0,3.0,BaMnO3,418.53444768251074,5.719479103329138,Hexagonal,P6_3cm,185.0,6mm,0.1,1.16.2,mp-19267,-7.659943475,-2.475732201836207,20.12979821666742,5.073101226666149,
15.0,3.0,BaMnO3,196.58101951817102,6.088581271505338,Trigonal,R-3m,166.0,-3m,0.1,1.16.2,mp-18840,-7.652395308666667,-2.4681840355028735,,,['icsd-66822']
40.0,3.0,BaMnO3,531.0888445860152,6.009789264567697,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-557535,-7.65261695575,-2.4684056825862073,,,['icsd-10250']
25.0,3.0,BaMnO3,334.78723854374823,5.958508250284639,Trigonal,R-3m,166.0,-3m,0.1,1.16.2,mp-675227,-7.65262523,-2.468413956836207,,,
20.0,3.0,BaMnO3,257.2383259452137,6.203842341526642,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-35078,-7.6473413699999995,-2.463130096836207,,,['icsd-23874']
20.0,3.0,BaMnO3,276.8088065448443,5.765228492121007,Hexagonal,P6_3mc,186.0,mm2,0.1,1.16.2,mp-1205336,-7.667293149,-2.483081875836207,,,"['icsd-89995', 'icsd-89996']"
30.0,3.0,BaMnO3,394.21434393129783,6.072328580617819,Hexagonal,P-6m2,187.0,-6m2,0.1,1.16.2,mp-757501,-7.6488827950000005,-2.464671521836207,,,
5.0,3.0,BaFeO3,61.70323615127433,6.490300408521839,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-19035,-7.18999273,-2.14418027325,,,"['icsd-28917', 'icsd-29096', 'icsd-28918', 'icsd-262131', 'icsd-262132']"
20.0,3.0,BaFeO3,415.52427401475444,3.855106080137357,Trigonal,R3m,160.0,3m,0.1,1.16.2,mp-705845,-6.7358719659999995,-1.690059509249999,,,
30.0,3.0,BaFeO3,377.74301687333326,6.361031509429974,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-1192651,-7.196856963333333,-2.1510445065833323,,,['icsd-50869']
20.0,3.0,BaCoO3,263.4501234018471,6.158290639687289,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-18965,-6.827112947000001,-2.053641173250001,,,"['icsd-173504', 'icsd-88670', 'icsd-192733', 'icsd-26586', 'icsd-922']"
20.0,3.0,BaCoO3,275.3943444952729,5.891197337198421,Monoclinic,C2/m,12.0,2/m,0.1,1.16.2,mp-1283250,-6.826057752,-2.0525859782499998,,,
5.0,3.0,BaCoO3,63.120523575171546,6.4258118321765165,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1076782,-6.604887678,-1.8314159042500002,,,
10.0,3.0,BaNiO3,133.449151553611,6.072761251153483,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-19138,-6.328400857,-1.8205653062499998,,,"['icsd-175', 'icsd-30661']"
10.0,3.0,BaNiO3,133.5298435547286,6.06909148531972,Hexagonal,P6_3mc,186.0,6mm,0.1,1.16.2,mp-19241,-6.328540503,-1.82070495225,203.57420196004787,5.847281376666667,['icsd-15761']
5.0,3.0,BaNiO3,65.48415898349904,6.187792965000027,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1120765,-6.204349126,-1.6965135752500005,,,
10.0,3.0,BaNiCl3,229.1948669016096,4.38153623091933,Hexagonal,P6_3mc,186.0,6mm,0.1,1.16.2,mp-1096852,-4.450619522999999,-1.8016752029999996,,,
5.0,3.0,BaCuO3,64.17733153205626,6.439350784555453,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1076800,-5.835579016,-1.66392946725,,,
5.0,3.0,BaZnO3,69.67818890775195,5.975383989729056,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1183405,-5.448701428,-1.84494449125,,,
30.0,3.0,BaGeO3,567.9852833160062,4.525060472578735,Triclinic,P1,1.0,1,0.1,1.16.2,mp-676865,-6.521994367333334,-2.2455805815833343,,,
5.0,3.0,BaGeO3,63.06327955363161,6.792562890088615,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1016823,-6.740814964,-2.46440117825,,,
20.0,3.0,BaGeO3,345.7138411355125,4.956252732217032,Orthorhombic,P2_12_12_1,19.0,222,0.1,1.16.2,mp-13863,-6.9731783735,-2.696764587749999,11.98819577333333,3.2199016666666664,['icsd-23925']
40.0,3.0,BaGeS3,1100.0027687662703,3.697401324024581,Monoclinic,P2_1/c,14.0,2/m,0.1,1.16.2,mp-1195469,-5.22413866275,-1.4338681836249996,,,['icsd-252049']
20.0,3.0,RbBaN3,647.7521092442457,2.715455376167445,Orthorhombic,Fddd,70.0,mmm,0.1,1.16.2,mp-1219638,-4.2773274375,1.3044713200000004,,,
5.0,3.0,RbBaO3,124.63922265174297,3.6077114883669057,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-975387,-4.828164082,-1.28024905275,,,
10.0,3.0,BaZrO3,149.38125101812372,6.1483050557832275,Tetragonal,I4/mcm,140.0,4/mmm,0.1,1.16.2,mp-1019544,-8.701104963,-3.63975662225,,,['icsd-190881']
5.0,3.0,BaZrO3,74.74546324141521,6.143794292287296,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-3834,-8.701280686,-3.63993234525,55.249304263333336,4.927720910000004,"['icsd-97461', 'icsd-97459', 'icsd-27048', 'icsd-90049', 'icsd-43136', 'icsd-290002', 'icsd-97462', 'icsd-97460']"
20.0,3.0,BaZrS3,506.0566946992324,4.262395303692848,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-540771,-6.6834714570000004,-2.1082664228750003,110.36956133666662,9.587379156666666,"['icsd-616104', 'icsd-165977', 'icsd-23288']"
10.0,3.0,BaZrSe3,294.58920587065876,5.247078595581919,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-1079300,-6.062030293,-1.8711482924062501,,,['icsd-616136']
