nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
10,3,PdSeO3,154.684899519372,5.0106199066219,Monoclinic,P2_1/m,11,2/m,mp-545482,-5.736829246,-1.03365736171875,6.80179604666961,5.12383416666934,['icsd-249504']
20,3,AgClO3,309.045932376099,4.11192388724728,Monoclinic,P2_1/c,14,2/m,mp-776199,-4.303997147,-0.399765387583333,,,
20,3,AgClO3,291.059723328838,4.36602267417872,Cubic,P2_13,198,23,mp-775761,-4.32101794,-0.416786180583333,10.2010018733333,3.23524576,
20,3,AgClO3,307.063628115988,4.1384691485306,Tetragonal,I4/m,87,4/m,mp-27941,-4.314317366,-0.410085606583333,,,['icsd-30227']
5,3,AgClO3,76.8440581875313,4.13426028494186,Trigonal,R3m,160,3m,mp-1178561,-4.259784518,-0.355552758583333,,,
5,3,AgBrO3,77.2650683135975,5.06704994239951,Trigonal,R3m,160,3m,mp-1178562,-4.149789242,-0.304659148583333,,,
40,3,AgIO3,626.077566461709,5.99992207591981,Orthorhombic,Pca2_1,29,mm2,mp-27384,-4.555235327,-0.726037629583333,,,['icsd-14100']
40,3,AgIO3,589.652032046087,6.37056502496401,Orthorhombic,Pbca,61,mmm,mp-1202188,-4.544292077,-0.715094379583334,,,['icsd-188065']
20,3,AgIO3,331.97990780951,5.65759632418356,Orthorhombic,Pnma,62,mmm,mp-849271,-4.5277654535,-0.698567756083333,,,
20,3,AgSe3I,633.527414051717,4.94499633025991,Orthorhombic,Pmna,53,mmm,mp-569052,-3.141949277,-0.183217919739583,,,['icsd-414116']
30,3,CdSO3,451.782296828179,4.24466736288433,Trigonal,R-3,148,-3,mp-18634,-5.61764981466667,-1.63776866254167,,,['icsd-62642']
40,3,CdSO3,624.564559501456,4.09387210401697,Monoclinic,P2_1/c,14,2/m,mp-556680,-5.620480781,-1.640599628875,,,['icsd-62641']
20,3,CdSO3,300.59403038203,4.25305756080895,Monoclinic,P2_1/c,14,2/m,mp-8516,-5.620434524,-1.640553371875,,,['icsd-62640']
20,3,CdSeO3,273.487813437234,5.81352277375989,Orthorhombic,Pnma,62,mmm,mp-9186,-5.258939851,-1.40716637671875,,,['icsd-75273']
40,3,CdSeO3,632.485547555402,5.02755402999588,Monoclinic,P2_1/c,14,2/m,mp-559203,-5.26891614325,-1.41714266896875,,,['icsd-75274']
5,3,CsClO3,109.079427557219,3.29364281463861,Trigonal,R3m,160,3m,mp-760386,-4.671130762,-1.15432972883621,6.10456778337683,2.36103110666667,
10,3,CsClO3,211.655292719559,3.39484704759786,Orthorhombic,Pmn2_1,31,mm2,mp-754202,-4.66767155,-1.15087051683621,6.82784754,2.40616382333333,
10,3,CsClO3,236.146502868904,3.04276089998398,Monoclinic,P2_1/m,11,2/m,mp-779389,-4.674400533,-1.15759949983621,,,
5,3,CsBrO3,99.7761200581325,4.34053052569931,Trigonal,R3m,160,3m,mp-28873,-4.536734756,-1.07903538883621,6.62183571334388,2.68354154333333,['icsd-74769']
10,3,CsIO3,203.892474642291,5.01369569748416,Orthorhombic,Pmn2_1,31,mm2,mp-28295,-4.827901017,-1.38613404583621,7.44704309666667,3.20623029,['icsd-61009']
5,3,CsIO3,96.7235643454211,5.28441455699851,Cubic,Pm-3m,221,m-3m,mp-613384,-2.861480212,0.580286759163793,,,['icsd-33665']
5,3,CsSO3,119.753362367776,2.95309258503332,Trigonal,R3m,160,3m,mp-1068320,-5.862468574,-1.88808489946121,,,['icsd-16443']
20,3,CsSO3,402.87071972123,3.51122828371138,Hexagonal,P6_3mc,186,6mm,mp-561681,-6.0498993345,-2.07551565996121,6.59131944333334,2.3064687,"['icsd-200865', 'icsd-200867', 'icsd-200866']"
5,3,CsSeBr3,172.346727248067,4.35089202127013,Monoclinic,Pm,6,m,mp-998415,-2.982448976,-1.17236920805496,,,
10,3,BaN3Cl,196.73487530542,3.62603688853696,Monoclinic,P2_1/m,11,2/m,mp-569812,-7.002047807,-1.246648532,8.50320600333333,3.14747725,['icsd-418423']
10,3,BaClO3,186.359119710526,3.93445543983132,Tetragonal,P4/nmm,129,4/mmm,mp-1080782,-4.514344352,-0.79282880525,,,['icsd-67247']
10,3,BaClO3,202.22125466266,3.62583870587884,Monoclinic,P2_1/m,11,2/m,mp-1182237,-4.934675693,-1.21316014625,,,
10,3,BaClO3,203.719557647591,3.59917162973443,Triclinic,P1,1,1,mp-1182337,-4.900270702,-1.17875515525,,,
10,3,BaSO3,171.061980784542,4.22051607423697,Monoclinic,P2_1/m,11,2/m,mp-768307,-6.779983659,-2.600885470875,,,
10,3,BaSeO3,176.759707858283,4.96556488626975,Monoclinic,P2_1/m,11,2/m,mp-6989,-6.369833006,-2.31884249571875,11.1547296933333,3.29749064666667,['icsd-54156']
10,3,LaIO3,196.107278131491,5.31434305602558,Monoclinic,C2/m,12,2/m,mp-1080184,-6.521473916,-2.27158599825,,,['icsd-416012']
10,3,EuSeO3,148.474273750944,6.23894224825698,Monoclinic,P2_1/m,11,2/m,mp-755177,-7.976394935,-2.25779905271875,,,
40,3,DySeO3,618.549584102535,6.21656418953199,Monoclinic,P2_1/c,14,2/m,mp-769393,-7.1167769105,-2.52822402021875,,,
40,3,TmSeO3,616.797159580459,6.37280374831338,Monoclinic,P2_1/c,14,2/m,mp-768396,-7.107140161,-2.54477755405208,,,
40,3,LuSeO3,606.401787175432,6.61420992344108,Monoclinic,P2_1/c,14,2/m,mp-768293,-7.1159742635,-2.54458863721875,,,
30,3,ReO3F,434.041443850741,5.81217965529677,Monoclinic,P2/c,13,2/m,mp-573051,-8.027162764,-2.18794830675,,,['icsd-415418']
20,3,ReClO3,382.57011136113,4.68178733708083,Monoclinic,P2_1/c,14,2/m,mp-974724,-7.685232689,-1.85860669325,,,['icsd-416751']
5,3,TlClO3,94.2329605264689,5.07211520570899,Trigonal,R3m,160,3m,mp-29738,-4.532848862,-0.722599673916667,18.4161047833345,3.11860319,['icsd-76434']
5,3,TlBrO3,87.9711588745669,6.2722039936004,Trigonal,R3m,160,3m,mp-29798,-4.412738808,-0.661591285916667,19.3887037800327,3.55836296333333,['icsd-76966']
5,3,TlBrO3,97.8432346897586,5.63935826288119,Monoclinic,Cm,8,m,mp-1179184,-3.930654824,-0.179507301916666,,,
5,3,TlIO3,76.7475819762978,8.20637151529783,Cubic,Pm-3m,221,m-3m,mp-546200,-4.47276803,-0.737552903916667,,,['icsd-76967']
5,3,TlIO3,91.3199505189197,6.89684090956433,Trigonal,R3m,160,3m,mp-22981,-4.716762884,-0.981547757916667,39.0151769900256,4.45405543333333,['icsd-62106']
10,3,PbSO3,154.013032693336,6.19443377816386,Monoclinic,P2_1/m,11,2/m,mp-21190,-6.254194124,-1.716361509875,,,['icsd-30993']
20,3,PbSO3,309.875476002605,6.15746392260508,Orthorhombic,Pnma,62,mmm,mp-20507,-6.2557454225,-1.717912808375,,,"['icsd-68889', 'icsd-35360']"
10,3,PbSeO3,158.841814971155,6.98660797379455,Monoclinic,P2_1/m,11,2/m,mp-20716,-5.866225149,-1.45650021271875,31.7568787433333,4.58094776,"['icsd-9380', 'icsd-1271', 'icsd-98376', 'icsd-22371']"
40,3,PbSeO3,638.570873741933,6.95155721429264,Monoclinic,P2_1/c,14,2/m,mp-630329,-5.8631315865,-1.45340665021875,,,['icsd-94763']
