Sample Target mean_A2B mean_A2X mean_X2X std_A2B std_A2X std_B2X A_Rvdw B_Rvdw X_Rvdw B_Rc B_Ra A_Z B_Z X_Z A_EA X_EA A_MP B_MP B_MV X_MV X_G B_Rho B_Hf B_CvM A_IEI A_ChiP A_ChiA OF TF E_coh
Sample51 0.7361050872 0 0.5379862761 0.3760694197 0.0791357602 0.7665011185 0.7609515552 0 0.59375 0.4772727273 0.2941176471 0.3076923077 0.1153846154 0.1375 0.1346153846 0 0.3918128655 0.1968100437 0.40212778 0.2595600677 0.4242424242 0.9375 0.08762509153 0.4126748252 0.1705202312 0.7357632431 0.4684684685 0.7807971014 0.1923412748 0.3373297783 0.7408056139
Sample52 0.6016079643 0.2065910754 0.4551625203 0.2458210714 0.3450787216 0.7611649985 0.6915659701 0 0.6041666667 0.4772727273 0.7058823529 0.5384615385 0.1153846154 0.2375 0.1346153846 0 0.3918128655 0.1968100437 0.4739969441 0.2115059222 0.4242424242 0.9375 0.1938979741 0.09746503497 0.1161849711 0.7357632431 0.4684684685 0.7807971014 0.3566327803 0.2382925587 0.7064470384
Sample53 0.423112419 0.4043559713 0.6327762537 0.2454308971 0.4188316391 0.8378072338 0.8463480809 0.3176470588 0.5625 0.4772727273 0.6050420168 0.6923076923 0.1025641026 1 0.1346153846 0.8859060403 0.3918128655 0.02194203477 0.07882972101 0.5725888325 0.4242424242 0.9375 0.4513058335 0.07085664336 0 0.2441552457 0.1261261261 0.5247584541 0.480853187 0.351038122 0.8418853752
Sample54 0.270745582 0.3194813258 0.5870377111 0.2084638196 0.4886101744 0.8631849746 0.7217791204 0.3176470588 0.6770833333 0.4204545455 0.5714285714 0.6538461538 0.1025641026 0.5625 0.1538461538 0.8859060403 0.9385964912 0.02194203477 0.09292626337 0.2913705584 0 1 0.3961435196 0.02805944056 0.03150289017 0.2441552457 0.1261261261 0.5247584541 0.671635275 0.2759889618 0.9119983064
Sample55 0.2959813214 0.1457972813 0.6270604094 0.3069477812 0.1668289862 0.7871353665 0.8148997219 0.3176470588 0.4895833333 0.4204545455 0.4201680672 0.5 0.1025641026 0.3 0.1538461538 0.8859060403 0.9385964912 0.02194203477 0.4250466867 0.07715736041 0 1 0.4083475714 0.1153846154 0.08641618497 0.2441552457 0.1261261261 0.5247584541 0.4990333042 0.3651726549 0.8595348122
Sample56 0.3819403009 0.1008283934 0.5838560827 0.4020190233 0.1352793222 0.7615269314 0.8031632322 0.3176470588 0.2083333333 0.4204545455 0.5462184874 0.6153846154 0.1025641026 0.1125 0.1538461538 0.8859060403 0.9385964912 0.02194203477 0.1859543885 0.3252115059 0 1 0.058725897 0.0479020979 0.2604046243 0.2441552457 0.1261261261 0.5247584541 0.4779842834 0.3772963429 0.8555736865
Sample57 0.2728894142 0.141272858 0.4984382586 0.291290241 0.06316186236 0.745521423 0.6417969086 0.3176470588 0.5416666667 0.4204545455 0.5294117647 0.5384615385 0.1025641026 0.275 0.1538461538 0.8859060403 0.9385964912 0.02194203477 0.3545922698 0.1001692047 0 1 0.3385403954 0.08662587413 0.1031791908 0.2441552457 0.1261261261 0.5247584541 0.5705999751 0.3260959736 0.8155672228
Sample58 0.4760976244 0.1899309152 0.5188960885 0.3159163991 0.1317089464 0.7155982784 0.7596592737 0.3176470588 0.6770833333 0.4772727273 0.7394957983 0.5769230769 0.1025641026 0.475 0.1346153846 0.8859060403 0.3918128655 0.02194203477 0.7029030615 0.2179357022 0.4242424242 0.9375 0.3922382231 0.236013986 0.04132947977 0.2441552457 0.1261261261 0.5247584541 0.3846825496 0.4088181366 0.6970071925
Sample59 0.5238503831 0.3537638766 0.6027318397 0.2004116421 0.4088919159 0.7958730203 0.8909225391 0.3176470588 0.5520833333 0.4772727273 0.5294117647 0.5769230769 0.1025641026 0.6 0.1346153846 0.8859060403 0.3918128655 0.02194203477 0.1805160998 0.4670050761 0.4242424242 0.9375 0.3008054674 0.1467657343 0.02456647399 0.2441552457 0.1261261261 0.5247584541 0.3526256705 0.4296584496 0.8117628936
Sample60 0.03957885232 0.7499387625 0.7604195014 0.8803738994 0.1761485754 0.07883614299 0.3103418787 0.7647058824 0.6354166667 0.8522727273 0.5042016807 0.5 0.4358974359 0.95 0.6538461538 0.7869127517 0.9286549708 0.00344269512 0.3031888405 0.1969543147 0.5909090909 1 0.916036124 0.08347902098 0.002023121387 0.05553484715 0.02702702703 0.4263285024 0.484492297 0.2773385746 0.9854610159
Sample61 0.007654246581 0.8777889632 0.8533949909 0.9367161393 0.257557023 0.1024326442 0.3233619183 0.7647058824 0.6354166667 1 0.5042016807 0.5 0.4358974359 0.95 1 0.7869127517 0.8426900585 0.00344269512 0.3031888405 0.1969543147 1 1 0.916036124 0.08347902098 0.002023121387 0.05553484715 0.02702702703 0.4263285024 0.4176501355 0.2667080162 1
Sample62 0.2465742021 0.3353467682 0.4813401206 0.1575985627 0 0 0 0.7647058824 0.5625 0.4772727273 0.6050420168 0.6923076923 0.4358974359 1 0.1346153846 0.7869127517 0.3918128655 0.00344269512 0.07882972101 0.5725888325 0.4242424242 0.9375 0.4513058335 0.07085664336 0 0.05553484715 0.02702702703 0.4263285024 0.589045154 0.4018813036 0.8560674367
Sample63 0.3922205405 0.4330594236 0.6006398717 0.439236765 0.1149797804 0.2479304105 0.8566568414 0.7647058824 0.3333333333 0.4772727273 0.3697478992 0.3461538462 0.4358974359 0.4 0.1346153846 0.7869127517 0.3918128655 0.00344269512 0 0.5208121827 0.4242424242 0.9375 0.1261410788 0.01997377622 0.101734104 0.05553484715 0.02702702703 0.4263285024 0.184327055 0.6947315073 0.9040033142
Sample64 0.7214257889 0.4113103572 0.5393607971 0.2423907583 0 0 0 0.7647058824 0.8125 0 0.8403361345 0.8461538462 0.4358974359 0.2125 0 0.7869127517 0.1923976608 0.00344269512 0.2402806859 0.738071066 0.01515151515 0 0.04954845009 0.04842657343 0.151734104 0.05553484715 0.02702702703 0.4263285024 0.704018384 0.3617116548 0.9658409948
Sample65 0.3546175074 0.4370745243 0.5830636585 0.4352771573 0.02789602141 0.1532344655 0.8523315512 0.7647058824 0.46875 0.4772727273 0.5294117647 0.5384615385 0.4358974359 0.625 0.1346153846 0.7869127517 0.3918128655 0.00344269512 0.03425103277 0.7218274112 0.4242424242 0.9375 0.2150353918 0.04160839161 0.02658959538 0.05553484715 0.02702702703 0.4263285024 0.6331233629 0.377752363 0.8867773613
Sample66 0.3151681388 0.2530781104 0.4185036586 0.06576851335 0 0 0 0.7647058824 0.2083333333 0.4204545455 0.5462184874 0.6153846154 0.4358974359 0.1125 0.1538461538 0.7869127517 0.9385964912 0.00344269512 0.1859543885 0.3252115059 0 1 0.058725897 0.0479020979 0.2604046243 0.05553484715 0.02702702703 0.4263285024 0.4779842834 0.4987417048 0.858100035
Sample67 0.01206344592 0.8662826806 0.8154838622 1 0.2244656276 0.3896241333 0.01800254478 0.7647058824 0.5104166667 0.8522727273 0.5882352941 0.8461538462 0.4358974359 0.9875 0.6538461538 0.7869127517 0.9286549708 0.00344269512 0.09473431045 0.4693739425 0.5909090909 1 0.5274591164 0.01550699301 0.002312138728 0.05553484715 0.02702702703 0.4263285024 0.5286522835 0.2548754459 0.9573241569
Sample68 0.0597822585 0.7692478003 0.7485462168 0.8746571354 0.2142501905 0.3910496024 0.01833166197 0.7647058824 0.5104166667 0.7386363636 0.5882352941 0.8461538462 0.4358974359 0.9875 0.3076923077 0.7869127517 1 0.00344269512 0.09473431045 0.4693739425 0.4263085399 1 0.5274591164 0.01550699301 0.002312138728 0.05553484715 0.02702702703 0.4263285024 0.583089836 0.2610829453 0.9381341395
Sample69 0.486733408 0.1963899016 0.3752054382 0.002491912652 0 0 0 0.7647058824 0.65625 0.4772727273 0.6302521008 0.5 0.4358974359 0.9 0.1346153846 0.7869127517 0.3918128655 0.00344269512 0.9035142324 0.1512690355 0.4242424242 0.9375 1 0.2716783217 0.004335260116 0.05553484715 0.02702702703 0.4263285024 0.3365972309 0.56656729 0.7393833758
