Coef_a,Coef_b,Coef_c,Coef_d,s_X,X_Z,X_M,X_G,X_IEI,X_IEII,X_EA,X_ChiP,X_ChiA,X_Rvdw,X_Rc,X_Ra,X_MP,X_BP,X_MV,X_Hf,X_Hv,X_Kappa,X_CvM,X_B,X_MendeleevNo
1.14556028674901E-07,-0.000313246810186223,-0.0541600280572614,13.0346292415228,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
7.06058010903843E-08,-0.000232297115104914,0.0127422039950498,26.5958630884366,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
8.88828543220692E-08,-0.000268697384544033,0.00548125218848687,20.6971165533867,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
1.555142674126E-07,-0.000363825065876569,-0.0157197755271715,15.6806608009355,1.84,16,32.065,16,10.36001,23.33788,200,2.58,2.589,1.8,105,1,388.36,717.87,15.53,1.721,9.8,0.205,0.708,2,94
1.32945360348804E-07,-0.000351887292197721,-0.0857862844729647,10.4395171825598,1.96,35,79.904,17,11.8138,21.591,324.6,2.96,2.685,1.85,120,1.15,265.8,332,19.78,5.285,14.8,0.12,0.474,2,98
7.08489430407725E-08,-0.000232581203635796,0.011517864223501,26.715686395793,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
4.43249197763384E-08,-0.000171887131708546,0.0117321074705576,45.2801900107047,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.94313267657905E-08,-0.000208986420156338,0.0136659473357065,31.3300452072331,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
1.26198921547645E-07,-0.000339455871517491,-0.0597282528807539,11.7608105402195,1.96,35,79.904,17,11.8138,21.591,324.6,2.96,2.685,1.85,120,1.15,265.8,332,19.78,5.285,14.8,0.12,0.474,2,98
8.38011395421438E-08,-0.000258488795713478,0.00746909555142406,22.4156360486236,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
3.66520221851852E-08,-0.000153936128574297,0.0082916857346252,50.8020443171692,1.3,1,1.00794,1,13.598443,100,72.8,2.2,2.3,1.1,31,0.25,14.01,20.28,11.42,0.06,0.452,0.1805,14.304,1,103
6.84621490768082E-08,-0.000226214501370509,0.012797744225303,28.4708105895912,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.53675873352092E-08,-0.000219160055735185,0.00733022934832523,29.3472081850829,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.92772658241238E-08,-0.000186726343069505,0.00590784121577288,19.4733877458115,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
9.79839599843718E-08,-0.000285926967853191,-0.00717397228976041,18.5529453638311,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
5.87606306986609E-08,-0.00020758537157687,0.0152270187631997,31.6428662356705,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.66175234801514E-08,-0.000217540044231258,-0.000280577796208744,36.6942620063263,1.46,7,14.0067,15,14.5341,29.6013,7,3.04,3.066,1.55,71,0.65,63.05,77.36,13.54,0.355,2.79,0.02583,1.04,2,100
6.73072450545356E-08,-0.000225348859061681,0.0132821214366024,28.08165122635,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
7.05937165732025E-08,-0.000231900009286854,0.0109156848109494,27.0026902910612,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
4.46713554043745E-08,-0.000178085963571529,0.0204638544212991,36.3980006660099,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.66365897109149E-08,-0.000200664518220545,0.0176497132368932,31.1584588560371,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.04066536736226E-08,-0.000189765345397668,0.0175860754516541,34.0345316998514,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.90900343867015E-08,-0.000206796446062217,0.0145950384715826,31.4619197982873,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
3.9509390502145E-08,-0.000159940461523475,0.0156941846704113,50.8764311824427,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
3.63271942706267E-08,-0.000161421380664763,0.0231877966893063,40.5614143113091,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.0848505266217E-08,-0.000191975247197183,0.0225317194965461,34.1705599358688,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
