Coef_a,Coef_b,Coef_c,Coef_d,s_A,A_Z,A_M,A_G,A_IEI,A_IEII,A_EA,A_ChiP,A_ChiA,A_Rvdw,A_Rc,A_Ra,A_MP,A_BP,A_Rho,A_MV,A_Hf,A_Hv,A_Kappa,A_CvM,A_B,A_MendeleevNo
6.96157068249E-08,-0.00022912513869856,0.00637584449653772,27.8348314393238,1.31,48,112.411,12,8.99382,16.90831,0,1.69,1.52,2.18,144,1.55,594.22,1040,8650,13,6.21,100,97,0.231,3,75
1.31725774260261E-07,-0.000349375605618081,-0.105128644981886,10.873272885075,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.21581784886538E-07,-0.000330202831154549,-0.080451322052625,13.2487222445131,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.36767297350243E-07,-0.000358684052083941,-0.131876531059582,9.86846903365288,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.20926531433987E-07,-0.000325973197952191,-0.074830067682806,11.8054719726941,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
9.31613372247876E-08,-0.000231342624433846,-0.00382975469169708,56.3143962130336,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.03150689260008E-07,-0.000295852513393291,-0.01319817476537,17.2009328124922,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
8.89432730478193E-08,-0.000263604334287959,-0.0415721810553794,25.6293056950199,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.03248239333397E-07,-0.000295925363118073,-0.0199560360319315,17.2547510048386,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
5.3171181051643E-08,-0.000189704216259794,-0.0086065540177012,41.3590499056883,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.2661736020088E-07,-0.000340118929009696,-0.0666733676026977,11.7619195762204,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.08670340480365E-07,-0.000306223513058632,-0.0268010310182152,15.9538235995976,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.24099211310317E-07,-0.00033464417870982,-0.0820297526754916,12.2863039305967,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
9.06840476505188E-08,-0.000267601399320105,-0.0368292550524323,24.6124823881404,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.24745932574764E-07,-0.000336493734049656,-0.0728141514490931,12.2636722194416,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.12937347911454E-07,-0.00031439475162145,-0.0431420811083142,14.8455416830874,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.14556028674901E-07,-0.000313246810186223,-0.0541600280572614,13.0346292415228,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
7.06058010903843E-08,-0.000232297115104914,0.0127422039950498,26.5958630884366,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
8.88828543220692E-08,-0.000268697384544033,0.00548125218848687,20.6971165533867,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.555142674126E-07,-0.000363825065876569,-0.0157197755271715,15.6806608009355,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
1.32945360348804E-07,-0.000351887292197721,-0.0857862844729647,10.4395171825598,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
7.08489430407725E-08,-0.000232581203635796,0.011517864223501,26.715686395793,1.88,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,301.59,944,1879,70.94,2.09,65,36,0.242,1,8
4.43249197763384E-08,-0.000171887131708546,0.0117321074705576,45.2801900107047,0.92,49,114.818,13,5.78636,18.8703,28.9,1.78,1.656,1.93,142,1.55,429.75,2345,7310,15.76,3.291,230,82,0.233,2,79
5.94313267657905E-08,-0.000208986420156338,0.0136659473357065,31.3300452072331,0.92,49,114.818,13,5.78636,18.8703,28.9,1.78,1.656,1.93,142,1.55,429.75,2345,7310,15.76,3.291,230,82,0.233,2,79
1.26198921547645E-07,-0.000339455871517491,-0.0597282528807539,11.7608105402195,1.64,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,336.53,1032,856,45.94,2.335,76.9,100,0.757,1,10
8.38011395421438E-08,-0.000258488795713478,0.00746909555142406,22.4156360486236,1.64,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,336.53,1032,856,45.94,2.335,76.9,100,0.757,1,10
3.66520221851852E-08,-0.000153936128574297,0.0082916857346252,50.8020443171692,1.64,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,336.53,1032,856,45.94,2.335,76.9,100,0.757,1,10
6.84621490768082E-08,-0.000226214501370509,0.012797744225303,28.4708105895912,1.64,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,336.53,1032,856,45.94,2.335,76.9,100,0.757,1,10
6.53675873352092E-08,-0.000219160055735185,0.00733022934832523,29.3472081850829,1.64,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,336.53,1032,856,45.94,2.335,76.9,100,0.757,1,10
5.92772658241238E-08,-0.000186726343069505,0.00590784121577288,19.4733877458115,1.64,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,336.53,1032,856,45.94,2.335,76.9,100,0.757,1,10
9.79839599843718E-08,-0.000285926967853191,-0.00717397228976041,18.5529453638311,1.64,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,336.53,1032,856,45.94,2.335,76.9,100,0.757,1,10
5.87606306986609E-08,-0.00020758537157687,0.0152270187631997,31.6428662356705,1.36,57,138.90547,3,5.5769,11.059,48,1.1,1.09,2.43,207,1.95,1193,3743,6146,22.39,6.2,400,13,0.195,4,33
6.66175234801514E-08,-0.000217540044231258,-0.000280577796208744,36.6942620063263,1.36,57,138.90547,3,5.5769,11.059,48,1.1,1.09,2.43,207,1.95,1193,3743,6146,22.39,6.2,400,13,0.195,4,33
6.73072450545356E-08,-0.000225348859061681,0.0132821214366024,28.08165122635,1.36,57,138.90547,3,5.5769,11.059,48,1.1,1.09,2.43,207,1.95,1193,3743,6146,22.39,6.2,400,13,0.195,4,33
7.05937165732025E-08,-0.000231900009286854,0.0109156848109494,27.0026902910612,1.36,57,138.90547,3,5.5769,11.059,48,1.1,1.09,2.43,207,1.95,1193,3743,6146,22.39,6.2,400,13,0.195,4,33
4.46713554043745E-08,-0.000178085963571529,0.0204638544212991,36.3980006660099,0.92,3,6.941,1,5.391719,75.64,59.6,0.98,0.912,1.82,128,1.45,453.69,1615,535,13.02,3,147,85,3.582,1,12
5.66365897109149E-08,-0.000200664518220545,0.0176497132368932,31.1584588560371,0.92,3,6.941,1,5.391719,75.64,59.6,0.98,0.912,1.82,128,1.45,453.69,1615,535,13.02,3,147,85,3.582,1,12
5.04066536736226E-08,-0.000189765345397668,0.0175860754516541,34.0345316998514,0.92,3,6.941,1,5.391719,75.64,59.6,0.98,0.912,1.82,128,1.45,453.69,1615,535,13.02,3,147,85,3.582,1,12
5.90900343867015E-08,-0.000206796446062217,0.0145950384715826,31.4619197982873,0.92,3,6.941,1,5.391719,75.64,59.6,0.98,0.912,1.82,128,1.45,453.69,1615,535,13.02,3,147,85,3.582,1,12
3.9509390502145E-08,-0.000159940461523475,0.0156941846704113,50.8764311824427,0.89,12,24.305,2,7.646235,15.03527,0,1.31,1.293,1.73,141,1.5,923,1363,1738,14,8.48,128,160,1.023,1,73
3.63271942706267E-08,-0.000161421380664763,0.0231877966893063,40.5614143113091,0.89,12,24.305,2,7.646235,15.03527,0,1.31,1.293,1.73,141,1.5,923,1363,1738,14,8.48,128,160,1.023,1,73
5.0848505266217E-08,-0.000191975247197183,0.0225317194965461,34.1705599358688,0.89,12,24.305,2,7.646235,15.03527,0,1.31,1.293,1.73,141,1.5,923,1363,1738,14,8.48,128,160,1.023,1,73
7.27227545510157E-08,-0.000234996472504912,0.00489291117694764,26.2829399497208,1.39,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,370.87,1156,968,23.78,2.6,97.7,140,1.228,1,11
9.37259555531543E-08,-0.00027804645216087,-0.00144284855214147,19.3501682644218,1.39,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,370.87,1156,968,23.78,2.6,97.7,140,1.228,1,11
8.97048263201155E-08,-0.000270375969178916,0.00459105349118522,20.3470213978715,1.39,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,370.87,1156,968,23.78,2.6,97.7,140,1.228,1,11
7.7135432393253E-08,-0.000245861607029742,0.0160441899431824,23.9970598429806,1.39,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,370.87,1156,968,23.78,2.6,97.7,140,1.228,1,11
9.35018208037061E-08,-0.000277473911077731,-0.00300138080839021,19.4975137600353,1.39,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,370.87,1156,968,23.78,2.6,97.7,140,1.228,1,11
6.55162995240048E-08,-0.000217966561013091,0.0119163171389488,28.6313585350269,1.39,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,370.87,1156,968,23.78,2.6,97.7,140,1.228,1,11
6.1053052070031E-08,-0.000211205795375791,0.0119821702506016,30.8614375963326,1.39,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,370.87,1156,968,23.78,2.6,97.7,140,1.228,1,11
1.30637707537444E-07,-0.000347385356340194,-0.0998120240888639,11.0763008467857,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
1.35678831804716E-07,-0.000356719516091003,-0.122676058838022,10.0522522619581,1.72,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,312.46,961,1532,55.76,2.19,72,58,0.363,1,9
