Coef_a,Coef_b,Coef_c,Coef_d,s_B,B_Z,B_M,B_G,B_IEI,B_IEII,B_EA,B_ChiP,B_Rvdw,B_Rc,B_Ra,B_MP,B_BP,B_Rho,B_MV,B_Hf,B_Hv,B_Kappa,B_CvM,B_B,B_MendeleevNo
8.88828543220692E-08,-0.000268697384544033,0.00548125218848687,20.6971165533867,0.6,51,121.76,15,8.60839,16.63,103.2,2.05,2.06,139,1.45,903.78,1860,6697,18.19,19.79,68,24,0.207,2,88
1.555142674126E-07,-0.000363825065876569,-0.0157197755271715,15.6806608009355,0.69,50,118.71,14,7.34392,14.6322,107.3,1.96,2.17,139,1.45,505.08,2875,7310,16.29,7.15,290,67,0.227,2,83
1.32945360348804E-07,-0.000351887292197721,-0.0857862844729647,10.4395171825598,1.18,38,87.62,2,5.69485,11.0301,5.03,0.95,2.49,195,2,1050,1655,2630,33.94,7.43,137,35,0.306,1,15
7.08489430407725E-08,-0.000232581203635796,0.011517864223501,26.715686395793,0.62,74,183.84,6,7.86403,16.1,78.6,2.36,2.18,162,1.35,3695,5828,19250,9.47,52.31,800,170,0.132,3,55
4.43249197763384E-08,-0.000171887131708546,0.0117321074705576,45.2801900107047,0.27,5,10.811,13,8.29802,25.1548,26.7,2.04,1.92,84,0.85,2349,4200,2460,4.39,50.2,507,27,1.026,2,86
5.94313267657905E-08,-0.000208986420156338,0.0136659473357065,31.3300452072331,0.62,31,69.723,13,5.999301,20.51515,28.9,1.81,1.87,122,1.3,302.91,2477,5904,11.8,5.585,256,29,0.373,2,81
1.26198921547645E-07,-0.000339455871517491,-0.0597282528807539,11.7608105402195,1.34,20,40.078,2,6.11316,11.87172,2.37,1,2.31,176,1.8,1115,1757,1550,26.2,8.54,155,200,0.647,1,16
8.38011395421438E-08,-0.000258488795713478,0.00746909555142406,22.4156360486236,0.72,12,24.305,2,7.646235,15.03527,0,1.31,1.73,141,1.5,923,1363,1738,14,8.48,128,160,1.023,1,73
3.66520221851852E-08,-0.000153936128574297,0.0082916857346252,50.8020443171692,0.72,12,24.305,2,7.646235,15.03527,0,1.31,1.73,141,1.5,923,1363,1738,14,8.48,128,160,1.023,1,73
6.84621490768082E-08,-0.000226214501370509,0.012797744225303,28.4708105895912,0.64,41,92.90638,5,6.75885,14,86.1,1.6,2.18,164,1.45,2750,5017,8570,10.83,30,690,54,0.265,3,53
