Coef_a,Coef_b,Coef_c,Coef_d,BulkModulus,s_A,s_B,s_X,density,mean_A2B,mean_A2X,mean_B2X,mean_X2X,std_A2B,std_A2X,std_B2X,std_X2X,E_coh,TF,OF
6.1928778126442E-08,-0.000213915222955085,0.00943575286171529,30.537225700488,125,1.17,0.535,1.35,8.28849915349837,3.34716411554511,3.0540834996781,3.08441288786156,3.53098699747994,0.236183226905718,1.11257095051228,0.782254459927401,0.919567135048775,-97.98663535,0.945309861321008,0.396296296296296
6.96472097141732E-08,-0.000213154622074976,-0.00652414289154705,20.1627956331904,103,1.61,0.71,1.35,8.12459233654747,3.64172167611477,2.9734532972381,2.10254899001856,2.9734532972381,0,0,0,0,-42.90841904,1.01603692830688,0.525925925925926
8.86102821880866E-08,-0.000267807081508165,-7.60757052712079E-05,21.074258360022,69,1.61,0.76,1.285,5.05591674833714,3.50161578095359,2.85905731287118,2.0216588137322,2.85905731287118,0,0,0,0,-26.40931132,1.00101424524942,0.591439688715953
3.40320196282651E-08,-0.000151277431748185,0.00596868738547964,47.66802811053,38,1.61,0.76,1.3,3.76835805931455,3.48034651966194,2.84169103374769,2.009379,2.84169103374769,0,0,0,0,-16.11107729,0.998874142355754,0.584615384615385
8.04943789499828E-08,-0.000247757663821175,-0.0153103792468295,26.7136531256227,68.91,1.61,0.5,1.35,4.75366453625159,3.70081906639726,2.90754737289421,2.7188465636677,3.32961998600362,0.05697344283836,0.124080947758474,0.992467773127428,0.59720505795829,-31.04511115,1.13137084989848,0.37037037037037
7.03035871699635E-08,-0.000230644778497219,0.0093011501973094,27.7612621771696,97,1.61,0.605,1.35,5.73005654829244,3.49820781000492,2.88419249882147,2.82678116284231,3.16711711862164,0.044491924265994,0.068201030138364,1.11531784887705,0.523810271442875,-37.7797430966667,1.0706066866047,0.448148148148148
5.11022610090223E-08,-0.000181995275010774,0.00416921335212348,46.8724619695516,76,1.34,0.16,1.35,2.6079241305173,3.78968107203173,3.45315598799958,2.73747122427581,3.09904952216779,0.536286927974191,1.06377467441542,1.01680921005899,0.498213436550664,-36.72983241,1.25968029231246,0.118518518518519
6.40306211178584E-08,-0.000218682796940917,0.0154934923401559,29.1848560114839,107.43,1.34,0.69,1.35,4.95829127477924,3.8082319451435,3.32946424067127,3.280206729043,3.1175738509928,0.388068933872434,0.964170182903266,1.17476650321805,0.24800646095068,-31.343685,0.932410412446967,0.511111111111111
5.67447135276132E-08,-0.000201286635175397,0.0136722728395266,35.2375574361437,104.42,1.34,0.56,1.46,4.27230184262592,4.12052570136562,3.15478564583049,3.2865340476498,3.48487098596676,0.958305084795566,0.671039983682846,1.20718817889745,0.828948392765582,-38.3412059175,0.980148013525907,0.383561643835616
5.96433360374641E-08,-0.000206011883972016,0.00856455181747365,35.1350856017433,115.45,1.34,0.6,1.46,5.95371321652387,3.78438097026087,3.31541579013894,3.03384324294628,3.20629607429274,0.283436270585486,0.800678170911711,1.13642068412043,0.633778749028344,-40.72936522,0.961116013263268,0.410958904109589
6.96157068249E-08,-0.00022912513869856,0.00637584449653772,27.8348314393238,116.32,1.31,0.69,1.35,6.82117367992845,3.78563705439032,3.29919134285829,3.24937050399533,3.09320556568181,0.383460642226519,0.959132654635927,1.14939260047911,0.230429596783174,-26.0257540466667,0.922011783311871,0.511111111111111
1.31725774260261E-07,-0.000349375605618081,-0.105128644981886,10.873272885075,16,1.88,1.11,1.96,5.09495746277545,4.94301902486144,4.06432900957946,2.85306231610342,4.03839255356589,0,0.03270788174267,0.383806815614402,0.321577194748667,-12.89471536,0.884459296337571,0.566326530612245
1.21581784886538E-07,-0.000330202831154549,-0.080451322052625,13.2487222445131,27.35,1.88,1.11,1.81,4.40505614375437,4.74695887433064,3.90757397393869,2.73998126298281,3.93649897800915,3.84592537276713E-16,0.029094120270706,0.419414996257705,0.385381273764927,-14.24999944,0.893569870746014,0.613259668508287
1.36767297350243E-07,-0.000358684052083941,-0.131876531059582,9.86846903365288,17.36,1.88,1.11,2.2,5.27379086652024,5.25978851890955,4.32110620373121,3.03607245898093,4.25391585318186,3.84592537276713E-16,0.030438622974322,0.382276308620128,0.262377360269898,-11.64161863,0.871599899468614,0.504545454545455
1.20926531433987E-07,-0.000325973197952191,-0.074830067682806,11.8054719726941,27.88,1.88,1.11,1.98,5.5093451130066,4.23231290743745,4.07425268740312,3.03536404835287,3.71575290447099,0.291007075714527,0.370464646131443,0.506677078167177,0.794612308082524,-16.31890624,0.883311383618147,0.560606060606061
9.31613372247876E-08,-0.000231342624433846,-0.00382975469169708,56.3143962130336,18.92,1.88,0.16,1.3,2.11491633564826,3.64194192054983,3.18221628152526,2.83191445201709,3.46627894024752,0.024595632176185,0.102886084079207,1.46136164999206,0.902587228045836,-14.88930261,1.54013668778988,0.123076923076923
1.03150689260008E-07,-0.000295852513393291,-0.01319817476537,17.2009328124922,59,1.88,0.895,1.35,7.48182863239973,3.83050678175963,3.12759569052721,2.21154412158161,3.12759569052721,0,0,0,0,-23.48638159,1.01735184999223,0.662962962962963
8.89432730478193E-08,-0.000263604334287959,-0.0415721810553794,25.6293056950199,38.4,1.88,0.39,1.35,3.9440491202968,4.08299989072809,3.46274656481574,3.24748731381026,3.62743947958275,0.08189945888723,0.175771487739485,1.30373407415844,0.754906574136741,-19.7684657,1.31261776047848,0.288888888888889
