Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
CsBrO3,141.0,1.52,8.0,4.082999890728085,16.0,35.1211,3.6274394795827503,3.43,0.659,3.893905,35.0,5.285,1.15,3.462746564815744,1.303734074158439,0.2888888888888888,45.5,0.1757714877394845,,-19.7684657,0.79,0.474,265.8,120.0,1.312617760478476,1.85,301.59,0.7549065741367411,36.0,17.36
CsCaF3,328.0,1.47,9.0,3.966799762885769,17.0,34.9708,3.238878443621145,3.43,0.659,3.893905,20.0,8.54,1.8,3.238878443621145,0.0,1.0428015564202335,45.5,0.0,1550.0,-25.21092025,0.79,0.647,1115.0,176.0,0.8525687476020658,2.31,301.59,0.0,36.0,11.2
CsCaH3,72.8,1.1,1.0,4.0066906110412015,1.0,,3.2714491847503626,3.43,0.659,3.893905,20.0,8.54,1.8,3.2714491847503626,0.0,1.0307692307692309,45.5,0.0,1550.0,-14.42288505,0.79,0.647,1115.0,176.0,0.8517422591565229,2.31,301.59,0.0,36.0,11.42
CsCdCl3,349.0,1.75,17.0,4.617651919838872,17.0,23.8136,3.7702970044627895,3.43,0.659,3.893905,48.0,6.21,1.55,3.7702970044627895,0.0,0.7237569060773481,45.5,0.0,8650.0,-13.8806868,0.79,0.231,594.22,144.0,0.8362897508263974,2.18,301.59,0.0,36.0,17.39
CsCdF3,328.0,1.47,9.0,3.951600672636378,17.0,34.9708,3.2264684383993054,3.43,0.659,3.893905,48.0,6.21,1.55,3.2264684383993054,0.0,1.019455252918288,45.5,0.0,8650.0,-19.11520431,0.79,0.231,594.22,144.0,0.8624250337015117,2.18,301.59,0.0,36.0,11.2
CsGeCl3,349.0,1.75,17.0,4.741574616084046,17.0,23.8136,3.819309305199508,3.43,0.659,3.893905,32.0,36.94,1.25,3.926612321322098,0.3533802251714047,0.4033149171270718,45.5,0.0487757707083919,5323.0,-16.9125171766667,0.79,0.32,1211.4,120.0,1.0272535521962047,2.11,301.59,0.1896745425860453,36.0,17.39
CsIO3,141.0,1.52,8.0,4.033309574815747,16.0,35.1211,3.4525092470550085,3.43,0.659,3.893905,53.0,7.76,1.4,3.3683444391900275,0.5662963260789745,0.7037037037037036,45.5,0.0680978774252657,4940.0,-21.228439,0.79,0.214,386.85,139.0,0.9930238709706734,1.98,301.59,0.732340487260683,36.0,17.36
CsMgBr3,324.6,1.85,35.0,4.806421455148913,17.0,21.591,3.809850260543645,3.43,0.659,3.893905,12.0,8.48,1.5,3.994009247317917,2.5024634545442466e-06,0.3673469387755102,45.5,0.083602942409952,1738.0,-15.03194265,0.79,1.023,923.0,141.0,1.0131679252822174,1.73,301.59,0.12342452209855,36.0,19.78
CsMgCl3,349.0,1.75,17.0,4.580961886738943,17.0,23.8136,3.560306049251121,3.43,0.659,3.893905,12.0,8.48,1.5,3.8181713613482464,1.3272178341928756e-08,0.3977900552486187,45.5,0.0855621477984786,1738.0,-17.115412605000003,0.79,1.023,923.0,141.0,1.0313138429163478,1.73,301.59,0.1412615091004032,36.0,17.39
CsPbF3,328.0,1.47,9.0,4.195163952205908,17.0,34.9708,3.674980157522368,3.43,0.659,3.893905,82.0,4.774,1.8,3.3311885259530687,0.0197108573509931,0.926070038910506,45.5,0.1660050171068173,11340.0,-21.927125955,0.79,0.13,600.61,146.0,0.90423958079007,2.02,301.59,0.4278572510141344,36.0,11.2
CsReO3,141.0,1.52,8.0,3.515515108044428,16.0,35.1211,2.8704060659180404,3.43,0.659,3.893905,75.0,34.08,1.35,2.8704060659180404,2.0934566115783667e-16,0.4296296296296296,45.5,2.0934566115783667e-16,21020.0,-32.94121740999999,0.79,0.137,3459.0,151.0,1.1833963229184188,2.16,301.59,2.0934566115783667e-16,36.0,17.36
CsSbO3,141.0,1.52,8.0,3.635306134275527,16.0,35.1211,2.968215029261557,3.43,0.659,3.893905,51.0,19.79,1.45,2.968215029261557,0.0,0.4444444444444444,45.5,0.0,6697.0,-24.95276488,0.79,0.207,903.78,139.0,1.17125892473464,2.06,301.59,0.0,36.0,17.36
CsSnS3,200.0,1.8,16.0,4.486019805156989,16.0,23.33788,3.6226117587417854,3.43,0.659,3.893905,50.0,7.15,1.45,3.65470353069895,0.4388336284643441,0.3749999999999999,45.5,0.0490399613145635,7310.0,-19.943452019999995,0.79,0.227,505.08,139.0,1.0396985083059116,2.17,301.59,0.508901621741368,36.0,15.53
CsSrBr3,324.6,1.85,35.0,5.104788320138425,17.0,21.591,4.39464884398747,3.43,0.659,3.893905,38.0,7.43,2.0,4.002324604601324,0.0275706761517663,0.6020408163265306,45.5,0.4374860581182996,2630.0,-16.896982307499997,0.79,0.306,1050.0,195.0,0.8647420508778161,2.49,301.59,0.1539594740863654,36.0,19.78
CsWO3,141.0,1.52,8.0,3.53249568001238,16.0,35.1211,2.8842706448720707,3.43,0.659,3.893905,74.0,52.31,1.35,2.8842706448720707,0.0,0.4592592592592592,45.5,0.0,19250.0,-35.20402222,0.79,0.132,3695.0,162.0,1.1593679711840346,2.18,301.59,0.0,36.0,17.36
