Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV,Coeff_D
AlBiO3,-0.4490500668675767,-0.1589360970487678,-0.3622040571405643,-0.9303292421635466,0.1875186870247729,0.5713558484042306,0.4748268634320361,-1.5179158956416772,2.8320957871252754,0.8492769934426458,1.4518059747588838,-0.4267956449833793,0.748870175543916,-0.4149756705139152,0.3860634987261869,-0.640492302331146,0.2901597332117708,1.685227819887046,0.2123579609237968,-5.699699148339683,2.1891108443651186,-0.5890269308599383,-0.8763832949270711,0.2990699421589671,-0.1806321307367866,0.1340761560657981,0.5387772185931886,1.738662742311038,3.0627026582967307,0.3591888364420176,0.40346221770849217
BaHfO3,-0.4490500668675767,-0.1589360970487678,-0.3622040571405643,-0.3694197453328227,0.1875186870247729,0.5713558484042306,-0.8470350827048564,-0.0314112586973356,0.0139497329697929,0.1778506041131008,1.035788632594176,0.3350026010745977,0.5356687020794559,-0.6060703447521631,-1.1221536505463567,0.0635850929701481,-1.314734030181664,-0.9990721113509434,0.7939644081675696,-1.2151697631492056,-0.353595036567143,-0.5522167188634416,0.9718766467275072,1.5225378873547426,0.3137499095411862,1.051816689564322,0.660890883587452,-1.1928947500599572,-0.9832997880948108,0.3591888364420176,-0.5611892748788219
BaLiF3,1.4123489357201058,-0.4466032410284384,-0.2662559625337923,-0.6362155695713592,0.4554025256315916,0.5426881507425069,-1.1182576087331668,-0.0314112586973356,0.0139497329697929,0.1778506041131008,-1.5737746955299,-0.8104874917924983,0.1092657551505357,-0.8771903804860146,-1.1221536505463567,0.4194200945309803,-1.314734030181664,-0.9990721113509434,-1.3108577911353194,0.1282058644004702,-0.353595036567143,5.200215501316378,-0.9618521261401046,-0.6072026098379036,0.208741388519333,-1.2998934275256429,0.660890883587452,-1.1928947500599572,-0.9832997880948108,-1.653641031634246,-0.47643822116577306
BaLiH3,-1.127913232517202,-2.5753401064779977,-1.0338407193879684,-0.676717434897744,-3.830738892077508,,-1.1594314848762153,-0.0314112586973356,0.0139497329697929,0.1778506041131008,-1.5737746955299,-0.8104874917924983,0.1092657551505357,-0.918348697734484,-1.1221536505463567,0.3823541994142509,-1.314734030181664,-0.9990721113509434,-1.3108577911353194,0.9666994870546702,-0.353595036567143,5.200215501316378,-0.9618521261401046,-0.6072026098379036,0.1937820740720867,-1.2998934275256429,0.660890883587452,-1.1928947500599572,-0.9832997880948108,-1.581754250631522,1.9963452972481066
BaSeO3,-0.4490500668675767,-0.1589360970487678,-0.3622040571405643,-0.2568838885608779,0.1875186870247729,0.5713558484042306,-0.002596096942191,-0.0314112586973356,0.0139497329697929,0.1778506041131008,-0.4013621857929964,-0.6358239197809452,-1.1699430856362238,-0.7622682800387369,0.7913629763451508,-0.7813077813914052,-1.314734030181664,-0.699702008812623,-0.6050215248485423,-0.2492460930936852,-0.353595036567143,-0.2560618314370808,-0.9238712134932368,-0.969711630636652,1.1199337638935496,-0.8410231607763822,0.660890883587452,0.7109803400895165,-0.9832997880948108,0.3591888364420176,0.04793280862929875
BaTiO3,-0.4490500668675767,-0.1589360970487678,-0.3622040571405643,-0.6427051781433981,0.1875186870247729,0.5713558484042306,-0.3878756888972581,-0.0314112586973356,0.0139497329697929,0.1778506041131008,-0.855199286336314,-0.2827100316491875,-0.1039357183139243,-0.8176196486047016,1.0282227202348933,-0.3588613442106287,-1.314734030181664,-0.834523486001273,-0.6564269672111648,-0.7975872865209309,-0.353595036567143,0.0835960338033216,0.4395220040710855,0.8428334733570896,0.6951923981733793,0.3635112894404291,0.660890883587452,0.4769995592313337,-0.9832997880948108,0.3591888364420176,0.14534323297716262
CaCO3,-0.4490500668675767,-0.1589360970487678,-0.3622040571405643,-0.0876689386156013,0.1875186870247729,0.5713558484042306,-0.5492577999307504,-0.6861811583037719,0.6029884574039308,0.9597716435019,-1.460315420394071,4.604556583579229,-3.088756346816363,0.5308315437243128,0.8382942173911012,-2.1492295779767767,-1.965685686227057,1.5674970445947736,-1.0254916816094797,-0.7121023953675566,0.0348739174641746,0.3931364528647719,2.191110111501683,-2.963511245029768,2.0168164798164576,-1.988198827649536,0.8719696672089804,0.3953974768501866,2.41012161855616,0.3591888364420176,1.9223707212599863
CaSnO3,-0.4490500668675767,-0.1589360970487678,-0.3622040571405643,-0.0523435479423183,0.1875186870247729,0.5713558484042306,-0.5053382927496057,-0.6861811583037719,0.6029884574039308,0.9597716435019,0.2037539482647604,-0.6140501411561988,0.1092657551505357,0.237680423593461,1.142842047539956,-0.0168808950642855,-1.965685686227057,1.3271812880185707,-0.1946017911136306,-0.2735563067076899,0.0348739174641746,-0.4133418281493853,-0.9134314091735322,-0.1087527062396247,-0.2707992495582557,0.7076639895023755,0.8719696672089804,-0.4022562299938637,2.41012161855616,0.3591888364420176,0.2777140628156357
CaTcN3,-1.782886785299392,0.0136641893390344,-0.4581521517473363,0.5423399948163858,-0.0803651515820458,-0.4814715471591844,0.3654899736611833,-0.6861811583037719,0.6029884574039308,0.9597716435019,-0.0609843603855081,0.6232684963456975,-0.3171371917783835,-0.1763102172254439,1.205352304461182,-0.709659983826498,-1.965685686227057,0.6199460566395295,0.4957469380510742,-0.8433022113570441,0.0348739174641746,,0.9002678806356699,0.2537563145591235,0.0628864753721348,0.6503052061587191,0.8719696672089804,1.4497724125414326,2.41012161855616,-0.8890270882416395,0.8405158192117202
CaWN3,-1.782886785299392,0.0136641893390344,-0.4581521517473363,-0.0977616261422565,-0.0803651515820458,-0.4814715471591844,-0.2949859307202157,-0.6861811583037719,0.6029884574039308,0.9597716435019,1.1114281493513956,1.523566908177605,-0.3171371917783835,0.2043854051414731,1.0689098107441468,-0.5608530196532306,-1.965685686227057,0.93272411084275,1.772644945455958,-1.0377487872646376,0.0348739174641746,-0.5722950163160762,2.0921769478221712,0.9334607285567766,-0.0701471639599362,0.7650227728460346,0.8719696672089804,0.8275763709757142,2.41012161855616,-0.8890270882416395,0.8309876227362237
