Name,ZPE
AlBiO3,0.5159430721897865
BaHfO3,0.28886105474228263
BaLiF3,0.30820024359234643
BaLiH3,0.8680108400164206
BaSeO3,0.41899226520782473
BaTiO3,0.45606219292083594
CaCO3,0.8285383434784963
CaSnO3,0.49139443304101027
CaTcN3,0.6146653345608251
CaWN3,0.607947027475045
CdSnO3,0.4561298957514447
CsAuBr3,0.03248394983886785
CsAuCl3,0.09660473032760755
CsAuI3,0.0
CsAuSe3,0.07259475888607406
CsBeH3,1.0
CsBiO3,0.21513493963139838
CsBrO3,0.380571774831135
CsCaF3,0.21331320346918412
CsCaH3,0.7256073258601097
CsCdCl3,0.0671699225689735
CsCdF3,0.18039896406361758
CsGeCl3,0.07529198834845965
CsIO3,0.35257386429067494
CsMgBr3,0.07736433373980017
CsMgCl3,0.14993673976850094
CsPbF3,0.10473389010322179
CsReO3,0.4347856453938119
CsSbO3,0.30370175186558834
CsSnS3,0.1782511074219709
CsSrBr3,0.028412080361256142
CsWO3,0.43626179537601706
InBO3,0.8201409386852764
InGaO3,0.5352530737290228
KCaBr3,0.07018101303641111
KMgF3,0.3414526589280228
KMgH3,0.9312645901013908
KNbO3,0.4728591680877535
KSbO3,0.48835332384060715
KTaO3,0.44596835419571335
KZnF3,0.248482797187371
LaAlO3,0.5425239005053172
LaCoN3,0.6321878713218096
LaCrO3,0.4664079794613174
LaScO3,0.4419305864796863
LiAsO3,0.647465979086214
LiNbO3,0.5348033942468454
LiSbO3,0.5957479449621796
LiTaO3,0.5384657157728483
MgCO3,0.926020119593821
MgSiO3,0.7361050872388915
MgTiO3,0.6016079643493941
NaBiO3,0.4231124189895631
NaCdF3,0.270745582012612
NaCoF3,0.29598132139221633
NaMgF3,0.38194030094740483
NaMnF3,0.27288941421007396
NaNbO3,0.4760976244094618
NaSbO3,0.5238503830959975
RbAuBr3,0.039578852323312874
RbAuI3,0.007654246580501109
RbBiO3,0.24657420210590195
RbBrO3,0.3922205405304505
RbCaH3,0.7214257888734574
RbIO3,0.354617507395818
RbMgF3,0.31516813876691463
RbPbBr3,0.012063445919977073
RbPbCl3,0.05978225850241198
RbReO3,0.4867334079938491
RbSbO3,0.374184887391359
RbWO3,0.4886927610391206
ReTlO3,0.422590407484538
ScBO3,0.8344923770903876
SrWN3,0.5607034824894991
TiCdO3,0.48395170215946204
TiPbO3,0.42614501607582556
TlCrO3,0.43211067086423405
TlIO3,0.34358183462804537
YVO3,0.47760850729836324
YWN3,0.5757396913722984
