Name,B_Ra,B_Rc,B_Rvdw,A_Rvdw,X_Rvdw,mean_A2X,mean_A2B,mean_X2X,std_A2X,std_A2B,std_B2X,X_G,X_EA,A_EA,B_CvM,A_ChiA,A_MP,B_MP
AlBiO3,0.6923076923076925,0.6050420168067228,0.5624999999999998,0.06470588235294117,0.4772727272727273,0.47417932180364764,0.15148404130501447,0.43637268420010944,0.9343893475609735,0.24417547622892372,0.5352914933354463,0.9375,0.39181286549707595,0.7130872483221476,0.0,0.9568706118355068,0.20012605268242012,0.07882972101182728
BaHfO3,0.653846153846154,0.8319327731092436,0.7291666666666667,0.5588235294117647,0.4772727272727273,0.4407173896737142,0.2821614448025149,0.09823195818628383,0.0,0.0,0.0,0.9375,0.39181286549707595,0.23406040268456374,0.00635838150289017,0.22266800401203624,0.22119712042465184,0.6338633919981892
BaLiF3,0.5769230769230769,0.4369747899159664,0.30208333333333326,0.5588235294117647,0.4204545454545454,0.3932424913231698,0.2200049190662623,0.02885150425118055,0.0,0.0,0.0,1.0,0.9385964912280701,0.23406040268456374,1.0000000000000002,0.22266800401203624,0.22119712042465184,0.053163375021221204
BaLiH3,0.5769230769230769,0.4369747899159664,0.30208333333333326,0.5588235294117647,0.0,0.3860353997396888,0.21056903212271383,0.018318963835366242,0.0,0.0,0.0,0.0,0.19239766081871343,0.23406040268456374,1.0000000000000002,0.22266800401203624,0.22119712042465184,0.053163375021221204
BaSeO3,0.34615384615384615,0.3697478991596639,0.3854166666666665,0.5588235294117647,0.4772727272727273,0.41336610565583176,0.3083793884216126,0.3142448425534048,0.10420900866358603,0.058901378051758005,0.6791390571477093,0.9375,0.39181286549707595,0.23406040268456374,0.05751445086705203,0.22266800401203624,0.22119712042465184,0.06456906796446155
BaTiO3,0.5384615384615383,0.7058823529411764,0.6041666666666663,0.5588235294117647,0.4772727272727273,0.40367371759930215,0.2184930081382055,0.21568786289094244,0.05727842887200144,0.04599749498861273,0.7632045420674012,0.9375,0.39181286549707595,0.23406040268456374,0.1161849710982659,0.22266800401203624,0.22119712042465184,0.47399694414577564
CaCO3,0.0,0.0,0.17708333333333326,0.3411764705882352,0.4772727272727273,0.6397963749057289,0.34780209460995426,0.1744052884511622,0.8934079426765872,0.5544344437537788,0.6957957395861033,0.9375,0.39181286549707595,0.03976510067114094,0.16965317919075143,0.3761283851554664,0.2576193779078422,1.0
CaSnO3,0.5769230769230769,0.5294117647058822,0.6666666666666663,0.3411764705882352,0.4772727272727273,0.5884636890277197,0.3560319968612129,0.18564017881759054,0.8097554117568032,0.4012008726418915,0.8038848584978465,0.9375,0.39181286549707595,0.03976510067114094,0.03034682080924856,0.3761283851554664,0.2576193779078422,0.0677041480391602
CaTcN3,0.5000000000000002,0.596638655462185,0.6562500000000002,0.3411764705882352,0.5113636363636362,0.5159712096808668,0.494577879413554,0.40840360967212463,0.5635709005812497,0.9907333535838444,0.8260707942513849,0.875,0.0,0.03976510067114094,,0.3761283851554664,0.2576193779078422,0.6123592326410504
CaWN3,0.5000000000000002,0.7226890756302522,0.6770833333333333,0.3411764705882352,0.5113636363636362,0.5826335126915847,0.3454507594877163,0.23944965614100755,0.6724471400048935,0.29302752467849136,0.7776450710380985,0.875,0.0,0.03976510067114094,0.002890173410404623,0.3761283851554664,0.2576193779078422,0.9702903061513214
CdSnO3,0.5769230769230769,0.5294117647058822,0.6666666666666663,0.2647058823529411,0.4772727272727273,0.5759002869607588,0.34600800817042865,0.1708609651428017,0.805524658878642,0.39643664013484636,0.7865216666150733,0.9375,0.39181286549707595,0.0,0.03034682080924856,0.8635907723169511,0.09268039310700861,0.0677041480391602
CsAuBr3,0.5000000000000002,0.5042016806722689,0.6354166666666667,1.0,0.8522727272727273,0.8934361965714448,0.8594685028305895,0.7441110021599511,0.027469615549069418,0.0,0.26263643610497606,1.0,0.928654970760234,0.7634228187919463,0.002023121387283236,0.0,0.0,0.30318884047309147
CsAuCl3,0.5000000000000002,0.5042016806722689,0.6354166666666667,1.0,0.7386363636363635,0.8283820827914392,0.7724884526456759,0.6823131815081132,0.024434608907492786,3.976068375978215e-16,0.28700287588632406,1.0,0.9999999999999999,0.7634228187919463,0.002023121387283236,0.0,0.0,0.30318884047309147
CsAuI3,0.5000000000000002,0.5042016806722689,0.6354166666666667,1.0,0.9999999999999998,1.0,0.9999999999999998,0.8748245446299889,0.02556378543636749,3.976068375978215e-16,0.26158912040849397,1.0,0.842690058479532,0.7634228187919463,0.002023121387283236,0.0,0.0,0.30318884047309147
CsAuSe3,0.5000000000000002,0.5042016806722689,0.6354166666666667,1.0,0.909090909090909,0.8975545718671272,0.5441711127546238,0.5484320590961103,0.3111336124979528,0.3008545197282195,0.34671573471900713,0.9375,0.5497076023391813,0.7634228187919463,0.002023121387283236,0.0,0.0,0.30318884047309147
CsBeH3,0.2692307692307694,0.16806722689075637,0.0,1.0,0.0,0.5273550589349039,0.28225915395943635,0.3971276494299709,0.08640856651129433,0.02542792847084204,1.0,0.0,0.19239766081871343,0.7634228187919463,0.4921965317919075,0.0,0.0,0.36619319789485594
CsBiO3,0.6923076923076925,0.6050420168067228,0.5624999999999998,1.0,0.4772727272727273,0.5046872439776742,0.3659139968570646,0.19171836224343441,0.0,0.0,0.0,0.9375,0.39181286549707595,0.7634228187919463,0.0,0.0,0.0,0.07882972101182728
