     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6
        36    0.3414526589E+00    0.3470616056E+00    0.3739662457E+01    0.6685746678E+00    0.1649361359E+00    0.2775914147E+00    0.2762562194E+01   -0.3392598343E-03
        37    0.9312645901E+00    0.9116074988E+00    0.2001938319E+01    0.5877932732E+00    0.2849830388E-01    0.1956229252E+00    0.2409851917E+01   -0.3341817984E-03
        38    0.4728591681E+00    0.4518809932E+00    0.3449216518E+01    0.4369885635E+00    0.3889161111E+00    0.8201864830E-02    0.4084235137E+00    0.2224447287E-04
        39    0.4883533238E+00    0.4852049782E+00    0.3318637488E+01    0.2456336964E+00    0.8494543678E+00    0.4861413990E-01   -0.2358434381E+01   -0.2623872518E-03
        40    0.4459683542E+00    0.4367977890E+00    0.3491046088E+01    0.5159761667E+00    0.2019492522E+00    0.2346949280E-01    0.2801368376E-01   -0.1470210211E-02
        41    0.2484827972E+00    0.2369814390E+00    0.3564979322E+01    0.3717253120E+00   -0.1458299486E+01    0.4674889511E+00   -0.3257413077E+01   -0.1980042460E-03
        42    0.5425239005E+00    0.5119191237E+00    0.3074806185E+01    0.6337803153E+00    0.2830220801E-01    0.6740008348E+00    0.2807663349E+01    0.4829370387E-02
        43    0.6321878713E+00    0.6191857420E+00    0.3148899859E+01    0.1001010124E+01    0.0000000000E+00    0.4275765244E+00    0.7540275223E+00    0.2728260287E-01
        44    0.4664079795E+00    0.4489279750E+00    0.3090089277E+01    0.3440148759E+00   -0.1697794876E+00    0.6394219081E+00    0.7486792344E+01    0.7309277723E-02
        45    0.4419305865E+00    0.4532671043E+00    0.3345278004E+01    0.2272763472E+00    0.3430755963E+00    0.5062994330E+00   -0.1091487432E+03   -0.5901487484E-02
        46    0.6474659791E+00    0.6455413525E+00    0.2734968462E+01    0.7892363846E+00   -0.1255854227E+00    0.6608911069E+00   -0.5192137939E+01    0.1864518082E-02
        47    0.5348033942E+00    0.5282279311E+00    0.3082775813E+01    0.6403331432E+00    0.3256831073E+00    0.3421265997E+00    0.5716813482E+02    0.3325646914E-02
        48    0.5957479450E+00    0.5414772734E+00    0.3140522105E+01    0.7638327688E+00    0.1669936690E+00    0.5145733439E+00   -0.8607633278E+01   -0.1418892285E-03
        49    0.5384657158E+00    0.5733107455E+00    0.3080190245E+01    0.6189418814E+00    0.3549694986E+00    0.3146727419E+00   -0.7390098626E+00    0.4074607774E-02
        50    0.9260201196E+00    0.9231949131E+00    0.2087251768E+01    0.1136369045E+01    0.0000000000E+00    0.6186580029E+00    0.0000000000E+00   -0.2759699062E-02
        51    0.7361050872E+00    0.7390762889E+00    0.2775583740E+01    0.1163167922E+01    0.0000000000E+00    0.6747900866E+00   -0.6925986304E+00    0.2568749137E-01
        52    0.6016079643E+00    0.6024280700E+00    0.3011066033E+01    0.6720130495E+00    0.0000000000E+00    0.3115948820E+00    0.3047604464E+01    0.1658345073E-01
        53    0.4231124190E+00    0.4347943829E+00    0.3437538087E+01    0.6564576188E+00    0.6479794860E+00    0.6097399649E+00    0.0000000000E+00    0.8026515777E-04
        54    0.2707455820E+00    0.2343706467E+00    0.3497911455E+01    0.3004788003E+00   -0.8810294914E+00    0.7139035880E+00    0.1923871244E+02    0.1331054588E-03
        55    0.2959813214E+00    0.3276045881E+00    0.3369010208E+01    0.3886675974E+00   -0.2766622818E+00    0.7438590936E+00    0.1698522710E+02    0.8627462029E-03
        56    0.3819403009E+00    0.3881726709E+00    0.3488145710E+01    0.9937705112E-01    0.5835772569E+00    0.4689981538E+00   -0.7570239723E+02    0.2496916489E-03
        57    0.2728894142E+00    0.2529948717E+00    0.3251141306E+01    0.1548971281E+00   -0.2289836156E+01    0.6508124681E+00   -0.3407610305E+02    0.5404374741E-04
        58    0.4760976244E+00    0.4731684971E+00    0.3184919504E+01    0.4029700435E+00    0.2076114653E+00    0.4265312801E+00   -0.2452500325E+01    0.5288228374E-03
        59    0.5238503831E+00    0.4854358682E+00    0.3263545585E+01    0.6666631315E+00    0.5484843597E+00    0.6538738496E+00   -0.2856079709E+01    0.4026133133E-03
        60    0.3957885232E-01    0.7812786666E-01    0.4089346578E+01    0.2262976663E+00   -0.7353294604E+00    0.4668007620E+00    0.8690316386E-02   -0.1448372100E-03
        61    0.7654246581E-02    0.1570564745E-01    0.4212416497E+01    0.9783099248E-01   -0.8830341769E+00    0.3882843959E+00    0.6517296104E-02   -0.1511777935E-03
        62    0.2465742021E+00    0.2393681070E+00    0.3849782108E+01    0.5082530811E+00   -0.2053193708E+00    0.4636654266E+00    0.0000000000E+00   -0.5069024640E-04
        63    0.3922205405E+00    0.4104523857E+00    0.3244096485E+01    0.1409781007E+00   -0.2591952531E+00    0.2859008947E+00   -0.2204702063E+02    0.0000000000E+00
        64    0.7214257889E+00    0.7451267832E+00    0.2354157721E+01    0.3953859923E+00    0.7319806677E-01    0.3356801051E+00    0.3816486267E+01   -0.1890609322E-03
        65    0.3546175074E+00    0.3348646640E+00    0.3612868752E+01    0.2906978707E+00   -0.1398600975E+00    0.3544519890E-01    0.3289961220E+01   -0.2042643433E-05
        66    0.3151681388E+00    0.3374404885E+00    0.3780759996E+01    0.8109256133E+00    0.2094316181E+00    0.4715655054E+00    0.2497905317E+01   -0.1010520007E-03
        67    0.1206344592E-01   -0.1087510808E-01    0.4377073397E+01    0.1818649165E+00   -0.2240485789E+00    0.5956425044E+00    0.1472240493E-01   -0.8713699619E-04
        68    0.5978225850E-01    0.5294181340E-01    0.4286785475E+01    0.2727640524E+00   -0.1814254441E+00    0.4737691532E+00    0.1906323505E-01   -0.8197099126E-04
        69    0.4867334080E+00    0.4578657855E+00    0.3324468763E+01    0.5762387312E+00    0.6708371892E-01    0.3308436832E+00    0.1893339086E-01   -0.3937084753E-03
        70    0.3741848874E+00    0.3493585384E+00    0.3526726349E+01    0.5129876426E+00   -0.1444771026E+00    0.4746402218E+00    0.2255850412E+00   -0.9220121464E-04
        71    0.4886927610E+00    0.4820676395E+00    0.3336919579E+01    0.6480279794E+00    0.1545393622E+00    0.2470057638E+00    0.1118777867E-01   -0.4280271406E-03
        72    0.4225904075E+00    0.4201307123E+00    0.3476441826E+01    0.4960824929E+00    0.8110015632E-01    0.1286289617E+00    0.4289676417E-01    0.0000000000E+00
        73    0.8344923771E+00    0.8308358255E+00    0.2342639798E+01    0.1011665562E+01   -0.3590678817E+00    0.4470059103E+00    0.3721737502E+01    0.7637731346E-02
        74    0.5607034825E+00    0.5452762281E+00    0.3093111115E+01    0.5913107441E+00    0.0000000000E+00    0.4999362970E-01   -0.3486883112E-01   -0.1478911966E-01
        75    0.4839517022E+00    0.4590421123E+00    0.3171490175E+01    0.8631054522E+00   -0.4152103832E-01    0.1048348283E+01    0.6574780417E+01    0.2056897126E-03
        76    0.4261450161E+00    0.4292869293E+00    0.3185311056E+01    0.4024835737E+00    0.4337735537E-01    0.2721610498E+00   -0.3386721523E+00   -0.3148558055E-01
        77    0.4321106709E+00    0.4812488096E+00    0.3050965886E+01    0.6069265193E+00   -0.3571296126E-01    0.7214252182E+00    0.2546394511E+02    0.0000000000E+00
        78    0.3435818346E+00    0.3404352609E+00    0.3435606631E+01    0.4832841076E-01   -0.3875725198E+00    0.2272767380E-01   -0.4200219207E+00    0.0000000000E+00
        79    0.4776085073E+00    0.4928928450E+00    0.2963485702E+01    0.2869999220E+00    0.1120860620E-01    0.7544540585E+00    0.4081316150E+01    0.1552238618E-01
        80    0.5757396914E+00    0.5677327456E+00    0.2772658989E+01    0.4443242665E+00    0.0000000000E+00    0.6663094163E+00    0.4304705765E-01   -0.2733502614E-02
