     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        67    0.1206344592E-01    0.2443694537E-01    0.4377073397E+01    0.1818649165E+00   -0.2240485789E+00
        68    0.5978225850E-01    0.7104325867E-01    0.4286785475E+01    0.2727640524E+00   -0.1814254441E+00
        69    0.4867334080E+00    0.4505270528E+00    0.3324468763E+01    0.5762387312E+00    0.6708371892E-01
        70    0.3741848874E+00    0.3601659418E+00    0.3526726349E+01    0.5129876426E+00   -0.1444771026E+00
        71    0.4886927610E+00    0.4634712111E+00    0.3336919579E+01    0.6480279794E+00    0.1545393622E+00
        72    0.4225904075E+00    0.3891575137E+00    0.3476441826E+01    0.4960824929E+00    0.8110015632E-01
        73    0.8344923771E+00    0.8116851437E+00    0.2342639798E+01    0.1011665562E+01   -0.3590678817E+00
        74    0.5607034825E+00    0.5242546989E+00    0.3093111115E+01    0.5913107441E+00    0.0000000000E+00
        75    0.4839517022E+00    0.5380259882E+00    0.3171490175E+01    0.8631054522E+00   -0.4152103832E-01
        76    0.4261450161E+00    0.4675610776E+00    0.3185311056E+01    0.4024835737E+00    0.4337735537E-01
        77    0.4321106709E+00    0.5381111068E+00    0.3050965886E+01    0.6069265193E+00   -0.3571296126E-01
        78    0.3435818346E+00    0.3014968818E+00    0.3435606631E+01    0.4832841076E-01   -0.3875725198E+00
        79    0.4776085073E+00    0.5202026976E+00    0.2963485702E+01    0.2869999220E+00    0.1120860620E-01
        80    0.5757396914E+00    0.6065034872E+00    0.2772658989E+01    0.4443242665E+00    0.0000000000E+00
