     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        43    0.6321878713E+00    0.5738521046E+00    0.3148899859E+01    0.1001010124E+01    0.0000000000E+00    0.4275765244E+00
        44    0.4664079795E+00    0.4485299816E+00    0.3090089277E+01    0.3440148759E+00   -0.1697794876E+00    0.6394219081E+00
        45    0.4419305865E+00    0.3873891754E+00    0.3345278004E+01    0.2272763472E+00    0.3430755963E+00    0.5062994330E+00
        46    0.6474659791E+00    0.6439142257E+00    0.2734968462E+01    0.7892363846E+00   -0.1255854227E+00    0.6608911069E+00
        47    0.5348033942E+00    0.5613497915E+00    0.3082775813E+01    0.6403331432E+00    0.3256831073E+00    0.3421265997E+00
        48    0.5957479450E+00    0.5368582486E+00    0.3140522105E+01    0.7638327688E+00    0.1669936690E+00    0.5145733439E+00
        49    0.5384657158E+00    0.5629945822E+00    0.3080190245E+01    0.6189418814E+00    0.3549694986E+00    0.3146727419E+00
        50    0.9260201196E+00    0.9307096662E+00    0.2087251768E+01    0.1136369045E+01    0.0000000000E+00    0.6186580029E+00
        51    0.7361050872E+00    0.7011504898E+00    0.2775583740E+01    0.1163167922E+01    0.0000000000E+00    0.6747900866E+00
        52    0.6016079643E+00    0.5743358236E+00    0.3011066033E+01    0.6720130495E+00    0.0000000000E+00    0.3115948820E+00
        53    0.4231124190E+00    0.4387351870E+00    0.3437538087E+01    0.6564576188E+00    0.6479794860E+00    0.6097399649E+00
        54    0.2707455820E+00    0.2558572422E+00    0.3497911455E+01    0.3004788003E+00   -0.8810294914E+00    0.7139035880E+00
        55    0.2959813214E+00    0.3468350106E+00    0.3369010208E+01    0.3886675974E+00   -0.2766622818E+00    0.7438590936E+00
        56    0.3819403009E+00    0.3358547289E+00    0.3488145710E+01    0.9937705112E-01    0.5835772569E+00    0.4689981538E+00
        57    0.2728894142E+00    0.2352122033E+00    0.3251141306E+01    0.1548971281E+00   -0.2289836156E+01    0.6508124681E+00
        58    0.4760976244E+00    0.4709386451E+00    0.3184919504E+01    0.4029700435E+00    0.2076114653E+00    0.4265312801E+00
        59    0.5238503831E+00    0.4879549488E+00    0.3263545585E+01    0.6666631315E+00    0.5484843597E+00    0.6538738496E+00
        60    0.3957885232E-01    0.7998418476E-01    0.4089346578E+01    0.2262976663E+00   -0.7353294604E+00    0.4668007620E+00
        61    0.7654246581E-02    0.1597338737E-01    0.4212416497E+01    0.9783099248E-01   -0.8830341769E+00    0.3882843959E+00
        62    0.2465742021E+00    0.2400996381E+00    0.3849782108E+01    0.5082530811E+00   -0.2053193708E+00    0.4636654266E+00
        63    0.3922205405E+00    0.3923033845E+00    0.3244096485E+01    0.1409781007E+00   -0.2591952531E+00    0.2859008947E+00
        64    0.7214257889E+00    0.7465997210E+00    0.2354157721E+01    0.3953859923E+00    0.7319806677E-01    0.3356801051E+00
        65    0.3546175074E+00    0.3278509797E+00    0.3612868752E+01    0.2906978707E+00   -0.1398600975E+00    0.3544519890E-01
        66    0.3151681388E+00    0.3392098507E+00    0.3780759996E+01    0.8109256133E+00    0.2094316181E+00    0.4715655054E+00
        67    0.1206344592E-01   -0.5737225929E-02    0.4377073397E+01    0.1818649165E+00   -0.2240485789E+00    0.5956425044E+00
        68    0.5978225850E-01    0.5467544962E-01    0.4286785475E+01    0.2727640524E+00   -0.1814254441E+00    0.4737691532E+00
        69    0.4867334080E+00    0.4557652671E+00    0.3324468763E+01    0.5762387312E+00    0.6708371892E-01    0.3308436832E+00
        70    0.3741848874E+00    0.3507180755E+00    0.3526726349E+01    0.5129876426E+00   -0.1444771026E+00    0.4746402218E+00
        71    0.4886927610E+00    0.4776193696E+00    0.3336919579E+01    0.6480279794E+00    0.1545393622E+00    0.2470057638E+00
        72    0.4225904075E+00    0.4124835482E+00    0.3476441826E+01    0.4960824929E+00    0.8110015632E-01    0.1286289617E+00
        73    0.8344923771E+00    0.8201559754E+00    0.2342639798E+01    0.1011665562E+01   -0.3590678817E+00    0.4470059103E+00
        74    0.5607034825E+00    0.5592839850E+00    0.3093111115E+01    0.5913107441E+00    0.0000000000E+00    0.4999362970E-01
        75    0.4839517022E+00    0.4779954794E+00    0.3171490175E+01    0.8631054522E+00   -0.4152103832E-01    0.1048348283E+01
        76    0.4261450161E+00    0.4763926159E+00    0.3185311056E+01    0.4024835737E+00    0.4337735537E-01    0.2721610498E+00
        77    0.4321106709E+00    0.5067488799E+00    0.3050965886E+01    0.6069265193E+00   -0.3571296126E-01    0.7214252182E+00
        78    0.3435818346E+00    0.3313619884E+00    0.3435606631E+01    0.4832841076E-01   -0.3875725198E+00    0.2272767380E-01
        79    0.4776085073E+00    0.4799747044E+00    0.2963485702E+01    0.2869999220E+00    0.1120860620E-01    0.7544540585E+00
        80    0.5757396914E+00    0.5786882447E+00    0.2772658989E+01    0.4443242665E+00    0.0000000000E+00    0.6663094163E+00
