Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius,Energy
Lu,71.0,174.967,3.0,5.42586,13.9,50.0,1.27,2.39,2.24,187.0,1.75,,,,1925.0,3675.0,9841.0,17.78,18.65,415.0,16.0,0.154,3,20.0,0.26,48.0,69.0,9.9e-06,1.001,0.0,
Mg,12.0,24.305,2.0,7.646235,15.03527,0.0,1.31,1.293,1.73,141.0,1.5,0.9,1.13,,923.0,1363.0,1738.0,14.0,8.48,128.0,160.0,1.023,1,73.0,0.29,45.0,45.0,8.2e-06,0.86,0.0,-0.00820571
Mn,25.0,54.938045,7.0,7.43402,15.64,0.0,1.55,1.75,2.05,139.0,1.4,0.99,1.23,0.23,1519.0,2334.0,7470.0,7.35,12.91,220.0,7.8,0.479,3,60.0,,120.0,198.0,2.17e-05,0.648333333333333,0.0,-0.47808639
Mo,42.0,95.94,6.0,7.09243,16.16,71.9,2.16,1.47,2.17,154.0,1.45,1.22,1.5,0.49,2896.0,4912.0,10280.0,9.38,37.48,600.0,139.0,0.251,3,56.0,0.31,230.0,329.0,4.8e-06,0.775,0.0,
N,7.0,14.0067,15.0,14.5341,29.6013,7.0,3.04,3.066,1.55,71.0,0.65,0.33,0.21,,63.05,77.36,,13.54,0.355,2.79,0.02583,1.04,2,100.0,,,,,0.285,1.32,-0.17273685
Na,11.0,22.98976928,1.0,5.139076,47.2864,52.8,0.93,0.869,2.27,166.0,1.8,1.1,1.55,,370.87,1156.0,968.0,23.78,2.6,97.7,140.0,1.228,1,11.0,,6.3,10.0,7.1e-05,1.16,0.0,-0.093857
Nb,41.0,92.90638,5.0,6.75885,14.0,86.1,1.6,1.41,2.18,164.0,1.45,1.23,1.53,0.51,2750.0,5017.0,8570.0,10.83,30.0,690.0,54.0,0.265,3,53.0,0.4,170.0,105.0,7.3e-06,0.82,0.0,-0.83517901
Nd,60.0,144.242,3.0,5.525,10.72,50.0,1.14,1.47,2.39,201.0,1.85,,,,1297.0,3373.0,6800.0,20.59,7.14,285.0,17.0,0.19,4,30.0,0.28,32.0,41.0,9.6e-06,1.2765,0.0,
Ni,28.0,58.6934,10.0,7.6398,18.16884,112.0,1.91,1.88,1.97,124.0,1.35,0.96,1.22,0.195,1728.0,3186.0,8908.0,6.59,17.48,378.0,91.0,0.444,3,67.0,0.31,180.0,200.0,1.34e-05,0.74,0.0,
Np,93.0,237.0,3.0,6.2657,,,1.36,,2.39,190.0,1.75,,,,910.0,4273.0,20450.0,11.59,3.2,335.0,6.0,,4,44.0,,,,,1.0,0.0,
O,8.0,15.9994,16.0,13.61805,35.1211,141.0,3.44,3.61,1.52,66.0,0.6,0.285,0.18,,54.8,90.2,,17.36,0.22,3.41,0.02658,0.918,2,101.0,,,,,0.0,1.26,-0.16665629
Os,76.0,190.23,8.0,8.43823,,106.1,2.2,,2.16,144.0,1.3,1.17,1.48,0.543,3306.0,5285.0,22610.0,8.42,57.85,630.0,88.0,0.13,3,63.0,0.25,,,5.1e-06,0.673,0.0,
P,15.0,30.973762,15.0,10.48669,19.7695,72.0,2.19,2.253,1.8,107.0,1.0,0.6,0.64,,317.3,550.0,1823.0,17.02,18.54,12.4,0.236,0.769,2,90.0,,11.0,,,0.55,0.0,
Pa,91.0,231.03588,3.0,5.89,,,1.5,,2.1,200.0,1.8,,,,1841.0,,15370.0,15.18,12.34,470.0,47.0,,4,46.0,,,,,1.04,0.0,
Pb,82.0,207.2,14.0,7.41663,15.03248,35.1,2.33,,2.02,146.0,1.8,0.96,1.13,0.45,600.61,2022.0,11340.0,18.26,4.774,178.0,35.0,0.13,2,82.0,0.44,46.0,16.0,2.89e-05,1.1225,0.0,-0.13983971
Pd,46.0,106.42,10.0,8.3369,19.43,53.7,2.2,1.58,2.1,139.0,1.4,1.08,1.37,0.4,1828.05,3236.0,12023.0,8.56,16.74,380.0,72.0,0.244,3,69.0,0.39,180.0,121.0,1.18e-05,0.84625,0.0,
Pm,61.0,145.0,3.0,5.582,10.9,50.0,1.13,1.6,2.38,199.0,1.85,,,,1373.0,3273.0,7264.0,20.23,,290.0,15.0,,4,29.0,0.28,33.0,46.0,1.1e-05,1.11,0.0,
Pr,59.0,140.90765,3.0,5.473,10.55,50.0,1.13,1.34,2.4,203.0,1.85,,,,1208.0,3563.0,6640.0,20.8,6.89,330.0,13.0,0.193,4,31.0,0.28,29.0,37.0,6.7e-06,1.06,0.0,
Pt,78.0,195.084,10.0,8.9588,18.563,205.3,2.28,,2.13,136.0,1.35,1.24,1.46,0.51,2041.4,4098.0,21090.0,9.09,22.175,490.0,72.0,0.133,3,68.0,0.38,230.0,168.0,8.8e-06,0.805,0.0,
Pu,94.0,244.0,3.0,6.026,11.2,,1.28,,2.43,187.0,1.75,,,,912.5,3503.0,19816.0,12.29,2.824,325.0,6.0,,4,43.0,0.21,,96.0,,0.9675,0.0,
Rb,37.0,85.4678,1.0,4.177128,27.2895,46.9,0.82,0.706,3.03,220.0,2.35,1.67,2.43,0.71,312.46,961.0,1532.0,55.76,2.19,72.0,58.0,0.363,1,9.0,,2.5,2.4,,1.66,0.0,-0.19398227
Re,75.0,186.207,7.0,7.83352,,14.5,1.9,,2.16,151.0,1.35,1.19,1.49,0.565,3459.0,5869.0,21020.0,8.86,34.08,705.0,48.0,0.137,3,58.0,0.3,370.0,463.0,6.2e-06,0.7125,0.0,-1.20538804
Rh,45.0,102.9055,9.0,7.4589,18.08,109.7,2.28,1.56,2.1,142.0,1.35,1.11,1.41,0.42,2237.0,3968.0,12450.0,8.28,26.59,495.0,150.0,0.243,3,65.0,0.26,380.0,275.0,8.2e-06,0.745,0.0,
Ru,44.0,101.07,8.0,7.3605,16.76,101.3,2.2,1.54,2.13,146.0,1.3,1.145,1.46,0.45,2607.0,4423.0,12370.0,8.17,38.59,580.0,120.0,0.238,3,62.0,0.3,220.0,447.0,6.4e-06,0.661,0.0,
S,16.0,32.065,16.0,10.36001,23.33788,200.0,2.58,2.589,1.8,105.0,1.0,0.54,0.56,,388.36,717.87,1960.0,15.53,1.721,9.8,0.205,0.708,2,94.0,,7.7,,,0.47,1.7,-0.16991183
Sb,51.0,121.76,15.0,8.60839,16.63,103.2,2.05,1.984,2.06,139.0,1.45,0.83,0.935,0.335,903.78,1860.0,6697.0,18.19,19.79,68.0,24.0,0.207,2,88.0,,42.0,55.0,1.1e-05,0.83,0.0,-0.17308676
Sc,21.0,44.955912,3.0,6.56149,12.79977,18.1,1.36,1.19,2.15,170.0,1.6,1.22,1.53,0.31,1814.0,3103.0,2985.0,15.0,14.1,318.0,16.0,0.568,3,19.0,0.28,57.0,74.0,1.02e-05,0.885,0.0,-1.71487715
Se,34.0,78.96,16.0,9.75239,21.19,195.0,2.55,2.424,1.9,120.0,1.15,0.615,0.67,0.15,494.0,958.0,4819.0,16.42,6.69,26.0,0.52,0.321,2,93.0,0.33,8.3,10.0,,0.6,1.84,-0.16686812
Si,14.0,28.0855,14.0,8.15168,16.34584,133.6,1.9,1.916,2.1,111.0,1.1,0.68,0.74,,1687.0,3173.0,2330.0,12.06,50.21,359.0,150.0,0.712,2,85.0,,100.0,47.0,2.6e-06,0.54,0.0,-0.16084527
Sm,62.0,150.36,3.0,5.6437,11.07,50.0,1.17,1.65,2.36,198.0,1.85,,,,1345.0,2076.0,7353.0,19.98,8.62,175.0,13.0,0.196,4,28.0,0.27,38.0,50.0,1.27e-05,1.229,0.0,
Sn,50.0,118.71,14.0,7.34392,14.6322,107.3,1.96,1.824,2.17,139.0,1.45,0.88,1.0,0.345,505.08,2875.0,7310.0,16.29,7.15,290.0,67.0,0.227,2,83.0,0.36,58.0,50.0,2.2e-05,0.83,0.0,-0.14578553
Sr,38.0,87.62,2.0,5.69485,11.0301,5.03,0.95,0.963,2.49,195.0,2.0,1.42,1.79,0.633,1050.0,1655.0,2630.0,33.94,7.43,137.0,35.0,0.306,1,15.0,0.28,,,2.25e-05,1.32,0.0,-0.08779794
Ta,73.0,180.94788,5.0,7.54957,,31.0,1.5,0.67,2.22,170.0,1.45,1.25,1.54,0.605,3290.0,5731.0,16650.0,10.85,36.57,735.0,57.0,0.14,3,52.0,0.34,200.0,186.0,6.3e-06,0.82,0.0,-2.33088358
Tb,65.0,158.92535,3.0,5.8638,11.52,50.0,1.1,1.92,2.33,194.0,1.75,,,,1629.0,3503.0,8219.0,19.3,10.15,295.0,11.0,0.182,4,26.0,0.26,38.7,56.0,1.03e-05,0.9815,0.0,
Tc,43.0,98.0,7.0,7.28,15.26,53.0,1.9,1.51,2.16,147.0,1.35,1.16,1.49,0.455,2430.0,4538.0,11500.0,8.63,33.29,550.0,51.0,,3,59.0,,,,,0.741666666666667,0.0,-0.37380788
Te,52.0,127.6,16.0,9.0096,18.6,190.2,2.1,2.158,2.06,138.0,1.4,0.79,0.88,0.325,722.66,1261.0,6240.0,20.46,17.38,48.0,3.0,0.202,2,92.0,,65.0,43.0,,0.905,2.07,
Th,90.0,232.03806,3.0,6.3067,11.9,,1.3,,2.45,206.0,1.8,,,,2115.0,5093.0,11724.0,19.8,13.81,530.0,54.0,0.118,4,47.0,0.27,54.0,79.0,1.1e-05,1.08,0.0,
Ti,22.0,47.867,4.0,6.82812,13.5755,7.6,1.54,1.38,2.11,160.0,1.4,1.15,1.43,0.28,1941.0,3560.0,4507.0,10.64,14.15,425.0,22.0,0.524,3,51.0,0.32,110.0,116.0,8.6e-06,0.851666666666667,0.0,-1.23328983
Tl,81.0,204.3833,13.0,6.108194,20.4283,19.2,1.62,,1.96,145.0,1.9,1.015,1.22,0.463,577.0,1746.0,11850.0,17.22,4.142,165.0,46.0,0.129,2,78.0,0.45,43.0,8.0,2.99e-05,1.3325,0.0,-0.0862574
Tm,69.0,168.93421,3.0,6.18431,12.05,50.0,1.25,2.01,2.27,190.0,1.75,,,,1818.0,2223.0,9321.0,19.1,16.84,250.0,17.0,0.16,4,21.0,0.21,45.0,74.0,1.33e-05,1.095,0.0,
U,92.0,238.02891,3.0,6.1941,10.6,,1.38,,2.41,196.0,1.75,,,,1405.3,4200.0,19050.0,12.49,9.14,420.0,27.0,0.116,4,45.0,0.23,100.0,208.0,1.39e-05,0.99125,0.0,
V,23.0,50.9415,5.0,6.74619,14.618,50.6,1.63,1.53,2.07,153.0,1.35,1.09,1.34,0.26,2183.0,3680.0,6110.0,8.32,21.5,453.0,31.0,0.489,3,54.0,0.37,160.0,128.0,8.4e-06,0.7775,0.0,-0.88004139
W,74.0,183.84,6.0,7.86403,16.1,78.6,2.36,0.89,2.18,162.0,1.35,1.22,1.515,0.59,3695.0,5828.0,19250.0,9.47,52.31,800.0,170.0,0.132,3,55.0,0.28,310.0,411.0,4.5e-06,0.766666666666667,0.0,-1.79919044
Y,39.0,88.90585,3.0,6.2173,12.224,29.6,1.22,1.12,2.32,190.0,1.8,1.32,1.62,0.58,1799.0,3609.0,4472.0,19.88,11.39,380.0,17.0,0.298,3,25.0,0.24,41.0,64.0,1.06e-05,1.04,0.0,-2.03253626
Yb,70.0,173.04,3.0,6.25416,12.176,50.0,1.1,2.19,2.26,187.0,1.75,,,,1097.0,1469.0,6570.0,24.84,7.66,160.0,39.0,0.155,4,17.0,0.21,31.0,24.0,2.63e-05,1.084,0.0,
Zn,30.0,65.409,12.0,9.394199,17.96439,0.0,1.65,1.59,2.01,122.0,1.35,0.82,1.06,0.175,692.68,1180.0,7140.0,9.16,7.068,119.0,120.0,0.388,3,76.0,0.25,70.0,108.0,3.02e-05,0.88,0.0,-0.01276794
Zr,40.0,91.224,4.0,6.6339,13.1,41.1,1.33,1.32,2.23,175.0,1.55,1.265,1.56,0.54,2128.0,4682.0,6511.0,14.02,21.0,580.0,23.0,0.278,3,49.0,0.34,,68.0,5.7e-06,0.86,0.0,
