Name,mean_A2B,X_EA,X_Z,X_IEII,X_Rvdw,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,std_A2X,A_ChiP,A_EA,B_Hf,std_B2X,X_G,B_MP,X_Kappa,A_MP,B_Kappa,B_Z,OF,A_Kappa,A_Z,B_Ra,B_Rho,A_CvM,X_MV,A_G,B_EA,A_B,std_X2X,B_CvM,B_ChiP,TF,std_A2B,X_IEI,B_IEI,B_MV
CsAuI3,5.259788518909546,295.2,53.0,19.1313,1.98,4.253915853181856,3.43,4.32110620373121,3.893905,-11.641618630000002,0.659,0.0304386229743221,0.79,45.5,12.55,0.3822763086201281,17.0,1337.33,0.449,301.59,320.0,79.0,0.5045454545454545,36.0,55.0,1.35,19300.0,0.242,25.72,1.0,222.8,1.0,0.2623773602698975,0.129,2.54,0.8715998994686143,3.8459253727671276e-16,10.45126,9.22553,10.21
CsAuSe3,4.232312907437451,195.0,34.0,21.19,1.9,3.7157529044709854,3.43,4.074252687403119,3.893905,-16.318906239999997,0.659,0.3704646461314429,0.79,45.5,12.55,0.5066770781671772,16.0,1337.33,0.52,301.59,320.0,79.0,0.5606060606060607,36.0,55.0,1.35,19300.0,0.242,16.42,1.0,222.8,1.0,0.7946123080825243,0.129,2.54,0.8833113836181468,0.2910070757145268,9.75239,9.22553,10.21
CsBeH3,3.641941920549829,72.8,1.0,,1.1,3.466278940247519,3.43,3.182216281525264,3.893905,-14.88930261,0.659,0.1028860840792074,0.79,45.5,7.895,1.4613616499920588,1.0,1560.0,0.1805,301.59,190.0,4.0,0.123076923076923,36.0,55.0,1.05,1848.0,0.242,11.42,1.0,0.0,1.0,0.9025872280458364,1.825,1.57,1.5401366877898774,0.0245956321761844,13.598443,9.3227,4.85
CsBiO3,3.83050678175963,141.0,8.0,35.1211,1.52,3.127595690527205,3.43,3.127595690527205,3.893905,-23.48638159,0.659,0.0,0.79,45.5,11.106,0.0,16.0,544.4,0.02658,301.59,8.0,83.0,0.662962962962963,36.0,55.0,1.6,9780.0,0.242,17.36,1.0,91.2,1.0,0.0,0.122,2.02,1.0173518499922265,0.0,13.61805,7.2855,21.31
CsBrO3,4.082999890728085,141.0,8.0,35.1211,1.52,3.6274394795827503,3.43,3.462746564815744,3.893905,-19.7684657,0.659,0.1757714877394845,0.79,45.5,5.285,1.303734074158439,16.0,265.8,0.02658,301.59,0.12,35.0,0.2888888888888888,36.0,55.0,1.15,,0.242,17.36,1.0,324.6,1.0,0.7549065741367411,0.474,2.96,1.312617760478476,0.0818994588872303,13.61805,11.8138,19.78
CsCaF3,3.966799762885769,328.0,9.0,34.9708,1.47,3.238878443621145,3.43,3.238878443621145,3.893905,-25.21092025,0.659,0.0,0.79,45.5,8.54,0.0,17.0,1115.0,0.0277,301.59,200.0,20.0,1.0428015564202335,36.0,55.0,1.8,1550.0,0.242,11.2,1.0,2.37,1.0,0.0,0.647,1.0,0.8525687476020658,0.0,17.4228,6.11316,26.2
CsCaH3,4.0066906110412015,72.8,1.0,,1.1,3.2714491847503626,3.43,3.2714491847503626,3.893905,-14.42288505,0.659,0.0,0.79,45.5,8.54,0.0,1.0,1115.0,0.1805,301.59,200.0,20.0,1.0307692307692309,36.0,55.0,1.8,1550.0,0.242,11.42,1.0,2.37,1.0,0.0,0.647,1.0,0.8517422591565229,0.0,13.598443,6.11316,26.2
CsCdCl3,4.617651919838872,349.0,17.0,23.8136,1.75,3.7702970044627895,3.43,3.7702970044627895,3.893905,-13.8806868,0.659,0.0,0.79,45.5,6.21,0.0,17.0,594.22,0.0089,301.59,97.0,48.0,0.7237569060773481,36.0,55.0,1.55,8650.0,0.242,17.39,1.0,0.0,1.0,0.0,0.231,1.69,0.8362897508263974,0.0,12.96763,8.99382,13.0
CsCdF3,3.951600672636378,328.0,9.0,34.9708,1.47,3.2264684383993054,3.43,3.2264684383993054,3.893905,-19.11520431,0.659,0.0,0.79,45.5,6.21,0.0,17.0,594.22,0.0277,301.59,97.0,48.0,1.019455252918288,36.0,55.0,1.55,8650.0,0.242,11.2,1.0,0.0,1.0,0.0,0.231,1.69,0.8624250337015117,0.0,17.4228,8.99382,13.0
CsGeCl3,4.741574616084046,349.0,17.0,23.8136,1.75,3.819309305199508,3.43,3.926612321322098,3.893905,-16.9125171766667,0.659,0.0487757707083919,0.79,45.5,36.94,0.3533802251714047,17.0,1211.4,0.0089,301.59,60.0,32.0,0.4033149171270718,36.0,55.0,1.25,5323.0,0.242,17.39,1.0,119.0,1.0,0.1896745425860453,0.32,2.01,1.0272535521962047,0.0523074130918961,12.96763,7.89943,13.63
