,Name,Coef_c,density,E_coh,TF,OF,B_Hf,mean_A2B,mean_A2X,mean_B2X,mean_X2X,std_A2B,std_A2X,std_B2X,std_X2X,A_Rvdw,B_Ra,X_Ra,A_Z,B_Z,X_Z,A_G,B_G,A_EA,B_EA,X_EA,B_MP,A_BP,A_Kappa,B_Kappa,X_Kappa,A_CvM,B_CvM,A_B,B_B,B_MV,X_MV,A_Rho,B_Rho,A_ChiP,B_ChiP,A_ChiA,X_ChiA,s_A,s_B,s_X,A_IEI,B_IEI,X_IEI,A_IEII,B_IEII,X_IEII
0,TlIO3,0.562097541306077,0.4889029674720127,0.8934965825394375,0.3713360797415758,0.6331233628539379,0.041608391608391596,0.37138997325316514,0.3962387117850319,0.0,0.015565773834522512,0.0,4.234665225421239e-12,2.820945299942015e-12,2.2169633736917947e-12,0.1352941176470588,0.5384615384615383,0.3043478260869565,0.9999999999999999,0.6250000000000001,0.13461538461538464,0.9999999999999999,1.0,0.3221476510067114,0.9094269870609981,0.39181286549707595,0.034251032765548084,0.16284263959390863,0.14864864864864863,0.001028510691509316,0.03459205634905106,0.0,0.026589595375722544,0.3333333333333333,0.5,0.7218274111675128,0.4242424242424243,0.5523553819868197,0.21503539175006103,0.7477477477477478,0.8507462686567165,,0.6920232435287903,0.8421052631578947,0.6694915254237287,0.0710382513661203,0.4341815500846583,0.7878351269627398,0.5039704526876663,0.1588220336439497,0.12538635719912897,0.19772544878302728
1,CaWN3,0.9056956226869044,0.4344931709222284,0.662432400160929,0.39578647962918934,0.31639700567800355,0.4310314685314685,0.3454507594877143,0.5826335126915849,0.6737189307885094,0.23944965614100755,0.29302752467849125,0.6724471400048939,0.7776450710380997,0.6892142235974186,0.3411764705882352,0.5000000000000002,0.3478260869565218,0.21794871794871792,0.8875000000000001,0.1153846153846154,0.08333333333333333,0.3125,0.03976510067114094,0.24214417744916816,0.0,0.9702903061513214,0.16507614213197971,0.8423423423423424,0.5310741528073027,0.03312463314419878,0.15001448016217783,0.002890173410404623,0.0,1.0,0.17191201353637908,0.16115702479338834,0.04954845008542837,0.9135953136441299,0.18918918918918914,0.701492537313433,0.3761283851554664,0.4046487057580561,0.5263157894736843,0.3728813559322033,0.1912568306010929,0.4351552918038829,0.3849703857674792,0.6233969240236183,0.028458241850491867,0.07846939865252853,0.1294691271159299
2,BaHfO3,0.8083895889390569,0.6560930702677125,0.637222049601339,0.45309697108550406,0.4407820880628678,0.2115384615384615,0.2821614448025127,0.440717389673716,0.147937328061863,0.0982319581862845,0.0,0.0,0.0,0.0,0.5588235294117647,0.653846153846154,0.3043478260869565,0.6794871794871795,0.8625,0.13461538461538464,0.08333333333333333,0.1875,0.23406040268456374,0.0,0.39181286549707595,0.6338633919981892,0.24345177664974618,0.02252252252252253,0.07152682255845942,0.03459205634905106,0.021720243266724587,0.00635838150289017,0.0,1.0,0.30626057529610834,0.4242424242424243,0.14522821576763487,0.6236270441786673,0.09009009009009006,0.17412935323383083,0.22266800401203624,0.6920232435287903,0.7631578947368423,0.4661016949152541,0.0710382513661203,0.2583884241207942,0.22319104975474457,0.5039704526876663,0.0,0.06144414400889031,0.19772544878302728
3,RbBrO3,0.6421772092111979,0.19493606227947,0.9040033141839777,0.6947315072616086,0.18432705500810811,0.019973776223776222,0.43305942362299055,0.6006398716933323,0.7401878463567217,0.4392367649804467,0.11497978044221668,0.24793041051402423,0.8566568414367941,0.7595548982501172,0.7647058823529409,0.34615384615384615,0.3043478260869565,0.4358974358974359,0.4,0.13461538461538464,0.0,1.0,0.7869127516778524,1.0,0.39181286549707595,0.0,0.003451776649746191,0.2027027027027027,0.0,0.03459205634905106,0.0677671589921807,0.10173410404624278,0.0,0.5,0.520812182741117,0.4242424242424243,0.04866975835977544,0.1261410788381743,0.027027027027026862,1.0,0.04714142427281842,0.6920232435287903,0.8596491228070176,0.19491525423728812,0.0710382513661203,0.05553484714941315,0.9999999999999999,0.5039704526876663,0.2633558600387561,0.16345637433272617,0.19772544878302728
4,SrWN3,0.8715765295004727,0.5075116682489519,0.6661625243446316,0.43160553678938884,0.31639700567800355,0.4310314685314685,0.5509125058505466,0.5666136145802796,0.8553815017312012,0.38176991992661247,1.0,0.5173616953284389,0.8607608466091364,0.8040506522122743,0.44705882352941173,0.5000000000000002,0.3478260869565218,0.4487179487179487,0.8875000000000001,0.1153846153846154,0.08333333333333333,0.3125,0.08439597315436242,0.24214417744916816,0.0,0.9702903061513214,0.1443654822335025,0.0990990990990991,0.5310741528073027,0.03312463314419878,0.051259774109470024,0.002890173410404623,0.0,1.0,0.17191201353637908,0.16115702479338834,0.10226995362460338,0.9135953136441299,0.144144144144144,0.701492537313433,0.30491474423269815,0.4046487057580561,0.6140350877192984,0.3728813559322033,0.1912568306010929,0.35313235612750404,0.3849703857674792,0.6233969240236183,0.01563573864837023,0.07846939865252853,0.1294691271159299
5,NaNbO3,0.9273109443416891,0.28177116673007585,0.6970071924756669,0.4088181366060658,0.384682549582139,0.23601398601398596,0.18993091517737182,0.5188960885211518,0.7189341513180525,0.3159163991268441,0.13170894638725766,0.7155982784444491,0.7596592737295327,0.8012779452847473,0.31764705882352917,0.5769230769230769,0.3043478260869565,0.10256410256410256,0.4750000000000001,0.13461538461538464,0.0,0.25,0.8859060402684563,0.2652495378927911,0.39181286549707595,0.7029030615132138,0.04304568527918781,0.5720720720720721,0.16843816431161687,0.03459205634905106,0.3182739646684043,0.04132947976878613,0.0,1.0,0.21793570219966163,0.4242424242424243,0.021137417622650725,0.3922382230900659,0.12612612612612617,0.3233830845771145,0.2106318956870612,0.6920232435287903,0.5701754385964912,0.40677966101694907,0.0710382513661203,0.24415524572468372,0.21287975034883544,0.5039704526876663,0.5680186701935839,0.04596663978740104,0.19772544878302728
6,NaCdF3,0.8411585333711655,0.26714258983602635,0.9119983064249035,0.27598896183389354,0.6716352750405415,0.028059440559440558,0.31948132578065835,0.5870377110694853,0.8346153124417606,0.20846381964705873,0.4886101744265246,0.8631849746168315,0.7217791203971933,0.1335828198071406,0.31764705882352917,0.653846153846154,0.2173913043478261,0.10256410256410256,0.5625000000000001,0.15384615384615385,0.0,0.6875,0.8859060402684563,0.0,0.9385964912280701,0.09292626336936224,0.04304568527918781,0.5720720720720721,0.3028635738401901,0.036783408334963796,0.3182739646684043,0.03150289017341041,0.0,1.0,0.2913705583756346,0.0,0.021137417622650725,0.3961435196485233,0.12612612612612617,0.3681592039800995,0.2106318956870612,0.9999999999999998,0.5701754385964912,0.6694915254237287,0.0,0.24415524572468372,0.5608931123727651,1.0000000000000002,0.5680186701935839,0.09098002008980052,0.19586688051124845
7,CsMgCl3,0.5722428313426456,0.12304888793058402,0.935631720920109,0.4690385751813143,0.3021493690548478,0.0479020979020979,0.6988456125673608,0.791279557134678,0.3833342350291429,0.4541545069807662,0.0,0.07185911102615485,9.08206284324001e-09,0.1536173963991333,1.0,0.6153846153846154,0.6521739130434783,0.6666666666666666,0.11250000000000002,0.3076923076923077,0.0,0.0625,0.7634228187919463,0.0,0.9999999999999999,0.18595438854620563,0.0,0.10360360360360361,0.4998124296611229,0.0,0.03272516652186505,0.26040462427745664,0.0,0.0,0.3252115059221659,0.4263085399449036,0.06560898218208445,0.05872589699780327,0.0,0.17910447761194037,0.0,0.30058108821975726,1.0,0.4745762711864405,0.5737704918032787,0.0,0.35105692376038233,0.4191744639465167,0.20040185160103036,0.06199003558278224,0.05790002807019279
8,KSbO3,0.8977355554872628,0.26616959739861823,0.8170537244610654,0.5242574979771003,0.3526256704502936,0.14676573426573425,0.5077878685828472,0.5781914895480544,0.11098974994137945,0.38930723162171077,0.41014580443529336,0.6269902438045287,0.005969696042032716,0.7604833243118921,0.5999999999999999,0.5769230769230769,0.3043478260869565,0.20512820512820512,0.6000000000000001,0.13461538461538464,0.0,0.875,0.8120805369127516,0.31792975970425136,0.39181286549707595,0.1805160998245713,0.01786802030456852,0.3918918918918919,0.07465299487307742,0.03459205634905106,0.1818708369533739,0.024566473988439308,0.0,0.5,0.46700507614213216,0.4242424242424243,0.015670002440810352,0.3008054674151818,0.027027027027026862,0.5472636815920399,0.07522567703109329,0.6920232435287903,0.7894736842105263,0.3728813559322033,0.0710382513661203,0.08760112668544473,0.500876740732482,0.5039704526876663,0.3294855565155615,0.0866724758899178,0.19772544878302728
9,KTaO3,0.8885626647702191,0.5229567469082119,0.6925548048829003,0.5015156965935182,0.384682549582139,0.2934440559440559,0.21338545915923235,0.38818657511003996,0.09740557832680397,0.021462720407246838,0.0,0.0,0.0,0.0,0.5999999999999999,0.5769230769230769,0.3043478260869565,0.20512820512820512,0.8750000000000001,0.13461538461538464,0.0,0.25,0.8120805369127516,0.09550215650030806,0.39181286549707595,0.8556957727349895,0.01786802030456852,0.3918918918918919,0.17781668125547082,0.03459205634905106,0.1818708369533739,0.005202312138728328,0.0,1.0,0.21861252115059226,0.4242424242424243,0.015670002440810352,0.7866731754942641,0.027027027027026862,0.27363184079602,0.07522567703109329,0.6920232435287903,0.7894736842105263,0.40677966101694907,0.0710382513661203,0.08760112668544473,0.33600494917457435,0.5039704526876663,0.3294855565155615,0.06144414400889031,0.19772544878302728
