material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,nsites,density_MP,s_A,s_B,s_X
mp-1100389,CaSnS3,Ca,Sn,S,C2,2.87350452625,-18.7834587,10,0.151652852475434,1.34,0.81,1.84
mp-1172893,CsCrI3,Cs,Cr,I,Cmcm,0.553264324500001,-66.66089274,20,3.02818468831518,1.88,0.73,2.2
mp-1182718,FeBiO3,Fe,Bi,O,Cc,3.413610901,-28.16832106,10,0.366821189742476,0.78,1.03,1.42
mp-1181307,LaCoO3,La,Co,O,C2/c,2.915006911,-46.70783219,10,1.19959462975711,1.36,0.61,1.42
mp-1182197,NdMnO3,Nd,Mn,O,P2_1/c,3.9710545235,-80.41736365,20,0.407250372660066,1.27,0.645,1.42
mp-1192792,SrRuO3,Sr,Ru,O,Pnma,4.1602731525,-61.59037079,20,0.504402828810313,1.44,0.62,1.42
mp-1101047,TiCdO3,Ti,Cd,O,P1,1.11453518,-72.40129856,10,2.48870749040961,0.74,1.31,1.42
