Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius,Energy
Ca,20,40.078,2,6.11316,11.87172,2.37,1.0,1.034,2.31,176,1.8,1.32,1.68,0.34,1115.0,1757.0,1550.0,26.2,8.54,155.0,200.0,0.647,1,16,0.31,17.0,20.0,2.23E-05,1.14,0.0,-0.06368273
Cd,48,112.411,12,8.99382,16.90831,0,1.69,1.52,2.18,144,1.55,0.985,1.23,0.37,594.22,1040.0,8650.0,13.0,6.21,100.0,97.0,0.231,3,75,0.3,42.0,50.0,3.08E-05,1.09,0.0,-0.01674995
Ce,58,140.116,3,5.5387,10.85,50,1.12,1.16,2.42,204,1.85,,,,1068.0,3633.0,6689.0,20.69,5.46,350.0,11.0,0.192,4,32,0.24,22.0,34.0,6.3E-06,1.08,0.0,-3.4629856
Cl,17,35.453,17,12.96763,23.8136,349,3.16,2.869,1.75,102,1.0,0.5,0.51,,171.6,239.11,3214.0,17.39,3.2,10.2,0.0089,0.479,2,99,,1.1,,,0.335,1.67,-0.07111865
Co,27,58.933195,9,7.88101,17.084,63.7,1.88,1.84,2.0,126,1.35,0.92,1.1,0.21,1768.0,3200.0,8900.0,6.67,16.2,375.0,100.0,0.421,3,64,0.31,180.0,209.0,1.3E-05,0.768333333333333,0.0,-0.42163456
Cr,24,51.9961,6,6.76651,16.4857,64.3,1.66,1.65,2.06,139,1.4,1.07,1.37,0.25,2180.0,2944.0,7140.0,7.23,21.0,339.0,94.0,0.449,3,57,0.21,160.0,279.0,4.9E-06,0.94,0.0,-1.01008768
Cs,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,1.71,2.6,,301.59,944.0,1879.0,70.94,2.09,65.0,36.0,0.242,1,8,,1.6,1.7,,1.81,0.0,-0.20427302
Cu,29,63.546,11,7.72638,20.2924,118.4,1.9,1.85,1.96,132,1.35,0.88,1.16,0.185,1357.77,3200.0,8920.0,7.11,13.6,300.0,400.0,0.385,3,72,0.34,140.0,130.0,1.65E-05,0.82,0.0,-0.04038649
Dy,66,162.5,3,5.9389,11.67,50,1.22,1.76,2.31,192,1.75,,,,1680.0,2840.0,8551.0,19.01,11.35,280.0,11.0,0.173,4,24,0.25,41.0,61.0,9.9E-06,1.131,0.0,-0.08752825
Er,68,167.259,3,6.1077,11.93,50,1.24,1.854,2.29,189,1.75,,,,1802.0,3141.0,9066.0,18.46,19.9,285.0,15.0,0.168,4,22,0.24,44.0,70.0,1.22E-05,1.03,0.0,-0.08411611
Eu,63,151.964,3,5.67038,11.25,50,1.2,1.68,2.35,198,1.85,,,,1099.0,1800.0,5244.0,28.97,9.21,175.0,14.0,0.182,4,18,0.15,8.3,18.0,3.5E-05,1.1985,0.0,-0.05133291
F,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,0.25,0.155,,53.53,85.03,1696.0,11.2,0.255,3.27,0.0277,0.824,2,102,,,,,0.22,1.19,-0.06650319
Fe,26,55.845,8,7.9024,16.1877,15.7,1.83,1.8,2.04,132,1.4,0.95,1.16,0.22,1811.0,3134.0,7874.0,7.09,13.81,347.0,80.0,0.449,3,61,0.29,170.0,211.0,1.18E-05,0.8525,0.0,-0.85782762
Ga,31,69.723,13,5.999301,20.51515,28.9,1.81,1.756,1.87,122,1.3,0.76,0.935,0.17,302.91,2477.0,5904.0,11.8,5.585,256.0,29.0,0.373,2,81,,,,0.00012,0.76,0.0,-0.05198066
Gd,64,157.25,3,6.1498,12.09,50,1.2,1.72,2.34,196,1.8,,,,1585.0,3523.0,7901.0,19.9,9.67,305.0,11.0,0.235,4,27,0.26,38.0,55.0,9.4E-06,1.075,0.0,-0.09260575
Ge,32,72.64,14,7.89943,15.93461,119,2.01,1.994,2.11,120,1.25,0.72,0.84,0.16,1211.4,3093.0,5323.0,13.63,36.94,334.0,60.0,0.32,2,84,,,,6E-06,0.77,0.0,-0.08413107
H,1,1.00794,1,13.598443,1000.0,72.8,2.2,2.3,1.1,31,0.25,,,,14.01,20.28,89.9,11.42,0.06,0.452,0.1805,14.304,1,103,,,,,0.0,0.0,-0.02841282
Hf,72,178.49,4,6.82507,15.0,0,1.3,2.6,2.23,175,1.55,1.3,1.61,0.63,2506.0,4876.0,13310.0,13.44,27.2,630.0,23.0,0.144,3,50,0.37,110.0,78.0,5.9E-06,0.85,0.0,-2.70296328
Hg,80,200.59,12,10.4375,18.7568,0,2.0,,2.23,132,1.5,1.07,1.34,0.475,234.32,629.88,13534.0,14.09,2.295,59.2,8.3,0.14,3,74,,25.0,,,1.245,0.0,
Ho,67,164.93032,3,6.0215,11.8,50,1.23,1.789,2.3,192,1.75,,,,1734.0,2993.0,8795.0,18.74,11.76,265.0,16.0,0.165,4,23,0.23,40.0,65.0,1.12E-05,1.041,0.0,-0.08537696
I,53,126.90447,17,10.45126,19.1313,295.2,2.66,2.359,1.98,139,1.4,0.755,0.83,0.315,386.85,457.4,4940.0,25.72,7.76,20.9,0.449,0.214,2,97,,7.7,,,0.88,2.06,-0.06457408
In,49,114.818,13,5.78636,18.8703,28.9,1.78,1.656,1.93,142,1.55,0.94,1.11,0.36,429.75,2345.0,7310.0,15.76,3.291,230.0,82.0,0.233,2,79,,,11.0,3.21E-05,0.94,0.0,-0.05770951
Ir,77,192.217,9,8.96702,16.5,151,2.2,,2.13,141,1.35,1.16,1.468,0.526,2739.0,4701.0,22650.0,8.52,41.12,560.0,150.0,0.131,3,66,0.26,320.0,528.0,6.4E-06,0.765,0.0,-0.35262219
K,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,1.54,2.15,0.37,336.53,1032.0,856.0,45.94,2.335,76.9,100.0,0.757,1,10,,3.1,,,1.52,0.0,-0.02231835
La,57,138.90547,3,5.5769,11.059,48,1.1,1.09,2.43,207,1.95,1.375,1.705,0.874,1193.0,3743.0,6146.0,22.39,6.2,400.0,13.0,0.195,4,33,0.28,28.0,37.0,1.21E-05,1.172,0.0,-0.34261996
Li,3,6.941,1,5.391719,75.64,59.6,0.98,0.912,1.82,128,1.45,0.985,0.625,,453.69,1615.0,535.0,13.02,3.0,147.0,85.0,3.582,1,12,,11.0,4.9,4.6E-05,0.9,0.0,-0.06145236
Lu,71,174.967,3,5.42586,13.9,50,1.27,2.39,2.24,187,1.75,,,,1925.0,3675.0,9841.0,17.78,18.65,415.0,16.0,0.154,3,20,0.26,48.0,69.0,9.9E-06,1.001,0.0,-0.11667858
Mg,12,24.305,2,7.646235,15.03527,0,1.31,1.293,1.73,141,1.5,0.9,1.13,,923.0,1363.0,1738.0,14.0,8.48,128.0,160.0,1.023,1,73,0.29,45.0,45.0,8.2E-06,0.86,0.0,-0.00814232
Mn,25,54.938045,7,7.43402,15.64,0,1.55,1.75,2.05,139,1.4,0.99,1.23,0.23,1519.0,2334.0,7470.0,7.35,12.91,220.0,7.8,0.479,3,60,,120.0,198.0,2.17E-05,0.648333333333333,0.0,-0.83833961
Mo,42,95.94,6,7.09243,16.16,71.9,2.16,1.47,2.17,154,1.45,1.22,1.5,0.49,2896.0,4912.0,10280.0,9.38,37.48,600.0,139.0,0.251,3,56,0.31,230.0,329.0,4.8E-06,0.775,0.0,-0.27231253
N,7,14.0067,15,14.5341,29.6013,7,3.04,3.066,1.55,71,0.65,0.33,0.21,,63.05,77.36,1251.0,13.54,0.355,2.79,0.02583,1.04,2,100,,,,,0.285,1.32,-0.08783095
Na,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,1.1,1.55,,370.87,1156.0,968.0,23.78,2.6,97.7,140.0,1.228,1,11,,6.3,10.0,7.1E-05,1.16,0.0,-0.07448832
Nb,41,92.90638,5,6.75885,14.0,86.1,1.6,1.41,2.18,164,1.45,1.23,1.53,0.51,2750.0,5017.0,8570.0,10.83,30.0,690.0,54.0,0.265,3,53,0.4,170.0,105.0,7.3E-06,0.82,0.0,-0.71102437
Nd,60,144.242,3,5.525,10.72,50,1.14,1.47,2.39,201,1.85,,,,1297.0,3373.0,6800.0,20.59,7.14,285.0,17.0,0.19,4,30,0.28,32.0,41.0,9.6E-06,1.2765,0.0,-0.11795272
Ni,28,58.6934,10,7.6398,18.16884,112,1.91,1.88,1.97,124,1.35,0.96,1.22,0.195,1728.0,3186.0,8908.0,6.59,17.48,378.0,91.0,0.444,3,67,0.31,180.0,200.0,1.34E-05,0.74,0.0,-0.16292917
Np,93,237.0,3,6.2657,,45.85,1.36,,2.39,190,1.75,,,,910.0,4273.0,20450.0,11.59,3.2,335.0,6.0,0.12,4,44,,,,,1.0,0.0,-5.59254885
O,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,0.285,0.18,,54.8,90.2,1429.0,17.36,0.22,3.41,0.02658,0.918,2,101,,,,,0.0,1.26,-0.09009154
Os,76,190.23,8,8.43823,16.5,106.1,2.2,,2.16,144,1.3,1.17,1.48,0.543,3306.0,5285.0,22610.0,8.42,57.85,630.0,88.0,0.13,3,63,0.25,,,5.1E-06,0.673,0.0,-0.95608338
P,15,30.973762,15,10.48669,19.7695,72,2.19,2.253,1.8,107,1.0,0.6,0.64,,317.3,550.0,1823.0,17.02,18.54,12.4,0.236,0.769,2,90,,11.0,,,0.55,0.0,-0.09637962
Pa,91,231.03588,3,5.89,,53.03,1.5,,2.1,200,1.8,,,,1841.0,4273.0,15370.0,15.18,12.34,470.0,47.0,0.12,4,46,,,,,1.04,0.0,-1.79309092
Pb,82,207.2,14,7.41663,15.03248,35.1,2.33,,2.02,146,1.8,0.96,1.13,0.45,600.61,2022.0,11340.0,18.26,4.774,178.0,35.0,0.13,2,82,0.44,46.0,16.0,2.89E-05,1.1225,0.0,-0.0796903
Pd,46,106.42,10,8.3369,19.43,53.7,2.2,1.58,2.1,139,1.4,1.08,1.37,0.4,1828.05,3236.0,12023.0,8.56,16.74,380.0,72.0,0.244,3,69,0.39,180.0,121.0,1.18E-05,0.84625,0.0,-1.47611876
Pm,61,145.0,3,5.582,10.9,50,1.13,1.6,2.38,199,1.85,,,,1373.0,3273.0,7264.0,20.23,,290.0,15.0,0.18,4,29,0.28,33.0,46.0,1.1E-05,1.11,0.0,-0.10716406
Pr,59,140.90765,3,5.473,10.55,50,1.13,1.34,2.4,203,1.85,,,,1208.0,3563.0,6640.0,20.8,6.89,330.0,13.0,0.193,4,31,0.28,29.0,37.0,6.7E-06,1.06,0.0,-0.12187591
Pt,78,195.084,10,8.9588,18.563,205.3,2.28,,2.13,136,1.35,1.24,1.46,0.51,2041.4,4098.0,21090.0,9.09,22.175,490.0,72.0,0.133,3,68,0.38,230.0,168.0,8.8E-06,0.805,0.0,-0.18914223
Pu,94,244.0,3,6.026,11.2,-48.33,1.28,,2.43,187,1.75,,,,912.5,3503.0,19816.0,12.29,2.824,325.0,6.0,0.13,4,43,0.21,,96.0,,0.9675,0.0,-7.12202218
Rb,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,1.67,2.43,0.71,312.46,961.0,1532.0,55.76,2.19,72.0,58.0,0.363,1,9,,2.5,2.4,,1.66,0.0,-0.16461463
