Name Coef_b density E_coh TF OF B_Hf mean_A2B mean_A2X mean_B2X mean_X2X std_A2B std_A2X std_B2X std_X2X A_Rvdw B_Ra X_Ra A_Z B_Z X_Z A_G B_G A_EA B_EA X_EA B_MP A_BP A_Kappa B_Kappa X_Kappa A_CvM B_CvM A_B B_B B_MV X_MV A_Rho B_Rho A_ChiP B_ChiP A_ChiA X_ChiA s_A s_B s_X A_IEI B_IEI X_IEI A_IEII B_IEII X_IEII 0
TlIO3 0.440966627637831 0.488902967472013 0.893496582539438 0.371336079741576 0.633123362853938 0.0416083916083916 0.371389973253165 0.396238711785032 0 0.0155657738345225 0 4.23466522542124E-12 2.82094529994202E-12 2.21696337369179E-12 0.135294117647059 0.538461538461538 0.304347826086956 1 0.625 0.134615384615385 1 1 0.322147651006711 0.909426987060998 0.391812865497076 0.0342510327655481 0.162842639593909 0.148648648648649 0.00102851069150932 0.0345920563490511 0 0.0265895953757225 0.333333333333333 0.5 0.721827411167513 0.424242424242424 0.55235538198682 0.215035391750061 0.747747747747748 0.850746268656716  0.69202324352879 0.842105263157895 0.669491525423729 0.0710382513661203 0.434181550084658 0.78783512696274 0.503970452687666 0.15882203364395 0.125386357199129 0.197725448783027 1
CaWN3 0.74248383216143 0.434493170922228 0.662432400160929 0.395786479629189 0.316397005678004 0.431031468531469 0.345450759487714 0.582633512691585 0.673718930788509 0.239449656141008 0.293027524678491 0.672447140004894 0.7776450710381 0.689214223597419 0.341176470588235 0.5 0.347826086956522 0.217948717948718 0.8875 0.115384615384615 0.0833333333333333 0.3125 0.0397651006711409 0.242144177449168 0 0.970290306151321 0.16507614213198 0.842342342342342 0.531074152807303 0.0331246331441988 0.150014480162178 0.00289017341040462 0 1 0.171912013536379 0.161157024793388 0.0495484500854284 0.91359531364413 0.189189189189189 0.701492537313433 0.376128385155466 0.404648705758056 0.526315789473684 0.372881355932203 0.191256830601093 0.435155291803883 0.384970385767479 0.623396924023618 0.0284582418504919 0.0784693986525285 0.12946912711593 2
BaHfO3 0.708878479967366 0.656093070267712 0.637222049601339 0.453096971085504 0.440782088062868 0.211538461538461 0.282161444802513 0.440717389673716 0.147937328061863 0.0982319581862845 0 0 0 0 0.558823529411765 0.653846153846154 0.304347826086956 0.67948717948718 0.8625 0.134615384615385 0.0833333333333333 0.1875 0.234060402684564 0 0.391812865497076 0.633863391998189 0.243451776649746 0.0225225225225225 0.0715268225584594 0.0345920563490511 0.0217202432667246 0.00635838150289017 0 1 0.306260575296108 0.424242424242424 0.145228215767635 0.623627044178667 0.0900900900900901 0.174129353233831 0.222668004012036 0.69202324352879 0.763157894736842 0.466101694915254 0.0710382513661203 0.258388424120794 0.223191049754745 0.503970452687666 0 0.0614441440088903 0.197725448783027 3
RbBrO3 0.484564389417207 0.19493606227947 0.904003314183978 0.694731507261609 0.184327055008108 0.0199737762237762 0.433059423622991 0.600639871693332 0.740187846356722 0.439236764980447 0.114979780442217 0.247930410514024 0.856656841436794 0.759554898250117 0.764705882352941 0.346153846153846 0.304347826086956 0.435897435897436 0.4 0.134615384615385 0 1 0.786912751677852 1 0.391812865497076 0 0.00345177664974619 0.202702702702703 0 0.0345920563490511 0.0677671589921807 0.101734104046243 0 0.5 0.520812182741117 0.424242424242424 0.0486697583597754 0.126141078838174 0.0270270270270269 1 0.0471414242728184 0.69202324352879 0.859649122807017 0.194915254237288 0.0710382513661203 0.0555348471494131 1 0.503970452687666 0.263355860038756 0.163456374332726 0.197725448783027 4
SrWN3 0.703921283573622 0.507511668248952 0.666162524344632 0.431605536789389 0.316397005678004 0.431031468531469 0.550912505850547 0.56661361458028 0.855381501731201 0.381769919926612 1 0.517361695328439 0.860760846609136 0.804050652212274 0.447058823529412 0.5 0.347826086956522 0.448717948717949 0.8875 0.115384615384615 0.0833333333333333 0.3125 0.0843959731543624 0.242144177449168 0 0.970290306151321 0.144365482233503 0.0990990990990991 0.531074152807303 0.0331246331441988 0.05125977410947 0.00289017341040462 0 1 0.171912013536379 0.161157024793388 0.102269953624603 0.91359531364413 0.144144144144144 0.701492537313433 0.304914744232698 0.404648705758056 0.614035087719298 0.372881355932203 0.191256830601093 0.353132356127504 0.384970385767479 0.623396924023618 0.0156357386483702 0.0784693986525285 0.12946912711593 5
NaNbO3 0.68623913628409 0.281771166730076 0.697007192475667 0.408818136606066 0.384682549582139 0.236013986013986 0.189930915177372 0.518896088521152 0.718934151318052 0.315916399126844 0.131708946387258 0.715598278444449 0.759659273729533 0.801277945284747 0.317647058823529 0.576923076923077 0.304347826086956 0.102564102564103 0.475 0.134615384615385 0 0.25 0.885906040268456 0.265249537892791 0.391812865497076 0.702903061513214 0.0430456852791878 0.572072072072072 0.168438164311617 0.0345920563490511 0.318273964668404 0.0413294797687861 0 1 0.217935702199662 0.424242424242424 0.0211374176226507 0.392238223090066 0.126126126126126 0.323383084577114 0.210631895687061 0.69202324352879 0.570175438596491 0.406779661016949 0.0710382513661203 0.244155245724684 0.212879750348835 0.503970452687666 0.568018670193584 0.045966639787401 0.197725448783027 6
NaCdF3 0.403573599242611 0.267142589836026 0.911998306424903 0.275988961833894 0.671635275040542 0.0280594405594406 0.319481325780658 0.587037711069485 0.83461531244176 0.208463819647059 0.488610174426525 0.863184974616832 0.721779120397193 0.133582819807141 0.317647058823529 0.653846153846154 0.217391304347826 0.102564102564103 0.5625 0.153846153846154 0 0.6875 0.885906040268456 0 0.93859649122807 0.0929262633693623 0.0430456852791878 0.572072072072072 0.30286357384019 0.0367834083349638 0.318273964668404 0.0315028901734104 0 1 0.291370558375635 0 0.0211374176226507 0.396143519648523 0.126126126126126 0.368159203980099 0.210631895687061 1 0.570175438596491 0.669491525423729 0 0.244155245724684 0.560893112372765 1 0.568018670193584 0.0909800200898005 0.195866880511248 7
CsMgCl3 0.232561112513909 0.123048887930584 0.935631720920109 0.469038575181314 0.302149369054848 0.0479020979020979 0.698845612567361 0.791279557134678 0.383334235029143 0.454154506980766 0 0.0718591110261548 9.08206284324001E-09 0.153617396399133 1 0.615384615384615 0.652173913043478 0.666666666666667 0.1125 0.307692307692308 0 0.0625 0.763422818791946 0 1 0.185954388546206 0 0.103603603603604 0.499812429661123 0 0.0327251665218651 0.260404624277457 0 0 0.325211505922166 0.426308539944904 0.0656089821820845 0.0587258969978033 0 0.17910447761194 0 0.300581088219757 1 0.474576271186441 0.573770491803279 0 0.351056923760382 0.419174463946517 0.20040185160103 0.0619900355827822 0.0579000280701928 8
KSbO3 0.680623949236753 0.266169597398618 0.817053724461065 0.5242574979771 0.352625670450294 0.146765734265734 0.507787868582847 0.578191489548054 0.110989749941379 0.389307231621711 0.410145804435293 0.626990243804529 0.00596969604203272 0.760483324311892 0.6 0.576923076923077 0.304347826086956 0.205128205128205 0.6 0.134615384615385 0 0.875 0.812080536912752 0.317929759704251 0.391812865497076 0.180516099824571 0.0178680203045685 0.391891891891892 0.0746529948730774 0.0345920563490511 0.181870836953374 0.0245664739884393 0 0.5 0.467005076142132 0.424242424242424 0.0156700024408104 0.300805467415182 0.0270270270270269 0.54726368159204 0.0752256770310933 0.69202324352879 0.789473684210526 0.372881355932203 0.0710382513661203 0.0876011266854447 0.500876740732482 0.503970452687666 0.329485556515561 0.0866724758899178 0.197725448783027 9
KTaO3 0.833218979515974 0.522956746908212 0.6925548048829 0.501515696593518 0.384682549582139 0.293444055944056 0.213385459159232 0.38818657511004 0.097405578326804 0.0214627204072468 0 0 0 0 0.6 0.576923076923077 0.304347826086956 0.205128205128205 0.875 0.134615384615385 0 0.25 0.812080536912752 0.0955021565003081 0.391812865497076 0.85569577273499 0.0178680203045685 0.391891891891892 0.177816681255471 0.0345920563490511 0.181870836953374 0.00520231213872833 0 1 0.218612521150592 0.424242424242424 0.0156700024408104 0.786673175494264 0.0270270270270269 0.27363184079602 0.0752256770310933 0.69202324352879 0.789473684210526 0.406779661016949 0.0710382513661203 0.0876011266854447 0.336004949174574 0.503970452687666 0.329485556515561 0.0614441440088903 0.197725448783027 10
