Name,density,mean_A2B,mean_A2X,mean_B2X,mean_X2X,std_A2B,std_A2X,std_B2X,std_X2X,E_coh,TF,OF,A_Z,B_Z,X_Z,A_G,B_G,X_G,A_IEI,B_IEI,X_IEI,A_IEII,B_IEII,X_IEII,A_EA,B_EA,X_EA,A_ChiP,B_ChiP,X_ChiP,A_ChiA,B_ChiA,A_Rvdw,B_Rvdw,X_Rvdw,B_Rc,B_Ra,A_MP,B_MP,A_Rho,B_Rho,X_Rho,B_MV,X_MV,B_Hf,A_Kappa,B_Kappa,X_Kappa,A_CvM,B_CvM,A_B,B_B,B_MendeleevNo
AlBiO3,0.6728244183208284,0.15148404130501447,0.47417932180364764,0.7022690790035173,0.43637268420010944,0.24417547622892372,0.9343893475609735,0.5352914933354463,0.9999999999999999,0.0,0.37929261139839354,0.3005332418610453,0.1282051282051282,1.0,0.13461538461538464,0.9999999999999999,0.875,0.9375,0.410176051953807,0.2948858788919043,0.5039704526876663,0.13444903930256746,0.08780233369808652,0.9999999999999998,0.7130872483221476,0.2809611829944547,0.39181286549707595,0.7387387387387389,0.5323383084577115,0.696629213483146,0.9568706118355068,,0.06470588235294117,0.5624999999999998,0.4772727272727273,0.6050420168067228,0.6923076923076925,0.20012605268242012,0.07882972101182728,0.1056870881132536,0.4513058335367342,,0.5725888324873097,0.4242424242424243,0.07085664335664334,1.0,0.024634237839189697,0.03459205634905106,0.22241529105125976,0.0,0.3333333333333333,0.5,0.872093023255814
BaHfO3,0.6560930702677115,0.2821614448025149,0.4407173896737142,0.147937328061861,0.09823195818628383,0.0,0.0,0.0,0.0,0.637222049601339,0.45309697108550906,0.44078208806286634,0.6794871794871795,0.8625,0.13461538461538464,0.08333333333333333,0.1875,0.9375,0.2583884241207942,0.22319104975474457,0.5039704526876663,0.0,0.06144414400889031,0.9999999999999998,0.23406040268456374,0.0,0.39181286549707595,0.09009009009009006,0.17412935323383083,0.696629213483146,0.22266800401203624,0.9578163771712158,0.5588235294117647,0.7291666666666667,0.4772727272727273,0.8319327731092436,0.653846153846154,0.22119712042465184,0.6338633919981892,0.14522821576763487,0.6236270441786673,,0.30626057529610834,0.4242424242424243,0.2115384615384615,0.02252252252252253,0.07152682255845942,0.03459205634905106,0.021720243266724587,0.00635838150289017,0.0,1.0,0.4418604651162791
BaLiF3,0.34284753061557294,0.2200049190662623,0.3932424913231698,0.10226909119797045,0.02885150425118055,0.0,0.0,0.0,0.0,0.8281068665452533,0.43742066000561786,0.5116627167269552,0.6794871794871795,0.0,0.15384615384615385,0.08333333333333333,0.0,1.0,0.2583884241207942,0.0,1.0000000000000002,0.0,1.0000000000000002,0.990600257664261,0.23406040268456374,0.1836105976586568,0.9385964912280701,0.09009009009009006,0.014925373134328346,1.0000000000000002,0.22266800401203624,0.12009925558312656,0.5588235294117647,0.30208333333333326,0.4204545454545454,0.4369747899159664,0.5769230769230769,0.22119712042465184,0.053163375021221204,0.14522821576763487,0.0,,0.2920473773265652,0.0,0.0,0.02252252252252253,0.26534950606477425,0.036783408334963796,0.021720243266724587,1.0000000000000002,0.0,0.0,0.0
BaLiH3,0.21141558064790014,0.21056903212271383,0.3860353997396888,0.09533626612683666,0.018318963835366242,0.0,0.0,0.0,0.0,0.9472512803537196,0.43518744250540986,0.5042793678817129,0.6794871794871795,0.0,0.0,0.08333333333333333,0.0,0.0,0.2583884241207942,0.0,0.5014142659909968,0.0,1.0000000000000002,,0.23406040268456374,0.1836105976586568,0.19239766081871343,0.09009009009009006,0.014925373134328346,0.0,0.22266800401203624,0.12009925558312656,0.5588235294117647,0.30208333333333326,0.0,0.4369747899159664,0.5769230769230769,0.22119712042465184,0.053163375021221204,0.14522821576763487,0.0,,0.2920473773265652,0.015151515151515138,0.0,0.02252252252252253,0.26534950606477425,0.33574642927020154,0.021720243266724587,1.0000000000000002,0.0,0.0,0.0
BaSeO3,0.3119941039289783,0.3083793884216126,0.41336610565583176,0.4958809828316677,0.3142448425534048,0.058901378051758005,0.10420900866358603,0.6791390571477093,0.6494414982834436,0.7744734327283742,0.573449003143778,0.27248347262068096,0.6794871794871795,0.38750000000000007,0.13461538461538464,0.08333333333333333,0.9375,0.9375,0.2583884241207942,0.6790121457515094,0.5039704526876663,0.0,0.15724989513990897,0.9999999999999998,0.23406040268456374,0.6007393715341959,0.39181286549707595,0.09009009009009006,0.7960199004975125,0.696629213483146,0.22266800401203624,0.870471464019851,0.5588235294117647,0.3854166666666665,0.4772727272727273,0.3697478991596639,0.34615384615384615,0.22119712042465184,0.06456906796446155,0.14522821576763487,0.20912863070539423,,0.40710659898477175,0.4242424242424243,0.03225524475524476,0.02252252252252253,0.0012504689258471928,0.03459205634905106,0.021720243266724587,0.05751445086705203,0.0,0.5,0.941860465116279
BaTiO3,0.41166265276445424,0.2184930081382055,0.40367371759930215,0.5568177129417056,0.21568786289094244,0.04599749498861273,0.05727842887200144,0.7632045420674012,0.569627003269415,0.6965577655213653,0.51004102717446,0.35663278034177365,0.6794871794871795,0.23750000000000002,0.13461538461538464,0.08333333333333333,0.1875,0.9375,0.2583884241207942,0.22366597369295083,0.5039704526876663,0.0,0.039396439245378834,0.9999999999999998,0.23406040268456374,0.02341343191620456,0.39181286549707595,0.09009009009009006,0.2935323383084577,0.696629213483146,0.22266800401203624,0.3523573200992555,0.5588235294117647,0.6041666666666663,0.4772727272727273,0.7058823529411764,0.5384615384615383,0.22119712042465184,0.47399694414577564,0.14522821576763487,0.19389797412741033,,0.2115059221658207,0.4242424242424243,0.09746503496503495,0.02252252252252253,0.06840065024384144,0.03459205634905106,0.021720243266724587,0.1161849710982659,0.0,1.0,0.4534883720930232
CaCO3,0.09296032468884921,0.34780209460995426,0.6397963749057289,0.5063959235971567,0.1744052884511622,0.5544344437537788,0.8934079426765872,0.6957957395861033,0.541791259780329,0.7087046047706719,0.7073411132332001,0.0,0.21794871794871792,0.037500000000000006,0.13461538461538464,0.08333333333333333,0.8125,0.9375,0.4351552918038829,0.9138129836730492,0.5039704526876663,0.028458241850491867,0.20667420937039063,0.9999999999999998,0.03976510067114094,0.47412199630314233,0.39181286549707595,0.18918918918918914,0.7960199004975125,0.696629213483146,0.3761283851554664,0.9300248138957816,0.3411764705882352,0.17708333333333326,0.4772727272727273,0.0,0.0,0.2576193779078422,1.0,0.04954845008542837,0.08454967049060289,,0.03045685279187818,0.4242424242424243,1.0,0.8423423423423424,0.43728898336876326,0.03459205634905106,0.15001448016217783,0.16965317919075143,0.0,0.5,0.9651162790697674
CaSnO3,0.3328820770283878,0.3560319968612129,0.5884636890277197,0.8128085774453415,0.18564017881759054,0.4012008726418915,0.8097554117568032,0.8038848584978465,0.2696991350582854,0.7710191117027345,0.3658319151609071,0.42475364849694397,0.21794871794871792,0.5875,0.13461538461538464,0.08333333333333333,0.8125,0.9375,0.4351552918038829,0.30398261871813814,0.5039704526876663,0.028458241850491867,0.05575151795622654,0.9999999999999998,0.03976510067114094,0.33056069008009853,0.39181286549707595,0.18918918918918914,0.5024875621890548,0.696629213483146,0.3761283851554664,0.5727047146401985,0.3411764705882352,0.6666666666666663,0.4772727272727273,0.5294117647058822,0.5769230769230769,0.2576193779078422,0.0677041480391602,0.04954845008542837,0.3307298022943617,,0.40270727580372256,0.4242424242424243,0.036276223776223776,0.8423423423423424,0.20907840440165062,0.03459205634905106,0.15001448016217783,0.03034682080924856,0.0,0.5,0.8255813953488371
CaTcN3,0.26285736320849107,0.494577879413554,0.5159712096808668,0.8163807971896249,0.40840360967212463,0.9907333535838444,0.5635709005812497,0.8260707942513849,0.9014550011311715,0.6900619761978213,0.41564655092593483,0.28675537086431063,0.21794871794871792,0.5,0.1153846153846154,0.08333333333333333,0.375,0.875,0.4351552918038829,0.2940294586754667,0.6233969240236183,0.028458241850491867,0.0654682951064775,0.654792430174236,0.03976510067114094,0.16327788046826863,0.0,0.18918918918918914,0.4726368159203981,0.4719101123595506,0.3761283851554664,0.41687344913151364,0.3411764705882352,0.6562500000000002,0.5113636363636362,0.596638655462185,0.5000000000000002,0.2576193779078422,0.6123592326410504,0.04954845008542837,0.5352697095435685,,0.14348561759729278,0.16115702479338834,0.26477272727272727,0.8423423423423424,0.15905964736776293,0.03312463314419878,0.15001448016217783,,0.0,1.0,0.5465116279069767
CaWN3,0.43449317092222806,0.3454507594877163,0.5826335126915847,0.6737189307885079,0.23944965614100755,0.29302752467849136,0.6724471400048935,0.7776450710380985,0.6892142235974188,0.6624324001609289,0.395786479629191,0.3163970056780027,0.21794871794871792,0.8875000000000001,0.1153846153846154,0.08333333333333333,0.3125,0.875,0.4351552918038829,0.3849703857674792,0.6233969240236183,0.028458241850491867,0.07846939865252853,0.654792430174236,0.03976510067114094,0.24214417744916816,0.0,0.18918918918918914,0.701492537313433,0.4719101123595506,0.3761283851554664,0.10918114143920593,0.3411764705882352,0.6770833333333333,0.5113636363636362,0.7226890756302522,0.5000000000000002,0.2576193779078422,0.9702903061513214,0.04954845008542837,0.9135953136441299,,0.17191201353637908,0.16115702479338834,0.4310314685314685,0.8423423423423424,0.5310741528073027,0.03312463314419878,0.15001448016217783,0.002890173410404623,0.0,1.0,0.5
