     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6
        24    0.2443533900E+00    0.2262753474E+00    0.4697259618E+00    0.8022503680E+00    0.6066444375E+00    0.1425105877E+01    0.1892472374E-02    0.3462022237E+00
        25    0.2256075613E+00    0.2893424287E+00    0.5452762913E+00    0.6409331417E+00    0.7318043437E+00    0.4321119032E+00    0.3330886160E-03    0.3371777060E+00
        26    0.1908079149E+00    0.1900259340E+00    0.6780984612E+00    0.9972262424E+00    0.3233430507E+00    0.1291159430E+02    0.0000000000E+00    0.2833657617E+00
        27    0.1251388899E+00    0.1463137808E+00    0.4627319979E+00    0.1256710501E+01    0.2886955496E-02    0.1683395029E+01    0.8423563186E-03    0.1745554691E-01
        28    0.2600511792E-01    0.6812984186E-01    0.3080321809E+00    0.1534121318E+01    0.3094823349E-02    0.4834645445E+00    0.2606421945E-04    0.2272193547E+00
        29    0.3868232049E+00    0.3866589802E+00    0.7668817512E+00    0.6384488123E+00    0.2688812062E+00   -0.5406102873E+00    0.3753380326E-02    0.2921914123E+00
        30    0.6749880415E+00    0.6704478115E+00    0.9749748764E+00    0.0000000000E+00    0.0000000000E+00    0.7960663166E+00    0.6014819874E-03    0.2253450853E+00
        31    0.8138401227E+00    0.7527505394E+00    0.1429963152E+01    0.0000000000E+00    0.0000000000E+00    0.9296744439E+00    0.2628564991E-02    0.1727881297E+00
        32    0.7624289820E+00    0.7377151879E+00    0.1610146147E+01    0.1689129141E+00    0.3046966106E+00   -0.2590226035E+01    0.1954984838E-03    0.1644604973E+00
        33    0.7277824809E-01    0.3991536521E-01    0.3192915905E+00    0.1565376238E+01    0.9990574792E-02    0.1000000000E+01    0.6636746753E-04    0.9095034977E-01
        34    0.2073173109E+00    0.1755341060E+00    0.5175299314E+00    0.6842460794E+00    0.9762769199E+00    0.4186134244E+01    0.4815834944E-03    0.7706668529E-01
        35    0.4134694955E+00    0.4124217036E+00    0.7053170731E+00    0.4503344301E+00    0.2448105143E+00   -0.3406647349E+00    0.2628523801E-02    0.7784303085E-01
        36    0.5232340568E+00    0.5069308189E+00    0.8018783390E+00    0.3421761609E+00    0.3094966981E+00   -0.3350516100E+01    0.3673958963E-02    0.3855634919E+00
        37    0.3032882364E+00    0.3087051943E+00    0.7668817512E+00    0.8290633856E+00    0.3075676549E+00    0.6999913257E+01    0.2245214509E-03    0.3566906735E+00
        38    0.3956928830E-02    0.3656460032E-01    0.2870338383E+00    0.1664733869E+01    0.1113806405E-04    0.2725018735E+00    0.2606421945E-04    0.3096183827E+00
        39    0.1229490256E-01    0.1175004686E-01    0.2216329106E+00    0.1718128189E+01    0.7543527704E-02    0.2438180220E+01    0.0000000000E+00    0.4808508510E+00
        40    0.1000000000E+01    0.1007305388E+01    0.3064206754E+01    0.0000000000E+00    0.0000000000E+00    0.1048666631E+01    0.2359837524E-01    0.4409464924E+00
        41    0.3552968032E+00    0.3993811362E+00    0.5506085598E+00    0.2872022858E+00    0.5173790212E+00    0.1420851477E+01    0.1355765961E-02    0.2189663378E+00
        42    0.6780052156E+00    0.6880158544E+00    0.9749748764E+00    0.0000000000E+00    0.0000000000E+00    0.1041009799E+01    0.1531556943E-02    0.4356128456E+00
        43    0.3343240781E-01    0.5023313589E-01    0.2455266806E+00    0.1502456907E+01    0.2435168965E-01    0.5048158450E+01    0.9165439808E-05    0.3888776060E+00
        44    0.4450068698E+00    0.4176391932E+00    0.6780984612E+00    0.4674857414E+00    0.3233430507E+00   -0.3030235073E+01    0.0000000000E+00    0.1037558523E-01
        45    0.4688117672E+00    0.4548335879E+00    0.9290728342E+00    0.5795943126E+00    0.1590267967E+00    0.5255325370E+00    0.6940290340E-03    0.1427743292E+00
        46    0.5775704050E+00    0.5484412678E+00    0.1179487179E+01    0.6029951311E+00    0.4848746174E-01   -0.3371806095E+00    0.2088534856E-02    0.3933561918E+00
        47    0.1310201978E+00    0.9933701372E-01    0.4489894990E+00    0.1187284058E+01    0.7386998675E+00    0.2944233432E+01    0.7154558862E-03    0.4542800775E+00
        48    0.8829183663E+00    0.9172763906E+00    0.2220586170E+01    0.8850676674E-01    0.2140177789E+00   -0.8862797807E+00    0.0000000000E+00    0.2584344431E+00
        49    0.3627275498E+00    0.3758342052E+00    0.8402217939E+00    0.9348714751E+00    0.1948585520E+00    0.1767827004E+01    0.9481066789E-04    0.5962938514E+00
        50    0.3921373369E+00    0.3739061735E+00    0.8018783390E+00    0.6251977992E+00    0.2471172739E+00    0.1057035751E+01    0.3279757334E-02    0.1218521281E+00
        51    0.4076677241E-01   -0.1663200060E-01    0.2816797770E+00    0.1712359923E+01    0.2006101850E-01    0.3301816680E+01    0.7154558862E-03    0.2285885374E+00
        52    0.7967112551E+00    0.7953118378E+00    0.2220586170E+01    0.3540270669E+00    0.2140177789E+00   -0.4519316421E+00    0.2867947181E-02    0.1010077012E+00
        53    0.6816873729E-01    0.6632239962E-01    0.3678042909E+00    0.1126136381E+01    0.8966937506E+00    0.6605186695E+01    0.2333801056E-04    0.5367515278E+00
        54    0.2701456893E+00    0.2365741070E+00    0.4697259618E+00    0.7600548951E+00    0.6066444375E+00    0.1118159996E+01    0.6277755535E-04    0.2038512783E+00
        55    0.4126468375E+00    0.3561695770E+00    0.8402217939E+00    0.8176625139E+00    0.2853358603E+00    0.4149848905E+01    0.5585189883E-04    0.3895004441E+00
        56    0.2412652736E+00    0.1880484965E+00    0.4924705873E+00    0.7646141517E+00    0.7669378537E+00    0.1849595005E+01    0.2628564991E-02    0.1655810381E+00
        57    0.3852392283E+00    0.3711417365E+00    0.8018783390E+00    0.7670086412E+00    0.3094966981E+00    0.4979246117E+01    0.3435747160E-03    0.5507763014E+00
        58    0.5205698419E-01    0.7771538648E-01    0.3421336016E+00    0.1286107238E+01    0.2252097122E-01    0.5053134672E+01    0.2166059105E-02    0.3713463129E-01
        59    0.3680806173E+00    0.3574915561E+00    0.5874225042E+00    0.5871448898E+00    0.2971708374E+00    0.1556254445E+01    0.2791343733E-03    0.2065746912E+00
        60    0.4146590585E+00    0.3806532501E+00    0.8402217939E+00    0.8404642572E+00    0.1948585520E+00    0.1351867709E+01    0.3723459922E-04    0.3829325210E+00
        61    0.3626837726E+00    0.3560875660E+00    0.1038937488E+01    0.7071540651E+00    0.3309931251E+00    0.1394773799E+02    0.1776370546E-02    0.4294726247E+00
        62    0.4620766013E+00    0.4965911368E+00    0.8824163381E+00    0.3684281680E+00    0.3027974855E+00    0.9421117027E+00    0.8250728047E-02    0.7044742769E+00
        63    0.2163384203E-01    0.1507929902E-01    0.3080321809E+00    0.1663460474E+01    0.3094823349E-02    0.8214400514E+00    0.6636746753E-04    0.1286030171E+00
        64    0.4649159157E+00    0.5011894850E+00    0.7668817512E+00    0.3798290396E+00    0.2774196641E+00   -0.1512356473E+01    0.0000000000E+00    0.3356591000E+00
