material_id,Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM
mp-780275,AgBO3,3.121692211187259,35.1211,8.0,2.835315159190341,2.210206690965381,1.52,2.11,141.0,-59.23064412,0.02658,27.0,7.57623,1.87,13.61805,26.7,17.36,3.44,1.0857921182023582e-07,47.0,1.93,430.0,1234.93,2.04,0.9005738221705161,5.0,2349.0,0.235,125.6,2460.0,8.29802,50.2,5.03521887316596,3.0,0.1901408450704225,11.0,0.907941843298703,1429.0,4.39,4.440892098500626e-16,1.026
mp-985292,AgBO3,3.01660257450209,35.1211,8.0,2.463045688098733,2.463045688098733,1.52,2.11,141.0,-24.66895321,0.02658,27.0,7.57623,1.87,13.61805,26.7,17.36,3.44,0.0,47.0,1.93,430.0,1234.93,2.04,0.0,5.0,2349.0,0.235,125.6,2460.0,8.29802,50.2,6.548746905169644,3.0,0.1901408450704225,11.0,0.907941843298703,1429.0,4.39,0.0,1.026
mp-1178562,AgBrO3,3.487059568843452,35.1211,8.0,2.67851053018164,2.491118723066514,1.52,2.11,141.0,-18.280300590000003,0.02658,0.12,7.57623,1.87,13.61805,324.6,17.36,3.44,1.0700136917665097e-07,47.0,1.93,430.0,1234.93,2.96,1.1583913196499677e-07,35.0,265.8,0.235,125.6,3120.0,11.8138,5.285,4.572964518541682,3.0,0.2183098591549296,11.0,1.1035770573431667,1429.0,19.78,0.0,0.474
mp-776199,AgClO3,3.480286191057282,35.1211,8.0,3.565637868578186,3.2827225414622387,1.52,2.11,141.0,-77.33860905,0.02658,0.0089,7.57623,1.87,13.61805,349.0,17.36,3.44,0.8341824112582903,47.0,1.93,430.0,1234.93,3.16,1.1153730887700293,17.0,171.6,0.235,125.6,3214.0,12.96763,3.2,4.111923549913424,3.0,0.0845070422535211,11.0,1.2397326683140768,1429.0,17.39,0.1002712307904656,0.479
mp-775761,AgClO3,3.6509077668980368,35.1211,8.0,3.3464857877655825,3.3440020552981027,1.52,2.11,141.0,-77.67794443,0.02658,0.0089,7.57623,1.87,13.61805,349.0,17.36,3.44,0.8820676271853036,47.0,1.93,430.0,1234.93,3.16,1.090898202942237,17.0,171.6,0.235,125.6,3214.0,12.96763,3.2,4.021646905969815,3.0,0.0845070422535211,11.0,1.2397326683140768,1429.0,17.39,0.27695797899816,0.479
mp-27941,AgClO3,3.529797870389177,35.1211,8.0,3.421400368457459,3.176045911643417,1.52,2.11,141.0,-77.53354322999999,0.02658,0.0089,7.57623,1.87,13.61805,349.0,17.36,3.44,0.6774688693580877,47.0,1.93,430.0,1234.93,3.16,1.0629326285681135,17.0,171.6,0.235,125.6,3214.0,12.96763,3.2,4.1344424930134505,3.0,0.0845070422535211,11.0,1.2397326683140768,1429.0,17.39,0.1882573344654931,0.479
mp-1178561,AgClO3,3.432508301112195,35.1211,8.0,2.4274907147663773,2.5860180587082318,1.52,2.11,141.0,-18.82473365,0.02658,0.0089,7.57623,1.87,13.61805,349.0,17.36,3.44,6.247972229327793e-08,47.0,1.93,430.0,1234.93,3.16,2.2281797483337023e-08,17.0,171.6,0.235,125.6,3214.0,12.96763,3.2,4.1342599432882805,3.0,0.0845070422535211,11.0,1.2397326683140768,1429.0,17.39,0.0,0.479
mp-753176,AgCO3,3.229746821385058,35.1211,8.0,2.8172210128117188,2.3475192644867744,1.52,2.11,141.0,-61.63229462,0.02658,140.0,7.57623,1.87,13.61805,153.9,17.36,3.44,6.421287067937503e-08,47.0,1.93,430.0,1234.93,2.55,0.996913733726939,6.0,3800.0,0.235,125.6,2267.0,11.2603,117.4,4.661306203650299,3.0,0.1126760563380281,11.0,1.0561848124052229,1429.0,5.29,3.1401849173675503e-16,0.709
mp-891880,AgGeO3,3.780925988002184,35.1211,8.0,3.5013044456445748,3.512804826654479,1.52,2.11,141.0,-107.1724755,0.02658,60.0,7.57623,1.87,13.61805,119.0,17.36,3.44,0.8294312166004134,47.0,1.93,430.0,1234.93,2.01,1.1738382634874676,32.0,1211.4,0.235,125.6,5323.0,7.89943,36.94,5.184187976678258,3.0,0.3732394366197183,11.0,0.8557805146667958,1429.0,13.63,0.2705962997026367,0.32
mp-891854,AgGeO3,3.505398106041948,35.1211,8.0,3.281111459012322,3.1613772067066943,1.52,2.11,141.0,-53.40376186,0.02658,60.0,7.57623,1.87,13.61805,119.0,17.36,3.44,0.8666330015559642,47.0,1.93,430.0,1234.93,2.01,1.2412778539583724,32.0,1211.4,0.235,125.6,5323.0,7.89943,36.94,4.984913262721486,3.0,0.3732394366197183,11.0,0.8557805146667958,1429.0,13.63,1.9229626863835638e-16,0.32
mp-779706,AgGeO3,3.769441029571381,35.1211,8.0,3.496181993920866,3.507396128261009,1.52,2.11,141.0,-107.17542228,0.02658,60.0,7.57623,1.87,13.61805,119.0,17.36,3.44,0.8288283199966823,47.0,1.93,430.0,1234.93,2.01,1.169550653694612,32.0,1211.4,0.235,125.6,5323.0,7.89943,36.94,5.184198971348151,3.0,0.3732394366197183,11.0,0.8557805146667958,1429.0,13.63,0.274509893579979,0.32
mp-759939,AgGeO3,3.451353766759989,35.1211,8.0,3.043001440046536,2.6821245011447785,1.52,2.11,141.0,-53.189060960000006,0.02658,60.0,7.57623,1.87,13.61805,119.0,17.36,3.44,0.8156405032452192,47.0,1.93,430.0,1234.93,2.01,0.930104798187528,32.0,1211.4,0.235,125.6,5323.0,7.89943,36.94,6.669478873136225,3.0,0.3732394366197183,11.0,0.8557805146667958,1429.0,13.63,2.220446049250313e-16,0.32
mp-779664,AgGeO3,3.510680679307506,35.1211,8.0,3.2686226334188024,3.178975193579205,1.52,2.11,141.0,-53.43282610000001,0.02658,60.0,7.57623,1.87,13.61805,119.0,17.36,3.44,0.8767941123219606,47.0,1.93,430.0,1234.93,2.01,1.2180826476557458,32.0,1211.4,0.235,125.6,5323.0,7.89943,36.94,4.985150741385607,3.0,0.3732394366197183,11.0,0.8557805146667958,1429.0,13.63,0.0068078675141754,0.32
mp-27384,AgIO3,4.17352681132616,35.1211,8.0,3.745947675916006,3.366774081986236,1.52,2.11,141.0,-165.17117669,0.02658,0.449,7.57623,1.87,13.61805,295.2,17.36,3.44,0.8787506751305134,47.0,1.93,430.0,1234.93,2.66,0.9493825964754972,53.0,386.85,0.235,125.6,4940.0,10.45126,7.76,5.655834700384907,3.0,0.6690140845070423,11.0,0.8055646874277124,1429.0,25.72,0.7974267292773605,0.214
mp-1202188,AgIO3,4.237162320109843,35.1211,8.0,3.657630698657776,3.301176166700916,1.52,2.11,141.0,-164.7368689,0.02658,0.449,7.57623,1.87,13.61805,295.2,17.36,3.44,0.8213202136199986,47.0,1.93,430.0,1234.93,2.66,1.0583567307045367,53.0,386.85,0.235,125.6,4940.0,10.45126,7.76,5.798311378321654,3.0,0.6690140845070423,11.0,0.8055646874277124,1429.0,25.72,0.7634663031362822,0.214
mp-849271,AgIO3,3.706840726422503,35.1211,8.0,3.404694779953972,3.3034844849686973,1.52,2.11,141.0,-81.85338233,0.02658,0.449,7.57623,1.87,13.61805,295.2,17.36,3.44,0.7999700874336815,47.0,1.93,430.0,1234.93,2.66,0.9269586797554764,53.0,386.85,0.235,125.6,4940.0,10.45126,7.76,5.657595938264379,3.0,0.6690140845070423,11.0,0.8055646874277124,1429.0,25.72,0.1291976865457373,0.214
mp-1178556,AgPbO3,3.6861297586803072,35.1211,8.0,3.0689208957701566,2.333869559618328,1.52,2.11,141.0,-46.73334765,0.02658,35.0,7.57623,1.87,13.61805,35.1,17.36,3.44,0.0544199986236998,47.0,1.93,430.0,1234.93,2.33,0.0507457209400384,82.0,600.61,0.235,125.6,11340.0,7.41663,4.774,8.235106467060817,3.0,0.545774647887324,11.0,0.7602605938953313,1429.0,18.26,0.4721524482406257,0.13
mp-776166,AgPdO3,3.2363509827575183,35.1211,8.0,3.34089457972146,3.192100097543137,1.52,2.11,141.0,-91.10254935,0.02658,72.0,7.57623,1.87,13.61805,53.7,17.36,3.44,0.7847374298587839,47.0,1.93,430.0,1234.93,2.2,0.7588635158704159,46.0,1828.05,0.235,125.6,12023.0,8.3369,16.74,6.510356320272179,3.0,0.5352112676056339,11.0,0.7038631720985358,1429.0,8.56,0.3707144386077026,0.244
mp-18702,AgPO3,4.055180271068168,35.1211,8.0,3.5436434922434863,3.617749222732954,1.52,2.11,141.0,-246.16631679,0.02658,0.236,7.57623,1.87,13.61805,72.0,17.36,3.44,0.8355657189353082,47.0,1.93,430.0,1234.93,2.19,1.14089932402672,15.0,317.3,0.235,125.6,1823.0,10.48669,18.54,4.405529079293862,3.0,0.2676056338028169,11.0,1.0606601717798214,1429.0,17.02,0.7328743373183475,0.769
mp-775762,AgPO3,3.6664617218180497,35.1211,8.0,3.1741442431722056,3.3200680837955434,1.52,2.11,141.0,-121.97209223,0.02658,0.236,7.57623,1.87,13.61805,72.0,17.36,3.44,0.758039599892597,47.0,1.93,430.0,1234.93,2.19,1.3055047654805287,15.0,317.3,0.235,125.6,1823.0,10.48669,18.54,4.6879325804077325,3.0,0.2676056338028169,11.0,1.0606601717798214,1429.0,17.02,0.6511157637355559,0.769
mp-5470,AgPS3,3.683204134200879,23.33788,16.0,3.565868053054753,3.1484048509835363,1.8,2.11,200.0,-42.46957542,0.205,0.236,7.57623,1.87,10.36001,72.0,15.53,2.58,0.7641409472570588,47.0,1.93,430.0,1234.93,2.19,1.0118652781734954,15.0,317.3,0.235,125.6,1823.0,10.48669,18.54,3.111529137057764,3.0,0.2065217391304347,11.0,0.9937716924783908,1960.0,17.02,2.1985123721535222e-09,0.769
mp-776168,AgRuO3,3.980857226160341,35.1211,8.0,3.121293161204858,3.3303355298648194,1.52,2.11,141.0,-118.55570874,0.02658,120.0,7.57623,1.87,13.61805,101.3,17.36,3.44,0.7685681202521198,47.0,1.93,430.0,1234.93,2.2,0.8994289087486242,44.0,2607.0,0.235,125.6,12370.0,7.3605,38.59,6.427024822208683,3.0,0.3978873239436619,11.0,0.961807712445178,1429.0,8.17,0.6470058435598718,0.238
mp-540872,AgSbO3,4.07346042399306,35.1211,8.0,3.220218407733957,3.396761476223965,1.52,2.11,141.0,-106.99673252,0.02658,24.0,7.57623,1.87,13.61805,103.2,17.36,3.44,0.8052387606928177,47.0,1.93,430.0,1234.93,2.05,0.9307628776992052,51.0,903.78,0.235,125.6,6697.0,8.60839,19.79,6.481632506124158,3.0,0.4225352112676056,11.0,0.9451427273285536,1429.0,18.19,0.662056564791809,0.207
mp-860791,AgSbO3,3.723173978167496,35.1211,8.0,3.576589743211372,3.733175242175335,1.52,2.11,141.0,-159.60782755,0.02658,24.0,7.57623,1.87,13.61805,103.2,17.36,3.44,0.9026053490277722,47.0,1.93,430.0,1234.93,2.05,1.0237232564814889,51.0,903.78,0.235,125.6,6697.0,8.60839,19.79,6.42037280430799,3.0,0.4225352112676056,11.0,0.9451427273285536,1429.0,18.19,0.2353214006899356,0.207
mp-677054,AgSbO3,4.403687077574487,35.1211,8.0,3.605651972822544,3.881078104936325,1.52,2.11,141.0,-318.6494226,0.02658,24.0,7.57623,1.87,13.61805,103.2,17.36,3.44,0.8797414145062455,47.0,1.93,430.0,1234.93,2.05,1.0507953075171197,51.0,903.78,0.235,125.6,6697.0,8.60839,19.79,6.448361061382653,3.0,0.4225352112676056,11.0,0.9451427273285536,1429.0,18.19,0.8324470114410758,0.207
mp-545999,AgSbO3,3.675374335430383,35.1211,8.0,2.8983525112486985,2.5811093560235867,1.52,2.11,141.0,-53.37363335,0.02658,24.0,7.57623,1.87,13.61805,103.2,17.36,3.44,0.161220067750592,47.0,1.93,430.0,1234.93,2.05,0.0099705940214284,51.0,903.78,0.235,125.6,6697.0,8.60839,19.79,6.375239285307221,3.0,0.4225352112676056,11.0,0.9451427273285536,1429.0,18.19,0.283925664685241,0.207
mp-755834,AgSnO3,3.685064051706005,35.1211,8.0,2.9680655174878,2.64421866962013,1.52,2.11,141.0,-52.3474867,0.02658,67.0,7.57623,1.87,13.61805,107.3,17.36,3.44,0.619361783383738,47.0,1.93,430.0,1234.93,1.96,0.8888542222603922,50.0,505.08,0.235,125.6,7310.0,7.34392,7.15,6.775072901373514,3.0,0.5704225352112676,11.0,0.7483282527355389,1429.0,16.29,0.0011749556828937,0.227
mp-1404877,AlAgO3,3.5002713794897256,35.1211,8.0,3.475229981019395,2.507225553019622,1.52,1.84,141.0,-52.18992042,0.02658,430.0,5.985768,1.613,13.61805,125.6,17.36,3.44,0.3875581969803779,13.0,1.61,235.0,933.47,1.93,1.037377875086455,47.0,1234.93,0.897,42.5,10490.0,7.57623,11.3,5.213036809008493,2.0,0.5281690140845071,13.0,0.6370478143869588,1429.0,10.27,2.220446049250313e-16,0.235
mp-1183169,AlAgO3,3.248478885451398,35.1211,8.0,2.652371903186977,1.87551015897218,1.52,1.84,141.0,-26.83200119,0.02658,430.0,5.985768,1.613,13.61805,125.6,17.36,3.44,0.0,13.0,1.61,235.0,933.47,1.93,0.0,47.0,1234.93,0.897,42.5,10490.0,7.57623,11.3,5.752919678403046,2.0,0.5281690140845071,13.0,0.6370478143869588,1429.0,10.27,0.0,0.235
mp-1253488,AlAgO3,3.250788765447888,35.1211,8.0,3.3046206687933037,2.9725412265386986,1.52,1.84,141.0,-112.28379677,0.02658,430.0,5.985768,1.613,13.61805,125.6,17.36,3.44,1.013495881233832,13.0,1.61,235.0,933.47,1.93,1.0120629687011735,47.0,1234.93,0.897,42.5,10490.0,7.57623,11.3,4.89878526722619,2.0,0.5281690140845071,13.0,0.6370478143869588,1429.0,10.27,0.1313348389721889,0.235
mp-1343733,AlAgO3,3.2761375831795525,35.1211,8.0,3.236932263069672,3.0038921002614245,1.52,1.84,141.0,-111.87590964,0.02658,430.0,5.985768,1.613,13.61805,125.6,17.36,3.44,1.032576840630372,13.0,1.61,235.0,933.47,1.93,0.9056241967767664,47.0,1234.93,0.897,42.5,10490.0,7.57623,11.3,5.109883300879145,2.0,0.5281690140845071,13.0,0.6370478143869588,1429.0,10.27,0.0055026617241393,0.235
mp-1343327,AlAgO3,3.37966494832008,35.1211,8.0,3.4051709648733146,3.222250934740128,1.52,1.84,141.0,-164.49288806,0.02658,430.0,5.985768,1.613,13.61805,125.6,17.36,3.44,1.2156643722139924,13.0,1.61,235.0,933.47,1.93,0.91630559069228,47.0,1234.93,0.897,42.5,10490.0,7.57623,11.3,5.299274482147776,2.0,0.5281690140845071,13.0,0.6370478143869588,1429.0,10.27,0.0387936134675626,0.235
mp-1418444,AlAgO3,3.467329291817659,35.1211,8.0,2.831062511719672,2.831062511719672,1.52,1.84,141.0,-20.26389378,0.02658,430.0,5.985768,1.613,13.61805,125.6,17.36,3.44,0.0,13.0,1.61,235.0,933.47,1.93,0.0,47.0,1234.93,0.897,42.5,10490.0,7.57623,11.3,4.730922084847537,2.0,0.5281690140845071,13.0,0.6370478143869588,1429.0,10.27,0.0,0.235
mp-1183159,AlAuO3,3.257400557394757,35.1211,8.0,2.659656417824888,1.8806610886703,1.52,1.84,141.0,-26.44325179,0.02658,320.0,5.985768,1.613,13.61805,222.8,17.36,3.44,0.0,13.0,1.61,235.0,933.47,2.54,0.0,79.0,1337.33,0.897,42.5,19300.0,9.22553,12.55,8.486098222315704,2.0,0.5985915492957746,13.0,0.6089840340174891,1429.0,10.21,0.0,0.129
mp-1376082,AlBiO3,3.6330561737265423,35.1211,8.0,3.2521058070855675,2.801922219553395,1.52,1.84,141.0,-183.18144526,0.02658,8.0,5.985768,1.613,13.61805,91.2,17.36,3.44,0.9010463789813252,13.0,1.61,235.0,933.47,2.02,0.8939585711257702,83.0,544.4,0.897,42.5,9780.0,7.2855,11.106,6.903328622755919,2.0,0.7253521126760564,13.0,0.564242349885592,1429.0,21.31,0.0565907154248471,0.122
mp-23080,AlBiO3,3.279805892630604,35.1211,8.0,2.6779502974394966,1.893596815,1.52,1.84,141.0,-32.16496227,0.02658,8.0,5.985768,1.613,13.61805,91.2,17.36,3.44,0.0,13.0,1.61,235.0,933.47,2.02,0.0,83.0,544.4,0.897,42.5,9780.0,7.2855,11.106,8.680683991672456,2.0,0.7253521126760564,13.0,0.564242349885592,1429.0,21.31,0.0,0.122
mp-551918,AlBiO3,3.1388103602960893,35.1211,8.0,2.861799298715951,1.9469665761209265,1.52,1.84,141.0,-65.42503913000002,0.02658,8.0,5.985768,1.613,13.61805,91.2,17.36,3.44,0.0480785735646742,13.0,1.61,235.0,933.47,2.02,0.0646047778806885,83.0,544.4,0.897,42.5,9780.0,7.2855,11.106,8.296028491550276,2.0,0.7253521126760564,13.0,0.564242349885592,1429.0,21.31,0.0908082141357751,0.122
mp-1413511,AlBiO3,3.701898334610501,35.1211,8.0,3.022587333151517,3.022587333151517,1.52,1.84,141.0,-24.44091751,0.02658,8.0,5.985768,1.613,13.61805,91.2,17.36,3.44,0.0,13.0,1.61,235.0,933.47,2.02,0.0,83.0,544.4,0.897,42.5,9780.0,7.2855,11.106,6.037051899615939,2.0,0.7253521126760564,13.0,0.564242349885592,1429.0,21.31,0.0,0.122
mp-1344602,AlBiO3,3.441374551825816,35.1211,8.0,3.2814284064929944,2.92772519339176,1.52,1.84,141.0,-127.6403771,0.02658,8.0,5.985768,1.613,13.61805,91.2,17.36,3.44,0.9606528180242234,13.0,1.61,235.0,933.47,2.02,0.8394176528356395,83.0,544.4,0.897,42.5,9780.0,7.2855,11.106,6.8874939972276366,2.0,0.7253521126760564,13.0,0.564242349885592,1429.0,21.31,0.0254058511414311,0.122
