Name,prediction,unscaled_prediction
AlBiO3,0.6290718949570646,0.009678297131481684
BaHfO3,0.2643666870085326,-0.004078697841468021
BaLiF3,0.3790499619065031,0.00024725419285400417
BaLiH3,0.5116712086140183,0.00524984199390093
BaSeO3,-0.01081335270089312,-0.014458726260126934
BaTiO3,0.6115375434911243,0.00901688627220787
CaCO3,0.493780698527587,0.004574996524303815
CaSnO3,0.7731391460607142,0.015112638089615974
CaTcN3,0.7199547495513912,0.013106476785987498
CaWN3,0.5992742262936304,0.008554303371386173
CdSnO3,0.5151945868963708,0.005382746861343801
CsAuBr3,-2.407581106590726,-0.10486687295772912
CsAuCl3,-1.8075220484452643,-0.08223212778144139
CsAuI3,-3.147403590847375,-0.13277361510172994
CsAuSe3,-1.626764065083762,-0.07541378075971296
CsBeH3,-0.13646772459077283,-0.019198517534679216
CsBiO3,0.02929175061171918,-0.01294592717572478
CsBrO3,-0.7125178185369236,-0.04092762387555372
CsCaF3,-0.11691783100724251,-0.01846107868848571
CsCaH3,0.08760657888439027,-0.010746241561394932
CsCdCl3,-1.3820648832619895,-0.06618351658788328
CsCdF3,-0.4404804093678081,-0.030666138191143305
CsGeCl3,-1.6389571591231515,-0.0758737147824491
CsIO3,-0.6096782201213955,-0.03704842553237503
CsMgBr3,-1.5335504823489146,-0.07189768402967972
CsMgCl3,-0.854436297594134,-0.04628091129895195
CsPbF3,-0.9522021602161317,-0.04996872395230654
CsReO3,0.6622130900918819,0.010928411593602467
CsSbO3,0.4572833204501876,0.0031982839471489406
CsSnS3,-0.8363067766889003,-0.04559705013514185
CsSrBr3,-1.8843739161476378,-0.08513104650977649
CsWO3,0.6744449227504106,0.011389806870461492
InBO3,0.7231994751002162,0.01322887063200597
InGaO3,0.6628994094951963,0.01095430015339119
KCaBr3,-1.2222433118615186,-0.06015490908130914
KMgF3,0.5580229236215928,0.006998268658641041
KMgH3,0.6038169362476538,0.008725658308576674
KNbO3,0.6358171544698052,0.009932734137550183
KSbO3,0.4374913247772838,0.002451712801350538
KTaO3,0.6117239563263297,0.009023917925118008
KZnF3,0.24597814244043548,-0.0047723296012285605
LaAlO3,0.8173235758404758,0.016779312886452465
LaCoN3,0.3907442562268102,0.0006883730600113994
LaCrO3,0.7208527521194128,0.01314035021730881
LaScO3,0.6240586749696604,0.009489194150054713
LiAsO3,0.9315657462063314,0.021088626077405664
LiNbO3,0.8713743148189224,0.018818153375167505
LiSbO3,0.7484238950221993,0.014180357505511944
LiTaO3,0.7832686280700045,0.015494730886876104
MgCO3,0.7681732559155421,0.01492532043065621
MgSiO3,0.974628306687066,0.02271298299676014
MgTiO3,0.9963693541660632,0.023533074057585993
NaBiO3,0.5159640478962615,0.005411771593858373
NaCdF3,0.3660323542936226,-0.00024378119295134955
NaCoF3,0.39665673293006876,0.000911396780297535
NaMgF3,0.7331381769710106,0.013603767037909392
NaMnF3,0.3954354457612794,0.0008653287750281027
NaNbO3,0.7678045707691581,0.014911413308973094
NaSbO3,0.7070279975148992,0.012618868550879203
RbAuBr3,-2.18909859412031,-0.09662552416361729
RbAuI3,-2.8618478111654895,-0.12200220482306232
RbBiO3,0.10444898666452218,-0.010110931414696007
RbBrO3,-0.46513716471366706,-0.031596212267272494
RbCaH3,0.20876053469027056,-0.006176209862780757
RbIO3,-0.4954792618695478,-0.0327407423396292
RbMgF3,0.47299581539658675,0.0037909728072998364
RbPbBr3,-2.139501190166982,-0.09475466731269572
RbPbCl3,-1.4967831703200432,-0.07051078931107883
RbReO3,0.6988445340001022,0.012310181249516982
RbSbO3,0.5609995559077561,0.007110549795582873
RbWO3,0.7158233293109788,0.012950636051498958
ReTlO3,0.4221447936354821,0.001872828411523626
ScBO3,0.8272038229260943,0.017152004327446464
SrWN3,0.4258864790377288,0.002013968011801372
TiCdO3,0.6217966390276501,0.009403868203496644
TiPbO3,0.35270431404046576,-0.0007465263656712979
TlCrO3,0.5928468802994189,0.008311858337411627
TlIO3,-0.7735899521549072,-0.04323131742546453
YVO3,0.7692159456952936,0.014964651588385143
YWN3,0.5740816728238656,0.007604018527940149
