Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM
CsAuI3,5.259788518909546,19.1313,53.0,4.253915853181856,4.32110620373121,1.98,3.43,295.2,-11.641618630000002,0.449,320.0,3.893905,0.659,10.45126,222.8,25.72,2.66,0.0304386229743221,55.0,0.79,36.0,301.59,2.54,0.3822763086201281,79.0,1337.33,0.242,45.5,19300.0,9.22553,12.55,5.273790866520243,1.0,0.5045454545454545,1.0,0.8715998994686143,4940.0,10.21,3.8459253727671276e-16,0.129
CsAuSe3,4.232312907437451,21.19,34.0,3.7157529044709854,4.074252687403119,1.9,3.43,195.0,-16.318906239999997,0.52,320.0,3.893905,0.659,9.75239,222.8,16.42,2.55,0.3704646461314429,55.0,0.79,36.0,301.59,2.54,0.5066770781671772,79.0,1337.33,0.242,45.5,19300.0,9.22553,12.55,5.509345113006599,1.0,0.5606060606060607,1.0,0.8833113836181468,4819.0,10.21,0.2910070757145268,0.129
CsBeH3,3.641941920549829,,1.0,3.466278940247519,3.182216281525264,1.1,3.43,72.8,-14.88930261,0.1805,190.0,3.893905,0.659,13.598443,0.0,11.42,2.2,0.1028860840792074,55.0,0.79,36.0,301.59,1.57,1.4613616499920588,4.0,1560.0,0.242,45.5,1848.0,9.3227,7.895,2.1149163356482634,1.0,0.123076923076923,1.0,1.5401366877898774,,4.85,0.0245956321761844,1.825
CsBiO3,3.83050678175963,35.1211,8.0,3.127595690527205,3.127595690527205,1.52,3.43,141.0,-23.48638159,0.02658,8.0,3.893905,0.659,13.61805,91.2,17.36,3.44,0.0,55.0,0.79,36.0,301.59,2.02,0.0,83.0,544.4,0.242,45.5,9780.0,7.2855,11.106,7.481828632399729,1.0,0.662962962962963,1.0,1.0173518499922265,,21.31,0.0,0.122
CsBrO3,4.082999890728085,35.1211,8.0,3.6274394795827503,3.462746564815744,1.52,3.43,141.0,-19.7684657,0.02658,0.12,3.893905,0.659,13.61805,324.6,17.36,3.44,0.1757714877394845,55.0,0.79,36.0,301.59,2.96,1.303734074158439,35.0,265.8,0.242,45.5,,11.8138,5.285,3.944049120296796,1.0,0.2888888888888888,1.0,1.312617760478476,,19.78,0.0818994588872303,0.474
CsCaF3,3.966799762885769,34.9708,9.0,3.238878443621145,3.238878443621145,1.47,3.43,328.0,-25.21092025,0.0277,200.0,3.893905,0.659,17.4228,2.37,11.2,3.98,0.0,55.0,0.79,36.0,301.59,1.0,0.0,20.0,1115.0,0.242,45.5,1550.0,6.11316,8.54,3.9738154939565287,1.0,1.0428015564202335,1.0,0.8525687476020658,,26.2,0.0,0.647
CsCaH3,4.0066906110412015,,1.0,3.2714491847503626,3.2714491847503626,1.1,3.43,72.8,-14.42288505,0.1805,200.0,3.893905,0.659,13.598443,2.37,11.42,2.2,0.0,55.0,0.79,36.0,301.59,1.0,0.0,20.0,1115.0,0.242,45.5,1550.0,6.11316,8.54,2.951305580255678,1.0,1.0307692307692309,1.0,0.8517422591565229,,26.2,0.0,0.647
CsCdCl3,4.617651919838872,23.8136,17.0,3.7702970044627895,3.7702970044627895,1.75,3.43,349.0,-13.8806868,0.0089,97.0,3.893905,0.659,12.96763,0.0,17.39,3.16,0.0,55.0,0.79,36.0,301.59,1.69,0.0,48.0,594.22,0.242,45.5,8650.0,8.99382,6.21,3.852294397590688,1.0,0.7237569060773481,1.0,0.8362897508263974,,13.0,0.0,0.231
CsCdF3,3.951600672636378,34.9708,9.0,3.2264684383993054,3.2264684383993054,1.47,3.43,328.0,-19.11520431,0.0277,97.0,3.893905,0.659,17.4228,0.0,11.2,3.98,0.0,55.0,0.79,36.0,301.59,1.69,0.0,48.0,594.22,0.242,45.5,8650.0,8.99382,6.21,5.284169507989479,1.0,1.019455252918288,1.0,0.8624250337015117,,13.0,0.0,0.231
CsGeCl3,4.741574616084046,23.8136,17.0,3.819309305199508,3.926612321322098,1.75,3.43,349.0,-16.9125171766667,0.0089,60.0,3.893905,0.659,12.96763,119.0,17.39,3.16,0.0487757707083919,55.0,0.79,36.0,301.59,2.01,0.3533802251714047,32.0,1211.4,0.242,45.5,5323.0,7.89943,36.94,3.071538679595045,1.0,0.4033149171270718,1.0,1.0272535521962047,,13.63,0.0523074130918961,0.32
