Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM,Coeff_C
AlBiO3,-0.9303292421635466,0.5713558484042306,-0.3622040571405643,0.4748268634320361,-0.4149756705139152,-0.1589360970487678,-1.5179158956416772,-0.4490500668675767,-5.699699148339683,-0.3674305556997124,-1.0000545798004203,0.8492769934426458,2.8320957871252754,-0.1397270711479531,0.1218554188309823,0.3591888364420176,0.2842908198026446,1.685227819887046,-1.242015554113184,2.1891108443651186,3.0627026582967307,0.5387772185931886,0.2500902190218291,0.3860634987261869,1.4518059747588838,-0.8763832949270711,0.3678798352173528,0.2901597332117708,0.2123579609237968,-0.4754053470236032,-0.4267956449833793,1.6955820459480164,0.7257069527487126,-0.640492302331146,3.39240949459789,-0.1806321307367866,,1.1881006331686277,0.4315754405180604,-0.5890269308599383,0.622641918169558
BaHfO3,-0.3694197453328227,0.5713558484042306,-0.3622040571405643,-0.8470350827048564,-0.6060703447521631,-0.1589360970487678,-0.0314112586973356,-0.4490500668675767,-1.2151697631492056,-0.3674305556997124,-0.8316221362947711,0.1778506041131008,0.0139497329697929,-0.1397270711479531,-0.9428964174674724,0.3591888364420176,0.2842908198026446,-0.9990721113509434,0.9136522088279628,-0.353595036567143,-0.9832997880948108,0.660890883587452,-1.1875541537982628,-1.1221536505463567,1.035788632594176,0.9718766467275072,-0.5535232849294756,-1.314734030181664,0.7939644081675696,-0.8006503814886471,0.3350026010745977,1.606949496457162,-0.459120725208369,0.0635850929701481,-0.1197320998093373,0.3137499095411862,,-0.1029163645410567,-0.7205654257996832,-0.5522167188634416,0.19953664619878936
BaLiF3,-0.6362155695713592,0.5426881507425069,-0.2662559625337923,-1.1182576087331668,-0.8771903804860146,-0.4466032410284384,-0.0314112586973356,1.4123489357201058,0.1282058644004702,-0.3555324224381685,-0.1354347031380878,0.1778506041131008,0.0139497329697929,2.1225636079289667,-0.2470717525180437,-1.653641031634246,1.5311297452315076,-0.9990721113509434,0.9136522088279628,-0.353595036567143,-0.9832997880948108,0.660890883587452,-1.8265072083849705,-1.1221536505463567,-1.5737746955299,-0.9618521261401046,-0.5535232849294756,-1.314734030181664,-1.3108577911353194,-1.81316106801104,-0.8104874917924983,-0.0524356713049449,-0.459120725208369,0.4194200945309803,-0.1197320998093373,0.208741388519333,,-0.1718143491710526,-0.7205654257996832,5.200215501316378,0.37047831541222154
BaLiH3,-0.676717434897744,,-1.0338407193879684,-1.1594314848762153,-0.918348697734484,-2.5753401064779977,-0.0314112586973356,-1.127913232517202,0.9666994870546702,1.2677129011010395,-0.1354347031380878,0.1778506041131008,0.0139497329697929,-0.1513853228976509,-0.2470717525180437,-1.581754250631522,-2.5788207867377064,-0.9990721113509434,0.9136522088279628,-0.353595036567143,-0.9832997880948108,0.660890883587452,-1.8265072083849705,-1.1221536505463567,-1.5737746955299,-0.9618521261401046,-0.5535232849294756,-1.314734030181664,-1.3108577911353194,-1.81316106801104,-0.8104874917924983,-0.7486825471219318,-0.459120725208369,0.3823541994142509,-0.1197320998093373,0.1937820740720867,,-0.1718143491710526,-0.7205654257996832,5.200215501316378,0.5307281798881983
BaSeO3,-0.2568838885608779,0.5713558484042306,-0.3622040571405643,-0.002596096942191,-0.7622682800387369,-0.1589360970487678,-0.0314112586973356,-0.4490500668675767,-0.2492460930936852,-0.3674305556997124,-1.084046224961904,0.1778506041131008,0.0139497329697929,-0.1397270711479531,1.3337111272496185,0.3591888364420176,0.2842908198026446,-0.699702008812623,0.9136522088279628,-0.353595036567143,-0.9832997880948108,0.660890883587452,1.308356215681063,0.7913629763451508,-0.4013621857929964,-0.9238712134932368,-0.5535232849294756,-1.314734030181664,-0.6050215248485423,1.2671911889785528,-0.6358239197809452,-0.2158784410734342,-0.459120725208369,-0.7813077813914052,-0.1197320998093373,1.1199337638935496,,0.3859312406908191,-0.4426395432174472,-0.2560618314370808,-0.03339112351683682
BaTiO3,-0.6427051781433981,0.5713558484042306,-0.3622040571405643,-0.3878756888972581,-0.8176196486047016,-0.1589360970487678,-0.0314112586973356,-0.4490500668675767,-0.7975872865209309,-0.3674305556997124,-0.8428509658618144,0.1778506041131008,0.0139497329697929,-0.1397270711479531,-0.8541670977759346,0.3591888364420176,0.2842908198026446,-0.834523486001273,0.9136522088279628,-0.353595036567143,-0.9832997880948108,0.660890883587452,-0.7083393628582322,1.0282227202348933,-0.855199286336314,0.4395220040710855,-0.5535232849294756,-1.314734030181664,-0.6564269672111648,-0.7984958794902578,-0.2827100316491875,0.3121051714422525,-0.459120725208369,-0.3588613442106287,-0.1197320998093373,0.6951923981733793,,-0.5622362620743624,-0.5035264563540335,0.0835960338033216,0.6190735303923531
CaCO3,-0.0876689386156013,0.5713558484042306,-0.3622040571405643,-0.5492577999307504,0.5308315437243128,-0.1589360970487678,-0.6861811583037719,-0.4490500668675767,-0.7121023953675566,-0.3674305556997124,0.4821509230492926,0.9597716435019,0.6029884574039308,-0.1397270711479531,0.85387230628617,0.3591888364420176,0.2842908198026446,1.5674970445947736,-0.8910928950297415,0.0348739174641746,2.41012161855616,0.8719696672089804,1.308356215681063,0.8382942173911012,-1.460315420394071,2.191110111501683,0.0354833272278765,-1.965685686227057,-1.0254916816094797,2.332369913041244,4.604556583579229,-1.376186756759514,-0.459120725208369,-2.1492295779767767,-0.1197320998093373,2.0168164798164576,,-1.4398653520040718,1.895530957868219,0.3931364528647719,0.4830231721576881
CaSnO3,-0.0523435479423183,0.5713558484042306,-0.3622040571405643,-0.5053382927496057,0.237680423593461,-0.1589360970487678,-0.6861811583037719,-0.4490500668675767,-0.2735563067076899,-0.3674305556997124,-0.3375536353448668,0.9597716435019,0.6029884574039308,-0.1397270711479531,0.3098214776512138,0.3591888364420176,0.2842908198026446,1.3271812880185707,-0.8910928950297415,0.0348739174641746,2.41012161855616,0.8719696672089804,0.1302865212868213,1.142842047539956,0.2037539482647604,-0.9134314091735322,0.0354833272278765,-1.965685686227057,-0.1946017911136306,-0.4341378038282253,-0.6140501411561988,-0.1052266093370096,-0.459120725208369,-0.0168808950642855,-0.1197320998093373,-0.2707992495582557,,0.3646056740196294,1.1724990543518627,-0.4133418281493853,0.783235793541822
CaTcN3,0.5423399948163858,-0.4814715471591844,-0.4581521517473363,0.3654899736611833,-0.1763102172254439,0.0136641893390344,-0.6861811583037719,-1.782886785299392,-0.8433022113570441,-0.3753980556516392,-0.5172149084175593,0.9597716435019,0.6029884574039308,0.4049529673745289,-0.3241261617238529,-0.8890270882416395,-0.6392935694039202,0.6199460566395295,-0.8910928950297415,0.0348739174641746,2.41012161855616,0.8719696672089804,0.0104828235518135,1.205352304461182,-0.0609843603855081,0.9002678806356699,0.0354833272278765,-1.965685686227057,0.4957469380510742,-0.479290514561682,0.6232684963456975,-0.476175136229241,-0.459120725208369,-0.709659983826498,-0.1197320998093373,0.0628864753721348,,-0.8919623313750569,3.954205365751095,,0.7349543019804048
CaWN3,-0.0977616261422565,-0.4814715471591844,-0.4581521517473363,-0.2949859307202157,0.2043854051414731,0.0136641893390344,-0.6861811583037719,-1.782886785299392,-1.0377487872646376,-0.3753980556516392,0.819015810060591,0.9597716435019,0.6029884574039308,0.4049529673745289,-0.025248453289199,-0.8890270882416395,-0.6392935694039202,0.93272411084275,-0.8910928950297415,0.0348739174641746,2.41012161855616,0.8719696672089804,0.9289778395202056,1.0689098107441468,1.1114281493513956,2.0921769478221712,0.0354833272278765,-1.965685686227057,1.772644945455958,-0.0667351696045343,1.523566908177605,0.4330474304937444,-0.459120725208369,-0.5608530196532306,-0.1197320998093373,-0.0701471639599362,,-0.7541663621150652,0.662083607396017,-0.5722950163160762,0.5995459180161913
