Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM
AlBiO3,-0.9303292421635466,0.5713558484042306,-0.36220405714056436,0.4748268634320361,-0.4149756705139152,-0.15893609704876788,-1.5179158956416772,-0.4490500668675767,-5.699699148339683,-0.36743055569971245,-1.0000545798004203,0.8492769934426458,2.8320957871252754,-0.13972707114795316,0.12185541883098232,0.3591888364420176,0.2842908198026446,1.685227819887046,-1.242015554113184,2.1891108443651186,3.0627026582967307,0.5387772185931886,0.2500902190218291,0.38606349872618695,1.4518059747588838,-0.8763832949270711,0.36787983521735285,0.29015973321177085,0.2123579609237968,-0.4754053470236032,-0.4267956449833793,1.6955820459480164,0.7257069527487126,-0.640492302331146,3.39240949459789,-0.18063213073678663,,1.1881006331686277,0.43157544051806046,-0.5890269308599383
BaHfO3,-0.36941974533282274,0.5713558484042306,-0.36220405714056436,-0.8470350827048564,-0.6060703447521631,-0.15893609704876788,-0.031411258697335666,-0.4490500668675767,-1.2151697631492056,-0.36743055569971245,-0.8316221362947711,0.17785060411310089,0.013949732969792905,-0.13972707114795316,-0.9428964174674724,0.3591888364420176,0.2842908198026446,-0.9990721113509434,0.9136522088279629,-0.35359503656714303,-0.9832997880948108,0.660890883587452,-1.1875541537982628,-1.1221536505463567,1.035788632594176,0.9718766467275072,-0.5535232849294756,-1.314734030181664,0.7939644081675696,-0.8006503814886471,0.3350026010745977,1.606949496457162,-0.45912072520836905,0.06358509297014818,-0.1197320998093373,0.31374990954118626,,-0.10291636454105674,-0.7205654257996832,-0.5522167188634416
BaLiF3,-0.6362155695713592,0.5426881507425069,-0.26625596253379236,-1.1182576087331668,-0.8771903804860146,-0.4466032410284384,-0.031411258697335666,1.4123489357201058,0.1282058644004702,-0.3555324224381685,-0.1354347031380878,0.17785060411310089,0.013949732969792905,2.1225636079289667,-0.2470717525180437,-1.653641031634246,1.5311297452315076,-0.9990721113509434,0.9136522088279629,-0.35359503656714303,-0.9832997880948108,0.660890883587452,-1.8265072083849705,-1.1221536505463567,-1.5737746955299001,-0.9618521261401046,-0.5535232849294756,-1.314734030181664,-1.3108577911353194,-1.8131610680110402,-0.8104874917924983,-0.05243567130494497,-0.45912072520836905,0.41942009453098034,-0.1197320998093373,0.20874138851933308,,-0.1718143491710526,-0.7205654257996832,5.200215501316378
BaLiH3,-0.676717434897744,,-1.0338407193879684,-1.1594314848762153,-0.9183486977344841,-2.5753401064779977,-0.031411258697335666,-1.127913232517202,0.9666994870546702,1.2677129011010397,-0.1354347031380878,0.17785060411310089,0.013949732969792905,-0.15138532289765091,-0.2470717525180437,-1.581754250631522,-2.5788207867377064,-0.9990721113509434,0.9136522088279629,-0.35359503656714303,-0.9832997880948108,0.660890883587452,-1.8265072083849705,-1.1221536505463567,-1.5737746955299001,-0.9618521261401046,-0.5535232849294756,-1.314734030181664,-1.3108577911353194,-1.8131610680110402,-0.8104874917924983,-0.7486825471219318,-0.45912072520836905,0.3823541994142509,-0.1197320998093373,0.19378207407208675,,-0.1718143491710526,-0.7205654257996832,5.200215501316378
BaSeO3,-0.25688388856087796,0.5713558484042306,-0.36220405714056436,-0.0025960969421910604,-0.7622682800387369,-0.15893609704876788,-0.031411258697335666,-0.4490500668675767,-0.2492460930936852,-0.36743055569971245,-1.084046224961904,0.17785060411310089,0.013949732969792905,-0.13972707114795316,1.3337111272496183,0.3591888364420176,0.2842908198026446,-0.699702008812623,0.9136522088279629,-0.35359503656714303,-0.9832997880948108,0.660890883587452,1.308356215681063,0.7913629763451508,-0.40136218579299643,-0.9238712134932368,-0.5535232849294756,-1.314734030181664,-0.6050215248485423,1.2671911889785528,-0.6358239197809452,-0.21587844107343424,-0.45912072520836905,-0.7813077813914052,-0.1197320998093373,1.1199337638935496,,0.3859312406908191,-0.44263954321744725,-0.2560618314370808
BaTiO3,-0.6427051781433981,0.5713558484042306,-0.36220405714056436,-0.3878756888972581,-0.8176196486047016,-0.15893609704876788,-0.031411258697335666,-0.4490500668675767,-0.7975872865209309,-0.36743055569971245,-0.8428509658618144,0.17785060411310089,0.013949732969792905,-0.13972707114795316,-0.8541670977759346,0.3591888364420176,0.2842908198026446,-0.834523486001273,0.9136522088279629,-0.35359503656714303,-0.9832997880948108,0.660890883587452,-0.7083393628582322,1.0282227202348933,-0.855199286336314,0.43952200407108555,-0.5535232849294756,-1.314734030181664,-0.6564269672111648,-0.7984958794902578,-0.2827100316491875,0.3121051714422525,-0.45912072520836905,-0.3588613442106287,-0.1197320998093373,0.6951923981733793,,-0.5622362620743624,-0.5035264563540335,0.08359603380332162
CaCO3,-0.08766893861560139,0.5713558484042306,-0.36220405714056436,-0.5492577999307504,0.5308315437243128,-0.15893609704876788,-0.6861811583037719,-0.4490500668675767,-0.7121023953675566,-0.36743055569971245,0.4821509230492926,0.9597716435019001,0.6029884574039308,-0.13972707114795316,0.85387230628617,0.3591888364420176,0.2842908198026446,1.5674970445947736,-0.8910928950297415,0.034873917464174606,2.41012161855616,0.8719696672089804,1.308356215681063,0.8382942173911012,-1.460315420394071,2.191110111501683,0.03548332722787656,-1.965685686227057,-1.0254916816094797,2.332369913041244,4.604556583579229,-1.3761867567595139,-0.45912072520836905,-2.1492295779767767,-0.1197320998093373,2.0168164798164576,,-1.4398653520040718,1.8955309578682187,0.39313645286477195
CaSnO3,-0.052343547942318304,0.5713558484042306,-0.36220405714056436,-0.5053382927496057,0.237680423593461,-0.15893609704876788,-0.6861811583037719,-0.4490500668675767,-0.2735563067076899,-0.36743055569971245,-0.3375536353448668,0.9597716435019001,0.6029884574039308,-0.13972707114795316,0.3098214776512138,0.3591888364420176,0.2842908198026446,1.3271812880185707,-0.8910928950297415,0.034873917464174606,2.41012161855616,0.8719696672089804,0.13028652128682133,1.1428420475399559,0.2037539482647604,-0.9134314091735322,0.03548332722787656,-1.965685686227057,-0.19460179111363068,-0.4341378038282253,-0.6140501411561988,-0.10522660933700967,-0.45912072520836905,-0.016880895064285566,-0.1197320998093373,-0.27079924955825574,,0.36460567401962946,1.1724990543518627,-0.41334182814938536
CaTcN3,0.5423399948163858,-0.48147154715918444,-0.45815215174733637,0.3654899736611833,-0.17631021722544396,0.01366418933903443,-0.6861811583037719,-1.782886785299392,-0.8433022113570441,-0.3753980556516392,-0.5172149084175593,0.9597716435019001,0.6029884574039308,0.4049529673745289,-0.32412616172385295,-0.8890270882416395,-0.6392935694039202,0.6199460566395295,-0.8910928950297415,0.034873917464174606,2.41012161855616,0.8719696672089804,0.010482823551813568,1.205352304461182,-0.060984360385508196,0.9002678806356699,0.03548332722787656,-1.965685686227057,0.4957469380510742,-0.47929051456168204,0.6232684963456975,-0.476175136229241,-0.45912072520836905,-0.709659983826498,-0.1197320998093373,0.06288647537213483,,-0.8919623313750569,3.954205365751095,
CaWN3,-0.09776162614225656,-0.48147154715918444,-0.45815215174733637,-0.2949859307202157,0.2043854051414731,0.01366418933903443,-0.6861811583037719,-1.782886785299392,-1.0377487872646376,-0.3753980556516392,0.819015810060591,0.9597716435019001,0.6029884574039308,0.4049529673745289,-0.02524845328919903,-0.8890270882416395,-0.6392935694039202,0.93272411084275,-0.8910928950297415,0.034873917464174606,2.41012161855616,0.8719696672089804,0.9289778395202055,1.0689098107441468,1.1114281493513956,2.0921769478221712,0.03548332722787656,-1.965685686227057,1.772644945455958,-0.06673516960453436,1.5235669081776053,0.43304743049374445,-0.45912072520836905,-0.5608530196532306,-0.1197320998093373,-0.07014716395993628,,-0.7541663621150652,0.662083607396017,-0.5722950163160762
