material_id,Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
mp-755177,EuSeO3,141.0,1.52,8.0,3.5200983859535127,16.0,35.1211,3.166924701819922,2.35,1.68,5.67038,34.0,6.69,1.15,2.708423503622833,0.8614827455919358,0.352112676056338,50.0,0.149510883164538,4819.0,-37.3875884,1.2,0.321,494.0,120.0,1.020148845774342,1.9,1099.0,0.4866967899105669,14.0,17.36
mp-866030,EuSiO3,141.0,1.52,8.0,3.2196394411923777,16.0,35.1211,2.628822132852896,2.35,1.68,5.67038,14.0,50.21,1.1,2.62882015797312,4.636355459576615e-05,0.2816901408450704,50.0,3.126337300898671e-05,2330.0,-43.44465521,1.2,0.712,1687.0,111.0,1.0762009801575476,2.1,1099.0,3.696444204646515e-05,14.0,17.36
mp-862606,EuSnO3,141.0,1.52,8.0,3.572179100037144,16.0,35.1211,2.9166720216418094,2.35,1.68,5.67038,50.0,7.15,1.45,2.9166720216418094,0.0,0.5704225352112676,50.0,0.0,7310.0,-39.37713864,1.2,0.227,505.08,139.0,0.8783344322362047,2.17,1099.0,0.0,14.0,17.36
mp-1184447,EuTcO3,141.0,1.52,8.0,3.436357871301447,16.0,35.1211,2.8057744527617103,2.35,1.68,5.67038,43.0,33.29,1.35,2.8057744527617103,0.0,0.4542253521126761,50.0,0.0,11500.0,-44.88483532,1.2,0.21,2430.0,147.0,0.9485161181049572,2.16,1099.0,0.0,14.0,17.36
mp-22246,EuTiO3,141.0,1.52,8.0,3.401790126047266,16.0,35.1211,2.777550006951291,2.35,1.68,5.67038,22.0,14.15,1.4,2.777550006951291,0.0,0.471830985915493,50.0,0.0,4507.0,-47.08602378,1.2,0.524,1941.0,160.0,0.8593546527338903,2.11,1099.0,0.0,14.0,17.36
mp-1079111,EuTiO3,141.0,1.52,8.0,3.4060638866683703,16.0,35.1211,2.9474019352108325,2.35,1.68,5.67038,22.0,14.15,1.4,2.652535617194092,0.0023145387087869,0.471830985915493,50.0,0.0822794066623534,4507.0,-47.170674805,1.2,0.524,1941.0,160.0,0.8593546527338903,2.11,1099.0,0.317471909983296,14.0,17.36
mp-1178346,EuTmO3,141.0,1.52,8.0,3.4591536682994564,16.0,35.1211,3.287381568459344,2.35,1.68,5.67038,69.0,16.84,1.75,3.034365218632925,0.9436018084888412,0.619718309859155,50.0,0.744301576691926,9321.0,-44.808820175,1.2,0.16,1818.0,190.0,0.7808918366147091,2.27,1099.0,0.3904938830487844,14.0,17.36
mp-1184353,EuTmO3,141.0,1.52,8.0,3.696660024071138,16.0,35.1211,3.0183102705062894,2.35,1.68,5.67038,69.0,16.84,1.75,3.0183102705062894,0.0,0.619718309859155,50.0,0.0,9321.0,-43.06847002999999,1.2,0.16,1818.0,190.0,0.7808918366147091,2.27,1099.0,0.0,14.0,17.36
mp-1213318,EuUO3,141.0,1.52,8.0,3.566017942535944,16.0,35.1211,3.3690908164346847,2.35,1.68,5.67038,92.0,9.14,1.75,3.133289080716846,1.0266112846890667,0.7218309859154929,50.0,0.7309152600573834,19050.0,-48.5603198625,1.2,0.116,1405.3,196.0,0.7345812777970678,2.41,1099.0,0.4156899716453251,14.0,17.36
mp-756315,EuVO3,141.0,1.52,8.0,3.376632533945589,16.0,35.1211,2.757113274107449,2.35,1.68,5.67038,23.0,21.5,1.35,2.756977117792265,1.8647528005680288e-05,0.4507042253521127,50.0,2.5306413106160084e-05,6110.0,-46.73722828,1.2,0.489,2183.0,153.0,0.8718695263173936,2.07,1099.0,1.33103366056235e-05,14.0,17.36
mp-1178351,EuVO3,141.0,1.52,8.0,3.270623492169965,16.0,35.1211,3.169733509433176,2.35,1.68,5.67038,23.0,21.5,1.35,3.026527695412085,1.0509019081333375,0.4507042253521127,50.0,0.7634599764316377,6110.0,-44.0234920875,1.2,0.489,2183.0,153.0,0.8718695263173936,2.07,1099.0,0.6110290603249966,14.0,17.36
mp-1184400,EuWO3,141.0,1.52,8.0,3.550835687177259,16.0,35.1211,2.8992451980163843,2.35,1.68,5.67038,74.0,52.31,1.35,2.8992451980163843,0.0,0.4647887323943662,50.0,0.0,19250.0,-41.61334719,1.2,0.132,3695.0,162.0,0.941675857637854,2.18,1099.0,0.0,14.0,17.36
mp-1106293,EuZrO3,141.0,1.52,8.0,3.454241590951032,16.0,35.1211,3.248894194999482,2.35,1.68,5.67038,40.0,21.0,1.55,3.0396581179598723,1.0490003966106607,0.6267605633802817,50.0,0.6574036188263035,6511.0,-48.1337300725,1.2,0.278,2128.0,175.0,0.847915923760492,2.23,1099.0,0.4343751399898116,14.0,17.36
mp-1178354,EuZrO3,141.0,1.52,8.0,3.631871291533527,16.0,35.1211,3.678231216476697,2.35,1.68,5.67038,40.0,21.0,1.55,3.706463627627016,1.1540818812702234,0.6267605633802817,50.0,0.9595406383174596,6511.0,-47.7233413975,1.2,0.278,2128.0,175.0,0.847915923760492,2.23,1099.0,0.7995825502742365,14.0,17.36
mp-771055,EuZrO3,141.0,1.52,8.0,3.6349895727658255,16.0,35.1211,2.967959795273992,2.35,1.68,5.67038,40.0,21.0,1.55,2.96795794951709,0.0003266949049569,0.6267605633802817,50.0,0.0002320013938698,6511.0,-47.67738242,1.2,0.278,2128.0,175.0,0.847915923760492,2.23,1099.0,0.0002295674610125,14.0,17.36
mp-1189927,EuZrS3,200.0,1.8,16.0,3.9515634761829017,16.0,23.33788,3.68519489414768,2.35,1.68,5.67038,40.0,21.0,1.55,3.4245757135828816,1.028903363909667,0.483695652173913,50.0,0.6611481568819813,6511.0,-38.4534037475,1.2,0.278,2128.0,175.0,0.8262529787491161,2.23,1099.0,0.1083071924129757,14.0,15.53
mp-1106192,EuZrSe3,195.0,1.9,34.0,4.70550921664694,16.0,21.19,3.8925494677024224,2.35,1.68,5.67038,40.0,21.0,1.55,3.33066867715016,0.8588188496772513,0.4494949494949495,50.0,0.2402354554178666,6511.0,-35.5693491875,1.2,0.278,2128.0,175.0,0.8204409691119174,2.23,1099.0,0.2989277816080393,14.0,16.42
mp-1184234,FeAgO3,141.0,1.52,8.0,3.344916822028427,16.0,35.1211,2.731113148673846,2.04,1.8,7.9024,47.0,11.3,1.6,1.93118862761502,0.0,0.5281690140845071,15.7,0.0,10490.0,-24.039528110000003,1.83,0.235,1234.93,145.0,0.7168824509725368,2.11,1811.0,0.0,80.0,17.36
mp-1184215,FeAsO3,141.0,1.52,8.0,3.2904310197455704,16.0,35.1211,2.686625677400789,2.04,1.8,7.9024,33.0,24.44,1.15,2.686625677400789,0.0,0.4084507042253521,15.7,0.0,5727.0,-26.767613110000003,1.83,0.329,1090.0,119.0,0.7778174593052023,1.85,1811.0,0.0,80.0,17.36
mp-1193035,FeBiO3,141.0,1.52,8.0,3.4086092865023465,16.0,35.1211,3.562783885323482,2.04,1.8,7.9024,83.0,11.106,1.6,3.56657067083961,0.9658610994182276,0.7253521126760564,15.7,1.091746042150439,9780.0,-29.746199896666603,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.7763286937412532,80.0,17.36
mp-655631,FeBiO3,141.0,1.52,8.0,3.216166502635,16.0,35.1211,3.141845912651862,2.04,1.8,7.9024,83.0,11.106,1.6,1.8140110968855376,9.696468361442933e-09,0.7253521126760564,15.7,1.5431429741407163e-08,9780.0,-27.810860540000004,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,2.6950688084061926e-08,80.0,17.36
mp-654759,FeBiO3,141.0,1.52,8.0,2.9050276034112943,16.0,35.1211,3.008734987652982,2.04,1.8,7.9024,83.0,11.106,1.6,1.7396468704251669,1.5732228201594567e-08,0.7253521126760564,15.7,1.7778771862947105e-08,9780.0,-30.137377670000003,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,2.962116654497356e-08,80.0,17.36
mp-1181635,FeBiO3,141.0,1.52,8.0,2.760800509487344,16.0,35.1211,2.525250352575044,2.04,1.8,7.9024,83.0,11.106,1.6,3.746084118488696,0.4134979064859173,0.7253521126760564,15.7,0.284602478457524,9780.0,-19.58106543,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.4134979064859173,80.0,17.36
mp-1181670,FeBiO3,141.0,1.52,8.0,5.365140413965094,16.0,35.1211,3.538460105960376,2.04,1.8,7.9024,83.0,11.106,1.6,3.618495107559941,0.4514770736702045,0.7253521126760564,15.7,1.4710474596557208,9780.0,-22.99508334,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,1.0929169576871356,80.0,17.36
mp-1181856,FeBiO3,141.0,1.52,8.0,3.4014451920940263,16.0,35.1211,3.0634895380149825,2.04,1.8,7.9024,83.0,11.106,1.6,1.831346159079657,0.0247229457302046,0.7253521126760564,15.7,0.0105727681696597,9780.0,-27.93407829,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.0298040094654796,80.0,17.36
mp-1069079,FeBiO3,141.0,1.52,8.0,3.3707115303948587,16.0,35.1211,2.85067777908321,2.04,1.8,7.9024,83.0,11.106,1.6,1.9601196925993485,0.2317770995804682,0.7253521126760564,15.7,0.0738583247470722,9780.0,-29.76524228,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.1318147135675446,80.0,17.36
mp-555351,FeBiO3,141.0,1.52,8.0,3.33372931438947,16.0,35.1211,3.219307490420175,2.04,1.8,7.9024,83.0,11.106,1.6,3.1229824965982558,0.7467430732460854,0.7253521126760564,15.7,1.1922679892442165,9780.0,-31.2801902725,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.7350668368278243,80.0,17.36
mp-547069,FeBiO3,141.0,1.52,8.0,3.338113160073823,16.0,35.1211,2.72371943377046,2.04,1.8,7.9024,83.0,11.106,1.6,1.929878323122405,0.0002745901388438,0.7253521126760564,15.7,0.0003803770479502,9780.0,-31.27341915,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.0002745901388438,80.0,17.36
mp-22949,FeBiO3,141.0,1.52,8.0,2.988054473106124,16.0,35.1211,2.68014386816472,2.04,1.8,7.9024,83.0,11.106,1.6,1.9539268602172064,1.3890064614048599e-09,0.7253521126760564,15.7,6.99986431197882e-10,9780.0,-31.71101431,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,2.058549410725462e-09,80.0,17.36
mp-1181394,FeBiO3,141.0,1.52,8.0,3.3584457687229947,16.0,35.1211,3.2503777718696587,2.04,1.8,7.9024,83.0,11.106,1.6,3.190143962080757,0.7753000758010316,0.7253521126760564,15.7,1.2084920736644122,9780.0,-28.745561785000003,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.7130039933268907,80.0,17.36
mp-23501,FeBiO3,141.0,1.52,8.0,3.1762623932713643,16.0,35.1211,2.935864647193714,2.04,1.8,7.9024,83.0,11.106,1.6,2.0258968062758558,0.0526910979316497,0.7253521126760564,15.7,0.036707841653205,9780.0,-31.863241405,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.2662400539387005,80.0,17.36
mp-645159,FeBiO3,141.0,1.52,8.0,3.2936445781242147,16.0,35.1211,3.2279730672570577,2.04,1.8,7.9024,83.0,11.106,1.6,3.0645768458108296,0.8198205217237339,0.7253521126760564,15.7,1.0020518858113796,9780.0,-29.80911247,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.5882855480010395,80.0,17.36
mp-548231,FeBiO3,141.0,1.52,8.0,3.168479364914357,16.0,35.1211,2.866784518517496,2.04,1.8,7.9024,83.0,11.106,1.6,1.9996183640723773,0.0404640772489174,0.7253521126760564,15.7,0.0722543905987534,9780.0,-31.87097702,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.2806474644824623,80.0,17.36
mp-551451,FeBiO3,141.0,1.52,8.0,3.0636568047685437,16.0,35.1211,2.94808999507508,2.04,1.8,7.9024,83.0,11.106,1.6,1.7441691689113394,0.0184048200526673,0.7253521126760564,15.7,0.0123983584313557,9780.0,-30.353520050000004,1.83,0.122,544.4,148.0,0.6349530280042468,2.07,1811.0,0.1630175123749412,80.0,17.36
mp-1274711,FeBO3,141.0,1.52,8.0,3.1636356023447814,16.0,35.1211,2.97754001467772,2.04,1.8,7.9024,5.0,50.2,0.85,2.033367054741995,1.1380558576254158,0.1901408450704225,15.7,0.0008050805538033,2460.0,-35.29849611499999,1.83,1.026,2349.0,84.0,0.9204940346807128,1.92,1811.0,0.5480319741814437,80.0,17.36
mp-19097,FeBO3,141.0,1.52,8.0,2.970140947864365,16.0,35.1211,2.7111644804761483,2.04,1.8,7.9024,5.0,50.2,0.85,2.060363662252573,0.7854094526088538,0.1901408450704225,15.7,3.7835162156568655e-06,2460.0,-35.737207004999995,1.83,1.026,2349.0,84.0,0.9204940346807128,1.92,1811.0,0.2556024820969059,80.0,17.36
mp-849295,FeBO3,141.0,1.52,8.0,3.101043752223828,16.0,35.1211,2.9308553459625157,2.04,1.8,7.9024,5.0,50.2,0.85,2.043562409566208,1.0778265981806934,0.1901408450704225,15.7,0.0022902314717754,2460.0,-37.162209965,1.83,1.026,2349.0,84.0,0.9204940346807128,1.92,1811.0,0.4885419408486219,80.0,17.36
mp-1199904,FeBO3,141.0,1.52,8.0,4.091194069804115,16.0,35.1211,3.778526325413078,2.04,1.8,7.9024,5.0,50.2,0.85,3.4126138086598226,1.1422453590808457,0.1901408450704225,15.7,0.964264047019983,2460.0,-35.37052711374999,1.83,1.026,2349.0,84.0,0.9204940346807128,1.92,1811.0,0.936596821404606,80.0,17.36
mp-18969,FeCO3,141.0,1.52,8.0,3.038719236087152,16.0,35.1211,2.7206570264244005,2.04,1.8,7.9024,6.0,117.4,0.7,2.172287191024684,0.9006437648177319,0.1126760563380281,15.7,3.760675691759834e-06,2267.0,-34.82270909,1.83,0.709,3800.0,76.0,1.047234093656026,1.7,1811.0,0.3920553460522144,80.0,17.36
mp-675126,FeCO3,141.0,1.52,8.0,2.530572612138874,16.0,35.1211,2.7082762142989525,2.04,1.8,7.9024,6.0,117.4,0.7,2.31444134924634,0.6592034704250445,0.1126760563380281,15.7,0.3962255532160854,2267.0,-32.011733515,1.83,0.709,3800.0,76.0,1.047234093656026,1.7,1811.0,0.5556117353559725,80.0,17.36
mp-22334,FeGeO3,141.0,1.52,8.0,3.474012280142809,16.0,35.1211,3.1305496295685744,2.04,1.8,7.9024,32.0,36.94,1.25,2.908344131072704,0.9157046455125306,0.3732394366197183,15.7,0.7607852577202552,5323.0,-33.44851867,1.83,0.32,1211.4,120.0,0.8485281374238569,2.11,1811.0,0.480979849183884,80.0,17.36
mp-1096837,FeGeS3,200.0,1.8,16.0,3.9824729480411456,16.0,23.33788,3.4595905767575656,2.04,1.8,7.9024,32.0,36.94,1.25,3.237336823148599,0.882479533472864,0.2880434782608695,15.7,0.9615134498237246,5323.0,-25.437664465,1.83,0.32,1211.4,120.0,0.8234661249261059,2.11,1811.0,0.336701818152632,80.0,15.53
mp-768499,FeNiO3,141.0,1.52,8.0,3.1048981956558466,16.0,35.1211,2.645003318414487,2.04,1.8,7.9024,28.0,17.48,1.35,1.909376434640647,0.0593667722294421,0.3943661971830986,15.7,0.0308994731448031,8908.0,-32.950695095,1.83,0.444,1728.0,124.0,0.7856742013183862,1.97,1811.0,0.0847722994368128,80.0,17.36
mp-1272388,FeNiO3,141.0,1.52,8.0,3.227870756677982,16.0,35.1211,2.748584672379163,2.04,1.8,7.9024,28.0,17.48,1.35,1.9989995467581323,0.0339098303923338,0.3943661971830986,15.7,0.0633410579811682,8908.0,-27.33732401,1.83,0.444,1728.0,124.0,0.7856742013183862,1.97,1811.0,0.1043943675349588,80.0,17.36
mp-973579,FePbO3,141.0,1.52,8.0,3.4185616679762494,16.0,35.1211,2.79129341191744,2.04,1.8,7.9024,82.0,4.774,1.8,1.9737543564633817,3.5970450271958854e-05,0.545774647887324,15.7,1.6794666959607892e-05,11340.0,-28.287983460000003,1.83,0.13,600.61,146.0,0.7538177075063878,2.02,1811.0,8.968395446870415e-06,80.0,17.36
mp-5864,FePS3,200.0,1.8,16.0,3.5793464270415867,16.0,23.33788,3.593227461259492,2.04,1.8,7.9024,15.0,18.54,1.0,2.5222132180133925,0.6437955020524582,0.2391304347826086,15.7,0.0081673391362627,1823.0,-26.242872635,1.83,0.769,317.3,107.0,0.8125525292582255,1.8,1811.0,0.1561745314941353,80.0,15.53
mp-1232490,FePS3,200.0,1.8,16.0,3.6347288093020502,16.0,23.33788,3.7023589034410223,2.04,1.8,7.9024,15.0,18.54,1.0,3.2100384192807616,0.905987521899128,0.2391304347826086,15.7,0.8444586392957893,1823.0,-26.30271504,1.83,0.769,317.3,107.0,0.8125525292582255,1.8,1811.0,0.333962408012719,80.0,15.53
mp-2928,FePSe3,195.0,1.9,34.0,3.789220761978672,16.0,21.19,3.764082124640522,2.04,1.8,7.9024,15.0,18.54,1.0,2.6340151924539468,0.6380516890645035,0.2222222222222222,15.7,0.0005583174971709,1823.0,-23.6835324,1.83,0.769,317.3,107.0,0.8064523620144095,1.8,1811.0,0.1712501214794818,80.0,16.42
mp-1184349,FeRhO3,141.0,1.52,8.0,3.3761363718627413,16.0,35.1211,2.7566038043716663,2.04,1.8,7.9024,45.0,26.59,1.35,2.7566038043716663,0.0,0.4683098591549296,15.7,0.0,12450.0,-26.10900114,1.83,0.243,2237.0,142.0,0.7461078746332876,2.1,1811.0,0.0,80.0,17.36
mp-973648,FeRhO3,141.0,1.52,8.0,3.263671698119907,16.0,35.1211,2.6648771125471757,2.04,1.8,7.9024,45.0,26.59,1.35,1.8850352437622448,0.002447424399455,0.4683098591549296,15.7,0.0029818238175259,12450.0,-25.91122414,1.83,0.243,2237.0,142.0,0.7461078746332876,2.1,1811.0,0.0024368660973208,80.0,17.36
mp-21939,FeSiO3,141.0,1.52,8.0,3.788974449572044,16.0,35.1211,3.669222637010965,2.04,1.8,7.9024,14.0,50.21,1.1,3.6144075630219294,1.0482674301250394,0.2816901408450704,15.7,0.9520345675651428,2330.0,-37.616780648124994,1.83,0.712,1687.0,111.0,0.9091372900969896,2.1,1811.0,0.8420599363564637,80.0,17.36
mp-18269,FeSiO3,141.0,1.52,8.0,3.792939967691488,16.0,35.1211,3.619665007848593,2.04,1.8,7.9024,14.0,50.21,1.1,3.65084283178332,1.0489677294062534,0.2816901408450704,15.7,0.9645115871241368,2330.0,-37.62697239625,1.83,0.712,1687.0,111.0,0.9091372900969896,2.1,1811.0,0.8129714816655123,80.0,17.36
mp-561362,FeSiO3,141.0,1.52,8.0,3.3562428723713222,16.0,35.1211,3.135414346781643,2.04,1.8,7.9024,14.0,50.21,1.1,2.9366544217068498,1.034819975844715,0.2816901408450704,15.7,0.7255721079654336,2330.0,-37.62766986,1.83,0.712,1687.0,111.0,0.9091372900969896,2.1,1811.0,0.5079534484969063,80.0,17.36
mp-650392,FeSiO3,141.0,1.52,8.0,4.179741730547213,16.0,35.1211,3.617676763682807,2.04,1.8,7.9024,14.0,50.21,1.1,3.5951779063306404,0.9700740027492591,0.2816901408450704,15.7,0.944343880984568,2330.0,-35.9714305883333,1.83,0.712,1687.0,111.0,0.9091372900969896,2.1,1811.0,0.7831491938428106,80.0,17.36
mp-1199561,FeSiO3,141.0,1.52,8.0,3.769074120973766,16.0,35.1211,3.648203471538672,2.04,1.8,7.9024,14.0,50.21,1.1,3.645473328774948,1.0317068157538791,0.2816901408450704,15.7,0.9619628404219688,2330.0,-36.00203081375,1.83,0.712,1687.0,111.0,0.9091372900969896,2.1,1811.0,0.8274211246046449,80.0,17.36
mp-1178214,FeSnO3,141.0,1.52,8.0,3.238234125536037,16.0,35.1211,3.2970244797735564,2.04,1.8,7.9024,50.0,7.15,1.45,2.996496801580109,0.8737263085545418,0.5704225352112676,15.7,0.8737082977915459,7310.0,-30.67058344,1.83,0.227,505.08,139.0,0.741986487881848,2.17,1811.0,0.6642222396510622,80.0,17.36
mp-1178212,FeSnO3,141.0,1.52,8.0,3.4114878016969907,16.0,35.1211,2.905183287073485,2.04,1.8,7.9024,50.0,7.15,1.45,2.209433026368049,0.0420892947589202,0.5704225352112676,15.7,0.0958170069798027,7310.0,-30.982579495000003,1.83,0.227,505.08,139.0,0.741986487881848,2.17,1811.0,0.1141624409159311,80.0,17.36
mp-1207083,FeSnO3,141.0,1.52,8.0,3.4864275075602045,16.0,35.1211,2.8466561395752805,2.04,1.8,7.9024,50.0,7.15,1.45,2.8466561395752805,0.0,0.5704225352112676,15.7,0.0,7310.0,-27.124685860000003,1.83,0.227,505.08,139.0,0.741986487881848,2.17,1811.0,0.0,80.0,17.36
mp-540655,FeSO3,141.0,1.52,8.0,3.3414105140529498,16.0,35.1211,3.5007934423653064,2.04,1.8,7.9024,16.0,1.721,1.0,3.307246296048399,0.9151835873926348,0.2605633802816901,15.7,0.9077179065670354,1960.0,-31.418904725000004,1.83,0.708,388.36,105.0,0.924374227919844,1.8,1811.0,0.7148267248264739,80.0,17.36
mp-558285,GaBiO3,141.0,1.52,8.0,3.6822199720224886,16.0,35.1211,3.323429046367381,1.87,1.756,5.999301,83.0,11.106,1.6,3.241950648609026,0.8194097564886006,0.7253521126760564,28.9,1.0532578766769174,9780.0,-29.0913963725,1.81,0.122,544.4,148.0,0.5887746259675742,2.07,302.91,0.5450463332551665,29.0,17.36
mp-755568,GaBiO3,141.0,1.52,8.0,3.220516094168093,16.0,35.1211,2.9269902823832328,1.87,1.756,5.999301,83.0,11.106,1.6,2.0373620482221835,0.0747941057939133,0.7253521126760564,28.9,0.0740685703625576,9780.0,-28.85134836,1.81,0.122,544.4,148.0,0.5887746259675742,2.07,302.91,0.2757652044155821,29.0,17.36
mp-22979,GaBiO3,141.0,1.52,8.0,3.3727410445883788,16.0,35.1211,2.753831531261018,1.87,1.756,5.999301,83.0,11.106,1.6,1.94725295,0.0,0.7253521126760564,28.9,0.0,9780.0,-27.97199862,1.81,0.122,544.4,148.0,0.5887746259675742,2.07,302.91,0.0,29.0,17.36
mp-1078259,GaBO3,141.0,1.52,8.0,2.925944962230876,16.0,35.1211,2.6768857911733708,1.87,1.756,5.999301,5.0,50.2,0.85,2.020054030001717,0.7580435654355783,0.1901408450704225,28.9,1.0170179973184525e-07,2460.0,-34.753916954999994,1.81,1.026,2349.0,84.0,0.8535490139766609,1.92,302.91,0.2313772117081855,29.0,17.36
mp-1184023,GaBO3,141.0,1.52,8.0,2.913524010023664,16.0,35.1211,2.378882392635159,1.87,1.756,5.999301,5.0,50.2,0.85,2.378882392635159,0.0,0.1901408450704225,28.9,0.0,2460.0,-27.73295125,1.81,1.026,2349.0,84.0,0.8535490139766609,1.92,302.91,0.0,29.0,17.36
mp-1096988,GaCuBr3,324.6,1.85,35.0,4.517623226289385,17.0,21.591,3.865660416444363,1.87,1.756,5.999301,29.0,13.6,1.35,2.737134526675811,0.4258381271408488,0.3928571428571428,28.9,0.2318755139963078,8920.0,-12.591136435,1.81,0.385,1357.77,132.0,0.6682547602422317,1.96,302.91,0.3520246276580852,29.0,19.78
mp-1184033,GaFeO3,141.0,1.52,8.0,3.300668193460404,16.0,35.1211,2.694984294737314,1.87,1.756,5.999301,26.0,13.81,1.4,2.694984294737314,0.0,0.3873239436619718,28.9,0.0,7874.0,-25.92320091,1.81,0.449,1811.0,132.0,0.7322324028530746,2.04,302.91,0.0,29.0,17.36
mp-861324,GaFeO3,141.0,1.52,8.0,3.952575713486046,16.0,35.1211,3.715973941507979,1.87,1.756,5.999301,26.0,13.81,1.4,3.6084740273699007,1.0070750268065605,0.3873239436619718,28.9,1.0250928565574655,7874.0,-7.38033759,1.81,0.449,1811.0,132.0,0.7322324028530746,2.04,302.91,0.9084042509670572,29.0,17.36
mp-649086,GaFeO3,141.0,1.52,8.0,4.014514276067045,16.0,35.1211,3.4896406164480664,1.87,1.756,5.999301,26.0,13.81,1.4,3.50030654685526,1.0405688628018863,0.3873239436619718,28.9,0.9958672831635156,7874.0,-30.596190357500003,1.81,0.449,1811.0,132.0,0.7322324028530746,2.04,302.91,0.7397618986159828,29.0,17.36
mp-1184032,GaFeO3,141.0,1.52,8.0,3.277603330813693,16.0,35.1211,2.676151913246707,1.87,1.756,5.999301,26.0,13.81,1.4,1.8923251653421,0.0,0.3873239436619718,28.9,0.0,7874.0,-26.078706670000003,1.81,0.449,1811.0,132.0,0.7322324028530746,2.04,302.91,0.0,29.0,17.36
mp-868005,GaFeO3,141.0,1.52,8.0,3.996119028262346,16.0,35.1211,3.5335399447661024,1.87,1.756,5.999301,26.0,13.81,1.4,3.509624840789341,1.0426644301678225,0.3873239436619718,28.9,0.9961188649337364,7874.0,-32.51423147,1.81,0.449,1811.0,132.0,0.7322324028530746,2.04,302.91,0.7729586755750691,29.0,17.36
mp-1183980,GaGeO3,141.0,1.52,8.0,3.251094017132932,16.0,35.1211,2.6545071492636247,1.87,1.756,5.999301,32.0,36.94,1.25,2.6545071492636247,0.0,0.5140845070422535,28.9,0.0,5323.0,-27.03329468,1.81,0.32,1211.4,120.0,0.6709292249397939,2.11,302.91,0.0,29.0,17.36
mp-1246681,GaMoN3,7.0,1.55,7.0,3.649473278404717,15.0,29.6013,3.4495462368650056,1.87,1.756,5.999301,42.0,37.48,1.45,3.287540742876951,1.11514195728948,0.4041095890410959,28.9,1.0284778630482143,10280.0,-38.104831082500006,1.81,0.251,2896.0,154.0,0.7174546853014726,2.17,302.91,0.5935266072061274,29.0,13.54
mp-1183983,GaNiO3,141.0,1.52,8.0,3.17945751125491,16.0,35.1211,2.596016187144611,1.87,1.756,5.999301,28.0,17.48,1.35,2.596016187144611,0.0,0.3943661971830986,28.9,0.0,8908.0,-21.36646545,1.81,0.444,1728.0,124.0,0.7285342594043217,1.97,302.91,0.0,29.0,17.36
mp-1184206,GaSiO3,141.0,1.52,8.0,3.097356253844893,16.0,35.1211,2.5289807911794653,1.87,1.756,5.999301,14.0,50.21,1.1,2.5289807911794653,0.0,0.2816901408450704,28.9,0.0,2330.0,-31.05645435,1.81,0.712,1687.0,111.0,0.7925812272640423,2.1,302.91,0.0,29.0,17.36
mp-1184243,GaSnO3,141.0,1.52,8.0,3.3533487439392164,16.0,35.1211,2.737997784084655,1.87,1.756,5.999301,50.0,7.15,1.45,1.9360568,0.0,0.5704225352112676,28.9,0.0,7310.0,-26.99318293,1.81,0.227,505.08,139.0,0.6468600150764829,2.17,302.91,0.0,29.0,17.36
mp-5223,GdAlO3,141.0,1.52,8.0,3.1476128206175127,16.0,35.1211,3.1812012513608305,2.34,1.72,6.1498,13.0,10.71,1.25,2.922458250253372,0.9997190411141148,0.3767605633802817,50.0,0.7446964920558927,2700.0,-48.6441762475,1.2,0.897,933.47,121.0,0.9139942895439416,1.84,1585.0,0.723470337010939,11.0,17.36
mp-1178268,GdAlO3,141.0,1.52,8.0,3.234131798508295,16.0,35.1211,2.640966666755712,2.34,1.72,6.1498,13.0,10.71,1.25,2.640966666755713,1.806589587736638e-07,0.3767605633802817,50.0,1.6883436566091854e-07,2700.0,-48.26042094,1.2,0.897,933.47,121.0,0.9139942895439416,1.84,1585.0,1.688343657577426e-07,11.0,17.36
mp-753953,GdAsO3,141.0,1.52,8.0,3.935903968118849,16.0,35.1211,3.517432306929185,2.34,1.72,6.1498,33.0,24.44,1.15,3.104266151558212,0.8861993146830696,0.4084507042253521,50.0,0.9167230262017938,5727.0,-44.841443225,1.2,0.329,1090.0,119.0,0.8934294180292028,1.85,1585.0,0.7467136477681556,11.0,17.36
