material_id,Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
mp-752678,AgAuO3,141.0,1.52,8.0,3.3099241685546392,16.0,35.1211,3.305411251129795,2.11,1.87,7.57623,79.0,12.55,1.35,3.330422985008329,0.7621960876444444,0.4014084507042253,125.6,0.8918473254550031,19300.0,-20.086419435,1.93,0.129,1337.33,136.0,0.9593911101526024,2.14,1234.93,0.7584708994699123,430.0,17.36
mp-775774,AgBiO3,141.0,1.52,8.0,3.812977121171909,16.0,35.1211,3.0754026369252845,2.11,1.87,7.57623,83.0,11.106,1.6,2.7709703199436246,0.8471797406590217,0.5352112676056339,125.6,0.7695164206928261,9780.0,-24.225004095,1.93,0.122,544.4,148.0,0.8757744537631552,2.07,1234.93,0.1970754400716533,430.0,17.36
mp-23548,AgBiO3,141.0,1.52,8.0,3.699761681261193,16.0,35.1211,3.075476552388489,2.11,1.87,7.57623,83.0,11.106,1.6,2.511226336190194,0.0179769697517425,0.5352112676056339,125.6,0.1638219335204365,9780.0,-24.116355655,1.93,0.122,544.4,148.0,0.8757744537631552,2.07,1234.93,0.1605551422445234,430.0,17.36
mp-780275,AgBO3,141.0,1.52,8.0,3.121692211187259,16.0,35.1211,2.835315159190341,2.11,1.87,7.57623,5.0,50.2,0.85,2.210206690965381,0.9005738221705161,0.1901408450704225,125.6,1.0857921182023582e-07,2460.0,-29.430461155000003,1.93,1.026,2349.0,84.0,0.907941843298703,1.92,1234.93,0.3642760522333718,430.0,17.36
mp-985292,AgBO3,141.0,1.52,8.0,3.01660257450209,16.0,35.1211,2.463045688098733,2.11,1.87,7.57623,5.0,50.2,0.85,2.463045688098733,0.0,0.1901408450704225,125.6,0.0,2460.0,-24.66895321,1.93,1.026,2349.0,84.0,0.907941843298703,1.92,1234.93,0.0,430.0,17.36
mp-1178562,AgBrO3,141.0,1.52,8.0,3.487059568843452,16.0,35.1211,2.67851053018164,2.11,1.87,7.57623,35.0,5.285,1.15,2.491118723066514,1.1583913196499677e-07,0.2183098591549296,125.6,1.0700136917665097e-07,3120.0,-18.280300590000003,1.93,0.474,265.8,120.0,1.1035770573431667,1.85,1234.93,1.536063851076124e-07,430.0,17.36
mp-776199,AgClO3,141.0,1.52,8.0,3.480286191057282,16.0,35.1211,3.565637868578186,2.11,1.87,7.57623,17.0,3.2,1.0,3.2827225414622387,1.1153730887700293,0.0845070422535211,125.6,0.8341824112582903,3214.0,-19.046780490000003,1.93,0.479,171.6,102.0,1.2397326683140768,1.75,1234.93,0.7039108084310651,430.0,17.36
mp-775761,AgClO3,141.0,1.52,8.0,3.6509077668980368,16.0,35.1211,3.3464857877655825,2.11,1.87,7.57623,17.0,3.2,1.0,3.3440020552981027,1.090898202942237,0.0845070422535211,125.6,0.8820676271853036,3214.0,-19.131614335,1.93,0.479,171.6,102.0,1.2397326683140768,1.75,1234.93,0.4879904669541103,430.0,17.36
mp-27941,AgClO3,141.0,1.52,8.0,3.529797870389177,16.0,35.1211,3.421400368457459,2.11,1.87,7.57623,17.0,3.2,1.0,3.176045911643417,1.0629326285681135,0.0845070422535211,125.6,0.6774688693580877,3214.0,-19.095514035,1.93,0.479,171.6,102.0,1.2397326683140768,1.75,1234.93,0.6523898579069564,430.0,17.36
mp-1178561,AgClO3,141.0,1.52,8.0,3.432508301112195,16.0,35.1211,2.4274907147663773,2.11,1.87,7.57623,17.0,3.2,1.0,2.5860180587082318,2.2281797483337023e-08,0.0845070422535211,125.6,6.247972229327793e-08,3214.0,-18.82473365,1.93,0.479,171.6,102.0,1.2397326683140768,1.75,1234.93,6.063090445112459e-08,430.0,17.36
