Name,A_site,B_site,X_site
LaPtO3,La,Pt,O
LaReN3,La,Re,N
LaRhO3,La,Rh,O
LaRuO3,La,Ru,O
LaSbSe3,La,Sb,Se
LaScO3,La,Sc,O
LaScS3,La,Sc,S
LaSmO3,La,Sm,O
LaSnO3,La,Sn,O
LaTaN3,La,Ta,N
LaTaO3,La,Ta,O
LaTcN3,La,Tc,N
LaTiO3,La,Ti,O
LaTiS3,La,Ti,S
LaTlO3,La,Tl,O
LaTmO3,La,Tm,O
LaTmS3,La,Tm,S
LaVN3,La,V,N
LaVO3,La,V,O
LaVS3,La,V,S
LaWN3,La,W,N
LaYbO3,La,Yb,O
LaYbS3,La,Yb,S
LaYbSe3,La,Yb,Se
LaYO3,La,Y,O
LaYS3,La,Y,S
LaZnO3,La,Zn,O
LaZrO3,La,Zr,O
LiAcO3,Li,Ac,O
LiAgF3,Li,Ag,F
LiAlO3,Li,Al,O
LiAsO3,Li,As,O
LiBeH3,Li,Be,H
LiBeO3,Li,Be,O
LiBiO3,Li,Bi,O
LiBO3,Li,B,O
LiBrO3,Li,Br,O
LiCaF3,Li,Ca,F
LiCaH3,Li,Ca,H
LiCaO3,Li,Ca,O
LiCdO3,Li,Cd,O
LiCeO3,Li,Ce,O
LiCoF3,Li,Co,F
LiCrO3,Li,Cr,O
LiCuF3,Li,Cu,F
LiDyO3,Li,Dy,O
LiErO3,Li,Er,O
LiEuH3,Li,Eu,H
LiEuO3,Li,Eu,O
LiFeF3,Li,Fe,F
LiFeO3,Li,Fe,O
LiGaBr3,Li,Ga,Br
LiGaCl3,Li,Ga,Cl
LiGaI3,Li,Ga,I
LiGdO3,Li,Gd,O
LiGeO3,Li,Ge,O
LiHoO3,Li,Ho,O
LiIO3,Li,I,O
LiLaO3,Li,La,O
LiLuO3,Li,Lu,O
LiMgH3,Li,Mg,H
LiMgO3,Li,Mg,O
LiMnF3,Li,Mn,F
LiMnO3,Li,Mn,O
LiNbO3,Li,Nb,O
LiNdO3,Li,Nd,O
LiNiF3,Li,Ni,F
LiNiO3,Li,Ni,O
LiOsO3,Li,Os,O
LiPaO3,Li,Pa,O
LiPmO3,Li,Pm,O
LiPO3,Li,P,O
LiPrO3,Li,Pr,O
LiReO3,Li,Re,O
LiRuO3,Li,Ru,O
LiSbO3,Li,Sb,O
LiScI3,Li,Sc,I
LiSeO3,Li,Se,O
LiSiO3,Li,Si,O
LiSmO3,Li,Sm,O
LiSnCl3,Li,Sn,Cl
LiTaO3,Li,Ta,O
LiTcO3,Li,Tc,O
LiTiCl3,Li,Ti,Cl
LiTmO3,Li,Tm,O
LiUO3,Li,U,O
LiVF3,Li,V,F
LiVO3,Li,V,O
LiVS3,Li,V,S
LiYbO3,Li,Yb,O
LiYO3,Li,Y,O
LuAlO3,Lu,Al,O
LuBiO3,Lu,Bi,O
LuBO3,Lu,B,O
LuCoO3,Lu,Co,O
LuCrO3,Lu,Cr,O
LuFeO3,Lu,Fe,O
LuGaO3,Lu,Ga,O
LuGeO3,Lu,Ge,O
LuMgSe3,Lu,Mg,Se
LuMnO3,Lu,Mn,O
LuNiO3,Lu,Ni,O
LuNpO3,Lu,Np,O
LuPdO3,Lu,Pd,O
LuReO3,Lu,Re,O
LuRhO3,Lu,Rh,O
LuScO3,Lu,Sc,O
LuSeO3,Lu,Se,O
LuSiO3,Lu,Si,O
LuTiO3,Lu,Ti,O
LuTlO3,Lu,Tl,O
LuUO3,Lu,U,O
LuVO3,Lu,V,O
MgAgF3,Mg,Ag,F
MgAlO3,Mg,Al,O
MgBeO3,Mg,Be,O
MgBiO3,Mg,Bi,O
MgBO3,Mg,B,O
MgCO3,Mg,C,O
MgCoO3,Mg,Co,O
MgCrO3,Mg,Cr,O
MgCuO3,Mg,Cu,O
MgFeO3,Mg,Fe,O
MgGeO3,Mg,Ge,O
MgInBr3,Mg,In,Br
MgInO3,Mg,In,O
MgInS3,Mg,In,S
MgInSe3,Mg,In,Se
MgIrO3,Mg,Ir,O
MgMnO3,Mg,Mn,O
MgMoO3,Mg,Mo,O
MgNiH3,Mg,Ni,H
MgOsO3,Mg,Os,O
MgPbO3,Mg,Pb,O
MgPS3,Mg,P,S
MgPSe3,Mg,P,Se
MgReO3,Mg,Re,O
MgRhO3,Mg,Rh,O
MgRuO3,Mg,Ru,O
MgSbO3,Mg,Sb,O
MgScS3,Mg,Sc,S
MgScSe3,Mg,Sc,Se
MgSeO3,Mg,Se,O
MgSiO3,Mg,Si,O
MgSnO3,Mg,Sn,O
MgSO3,Mg,S,O
MgTiO3,Mg,Ti,O
MgTlCl3,Mg,Tl,Cl
MgTlF3,Mg,Tl,F
MgTlO3,Mg,Tl,O
MgUO3,Mg,U,O
MgVO3,Mg,V,O
MgVS3,Mg,V,S
MgWO3,Mg,W,O
MgZnO3,Mg,Zn,O
MgZrO3,Mg,Zr,O
MnAgF3,Mn,Ag,F
MnAgO3,Mn,Ag,O
MnAlO3,Mn,Al,O
MnBiO3,Mn,Bi,O
MnBO3,Mn,B,O
MnCdO3,Mn,Cd,O
MnClO3,Mn,Cl,O
MnCO3,Mn,C,O
MnCoO3,Mn,Co,O
MnCuO3,Mn,Cu,O
MnFeO3,Mn,Fe,O
MnGaO3,Mn,Ga,O
MnGeO3,Mn,Ge,O
MnInBr3,Mn,In,Br
MnInF3,Mn,In,F
MnInO3,Mn,In,O
MnNiO3,Mn,Ni,O
MnPbO3,Mn,Pb,O
MnPO3,Mn,P,O
MnPS3,Mn,P,S
MnPSe3,Mn,P,Se
MnSeO3,Mn,Se,O
MnSiO3,Mn,Si,O
MnSnO3,Mn,Sn,O
MnSO3,Mn,S,O
MnTlCl3,Mn,Tl,Cl
MnTlF3,Mn,Tl,F
MnTlI3,Mn,Tl,I
MnTlO3,Mn,Tl,O
MnVO3,Mn,V,O
MnZnO3,Mn,Zn,O
MoPbO3,Mo,Pb,O
MoRuN3,Mo,Ru,N
MoWN3,Mo,W,N
NaAgO3,Na,Ag,O
NaAlO3,Na,Al,O
NaAsO3,Na,As,O
NaBeH3,Na,Be,H
NaBeO3,Na,Be,O
NaBiO3,Na,Bi,O
NaBrO3,Na,Br,O
NaCaH3,Na,Ca,H
NaCaN3,Na,Ca,N
NaCaO3,Na,Ca,O
NaCdF3,Na,Cd,F
NaCdO3,Na,Cd,O
NaClO3,Na,Cl,O
NaCO3,Na,C,O
NaCoF3,Na,Co,F
NaCoO3,Na,Co,O
NaCrO3,Na,Cr,O
NaCuF3,Na,Cu,F
NaFeF3,Na,Fe,F
NaFeO3,Na,Fe,O
NaGeO3,Na,Ge,O
NaInO3,Na,In,O
NaIO3,Na,I,O
NaIrO3,Na,Ir,O
NaLiO3,Na,Li,O
NaMgF3,Na,Mg,F
NaMgH3,Na,Mg,H
NaMgO3,Na,Mg,O
NaMnCl3,Na,Mn,Cl
NaMnF3,Na,Mn,F
NaMoO3,Na,Mo,O
NaNbO3,Na,Nb,O
NaNiF3,Na,Ni,F
NaNiO3,Na,Ni,O
NaOsO3,Na,Os,O
NaPaO3,Na,Pa,O
NaPbO3,Na,Pb,O
NaPdF3,Na,Pd,F
NaPdO3,Na,Pd,O
NaPF3,Na,P,F
NaPO3,Na,P,O
NaPS3,Na,P,S
NaPuO3,Na,Pu,O
NaReO3,Na,Re,O
NaRuO3,Na,Ru,O
NaSbO3,Na,Sb,O
NaSeO3,Na,Se,O
NaSiO3,Na,Si,O
NaSrO3,Na,Sr,O
NaTaO3,Na,Ta,O
NaTcO3,Na,Tc,O
NaTiF3,Na,Ti,F
NaTiO3,Na,Ti,O
NaUO3,Na,U,O
NaVF3,Na,V,F
NaVO3,Na,V,O
NaWO3,Na,W,O
NaYbO3,Na,Yb,O
NaZnF3,Na,Zn,F
NaZnO3,Na,Zn,O
NbAgO3,Nb,Ag,O
NbBiO3,Nb,Bi,O
NbCrN3,Nb,Cr,N
NbCuO3,Nb,Cu,O
NbFeO3,Nb,Fe,O
NbMoN3,Nb,Mo,N
NbMoS3,Nb,Mo,S
NbMoSe3,Nb,Mo,Se
NbSeBr3,Nb,Se,Br
NbSeCl3,Nb,Se,Cl
NbSeI3,Nb,Se,I
NbTlO3,Nb,Tl,O
NbWN3,Nb,W,N
NdAlO3,Nd,Al,O
NdBeO3,Nd,Be,O
NdBiO3,Nd,Bi,O
NdBO3,Nd,B,O
NdBS3,Nd,B,S
NdCoO3,Nd,Co,O
NdCrO3,Nd,Cr,O
NdCrS3,Nd,Cr,S
NdCrSe3,Nd,Cr,Se
NdCuO3,Nd,Cu,O
NdFeO3,Nd,Fe,O
NdGaO3,Nd,Ga,O
NdGeO3,Nd,Ge,O
NdInO3,Nd,In,O
NdLuO3,Nd,Lu,O
NdLuS3,Nd,Lu,S
NdLuSe3,Nd,Lu,Se
NdMgO3,Nd,Mg,O
NdMgS3,Nd,Mg,S
NdMgSe3,Nd,Mg,Se
NdMnO3,Nd,Mn,O
NdNiO3,Nd,Ni,O
NdNpO3,Nd,Np,O
NdReO3,Nd,Re,O
NdRhO3,Nd,Rh,O
NdSbO3,Nd,Sb,O
NdScO3,Nd,Sc,O
NdScS3,Nd,Sc,S
NdTaO3,Nd,Ta,O
NdTiO3,Nd,Ti,O
NdTmS3,Nd,Tm,S
NdVO3,Nd,V,O
NdZrO3,Nd,Zr,O
NiAgF3,Ni,Ag,F
NiAsO3,Ni,As,O
NiBiO3,Ni,Bi,O
NiCO3,Ni,C,O
NiMoN3,Ni,Mo,N
NiMoO3,Ni,Mo,O
NiPbO3,Ni,Pb,O
NiPdO3,Ni,Pd,O
NiPS3,Ni,P,S
NiPSe3,Ni,P,Se
NiPtO3,Ni,Pt,O
NiRuO3,Ni,Ru,O
NiSbO3,Ni,Sb,O
NiSeO3,Ni,Se,O
NiSnO3,Ni,Sn,O
NpAlO3,Np,Al,O
NpBeO3,Np,Be,O
NpBO3,Np,B,O
NpMoO3,Np,Mo,O
NpOsO3,Np,Os,O
NpRuO3,Np,Ru,O
NpSiO3,Np,Si,O
NpSnO3,Np,Sn,O
NpTaO3,Np,Ta,O
NpTcO3,Np,Tc,O
NpTiO3,Np,Ti,O
OsPbO3,Os,Pb,O
PaAgO3,Pa,Ag,O
PaBeO3,Pa,Be,O
PaBO3,Pa,B,O
PaCoO3,Pa,Co,O
PaOsO3,Pa,Os,O
PaSiO3,Pa,Si,O
PaTaO3,Pa,Ta,O
PaTlO3,Pa,Tl,O
PbAuO3,Pb,Au,O
PbCO3,Pb,C,O
PbSeO3,Pb,Se,O
PbSO3,Pb,S,O
PCF3,P,C,F
PdSeO3,Pd,Se,O
PmBeO3,Pm,Be,O
PmErO3,Pm,Er,O
PmEuO3,Pm,Eu,O
PmInO3,Pm,In,O
PmMgO3,Pm,Mg,O
PmMgS3,Pm,Mg,S
PmMgSe3,Pm,Mg,Se
PmRuO3,Pm,Ru,O
PmTiO3,Pm,Ti,O
PmWO3,Pm,W,O
PPbO3,P,Pb,O
PPbS3,P,Pb,S
PPbSe3,P,Pb,Se
PrAlO3,Pr,Al,O
PrBeO3,Pr,Be,O
PrBiO3,Pr,Bi,O
PrBO3,Pr,B,O
PrBS3,Pr,B,S
PrCoO3,Pr,Co,O
PrCrO3,Pr,Cr,O
PrCrSe3,Pr,Cr,Se
PrCuO3,Pr,Cu,O
PrErS3,Pr,Er,S
PrFeO3,Pr,Fe,O
PrGaO3,Pr,Ga,O
PrHfO3,Pr,Hf,O
PrInO3,Pr,In,O
PrLuO3,Pr,Lu,O
PrLuS3,Pr,Lu,S
PrLuSe3,Pr,Lu,Se
PrMgS3,Pr,Mg,S
PrMgSe3,Pr,Mg,Se
PrMnO3,Pr,Mn,O
PrNbO3,Pr,Nb,O
PrNiO3,Pr,Ni,O
PrPbO3,Pr,Pb,O
PrRhO3,Pr,Rh,O
PrRuO3,Pr,Ru,O
PrScO3,Pr,Sc,O
PrScS3,Pr,Sc,S
PrTiO3,Pr,Ti,O
PrTlO3,Pr,Tl,O
PrTmS3,Pr,Tm,S
PrVO3,Pr,V,O
PuBO3,Pu,B,O
PuCrO3,Pu,Cr,O
PuCuO3,Pu,Cu,O
PuGaO3,Pu,Ga,O
PuInO3,Pu,In,O
PuIrO3,Pu,Ir,O
PuMgO3,Pu,Mg,O
PuNiO3,Pu,Ni,O
PuPbO3,Pu,Pb,O
PuPtO3,Pu,Pt,O
PuSbO3,Pu,Sb,O
PuTiO3,Pu,Ti,O
PuTlO3,Pu,Tl,O
PuVO3,Pu,V,O
RbAcO3,Rb,Ac,O
RbAgBr3,Rb,Ag,Br
RbAgCl3,Rb,Ag,Cl
RbAgF3,Rb,Ag,F
RbAgO3,Rb,Ag,O
RbAlO3,Rb,Al,O
RbAsO3,Rb,As,O
RbAuBr3,Rb,Au,Br
RbAuCl3,Rb,Au,Cl
RbAuF3,Rb,Au,F
RbAuI3,Rb,Au,I
RbAuO3,Rb,Au,O
RbBaN3,Rb,Ba,N
RbBaO3,Rb,Ba,O
RbBeH3,Rb,Be,H
RbBeN3,Rb,Be,N
RbBeO3,Rb,Be,O
RbBiF3,Rb,Bi,F
RbBiO3,Rb,Bi,O
RbBO3,Rb,B,O
RbBrO3,Rb,Br,O
RbBS3,Rb,B,S
RbBSe3,Rb,B,Se
RbCaBr3,Rb,Ca,Br
RbCaCl3,Rb,Ca,Cl
RbCaF3,Rb,Ca,F
RbCaH3,Rb,Ca,H
RbCaI3,Rb,Ca,I
RbCaO3,Rb,Ca,O
RbCdBr3,Rb,Cd,Br
RbCdCl3,Rb,Cd,Cl
RbCdF3,Rb,Cd,F
RbCdN3,Rb,Cd,N
RbCdO3,Rb,Cd,O
RbClO3,Rb,Cl,O
RbCO3,Rb,C,O
RbCoBr3,Rb,Co,Br
RbCoCl3,Rb,Co,Cl
RbCoF3,Rb,Co,F
RbCrCl3,Rb,Cr,Cl
RbCrI3,Rb,Cr,I
RbCrO3,Rb,Cr,O
RbCuBr3,Rb,Cu,Br
RbCuCl3,Rb,Cu,Cl
RbCuF3,Rb,Cu,F
RbCuO3,Rb,Cu,O
RbCuS3,Rb,Cu,S
RbDyBr3,Rb,Dy,Br
RbDyI3,Rb,Dy,I
RbDyO3,Rb,Dy,O
RbErO3,Rb,Er,O
RbEuCl3,Rb,Eu,Cl
RbFeCl3,Rb,Fe,Cl
RbFeF3,Rb,Fe,F
RbFeO3,Rb,Fe,O
RbGdO3,Rb,Gd,O
RbGeBr3,Rb,Ge,Br
RbGeCl3,Rb,Ge,Cl
RbGeI3,Rb,Ge,I
RbGeO3,Rb,Ge,O
RbHoO3,Rb,Ho,O
RbInBr3,Rb,In,Br
RbInCl3,Rb,In,Cl
RbInF3,Rb,In,F
RbInH3,Rb,In,H
RbInI3,Rb,In,I
RbInO3,Rb,In,O
RbIO3,Rb,I,O
RbIrO3,Rb,Ir,O
RbLiO3,Rb,Li,O
RbMgCl3,Rb,Mg,Cl
RbMgF3,Rb,Mg,F
RbMgH3,Rb,Mg,H
RbMgO3,Rb,Mg,O
RbMnBr3,Rb,Mn,Br
RbMnCl3,Rb,Mn,Cl
RbMnF3,Rb,Mn,F
RbMnO3,Rb,Mn,O
RbMoO3,Rb,Mo,O
RbNaO3,Rb,Na,O
RbNbO3,Rb,Nb,O
RbNiBr3,Rb,Ni,Br
RbNiCl3,Rb,Ni,Cl
RbNiF3,Rb,Ni,F
RbNiO3,Rb,Ni,O
RbNpO3,Rb,Np,O
RbOsO3,Rb,Os,O
RbPaO3,Rb,Pa,O
RbPbBr3,Rb,Pb,Br
RbPbCl3,Rb,Pb,Cl
RbPbF3,Rb,Pb,F
RbPbI3,Rb,Pb,I
RbPdBr3,Rb,Pd,Br
RbPdCl3,Rb,Pd,Cl
RbPdF3,Rb,Pd,F
RbPdO3,Rb,Pd,O
RbPO3,Rb,P,O
RbPS3,Rb,P,S
RbPSe3,Rb,P,Se
RbPtO3,Rb,Pt,O
RbPuO3,Rb,Pu,O
RbReO3,Rb,Re,O
RbRhO3,Rb,Rh,O
RbRuO3,Rb,Ru,O
RbSbO3,Rb,Sb,O
RbScBr3,Rb,Sc,Br
RbScCl3,Rb,Sc,Cl
RbSeBr3,Rb,Se,Br
RbSeO3,Rb,Se,O
RbSmI3,Rb,Sm,I
RbSmO3,Rb,Sm,O
RbSnBr3,Rb,Sn,Br
RbSnCl3,Rb,Sn,Cl
RbSnF3,Rb,Sn,F
RbSnI3,Rb,Sn,I
RbSnO3,Rb,Sn,O
RbSO3,Rb,S,O
RbSrCl3,Rb,Sr,Cl
RbSrI3,Rb,Sr,I
RbSrO3,Rb,Sr,O
RbTaO3,Rb,Ta,O
RbTbO3,Rb,Tb,O
RbTiBr3,Rb,Ti,Br
RbTiCl3,Rb,Ti,Cl
RbTiI3,Rb,Ti,I
RbTlBr3,Rb,Tl,Br
RbTlCl3,Rb,Tl,Cl
RbTlF3,Rb,Tl,F
RbTlI3,Rb,Tl,I
RbTlO3,Rb,Tl,O
RbTmBr3,Rb,Tm,Br
RbTmI3,Rb,Tm,I
RbTmO3,Rb,Tm,O
RbUO3,Rb,U,O
RbVBr3,Rb,V,Br
RbVCl3,Rb,V,Cl
RbVF3,Rb,V,F
RbVI3,Rb,V,I
RbVO3,Rb,V,O
RbWO3,Rb,W,O
RbYbBr3,Rb,Yb,Br
RbYbF3,Rb,Yb,F
RbYbI3,Rb,Yb,I
RbYbO3,Rb,Yb,O
RbYO3,Rb,Y,O
RbZnF3,Rb,Zn,F
RbZnO3,Rb,Zn,O
ReBiO3,Re,Bi,O
ReClO3,Re,Cl,O
ReMoN3,Re,Mo,N
ReSbO3,Re,Sb,O
ReWN3,Re,W,N
RhWN3,Rh,W,N
RuPbO3,Ru,Pb,O
SbAsO3,Sb,As,O
SbAuO3,Sb,Au,O
SbPbO3,Sb,Pb,O
SbPdO3,Sb,Pd,O
ScAgO3,Sc,Ag,O
ScAlO3,Sc,Al,O
ScAsO3,Sc,As,O
ScBiO3,Sc,Bi,O
ScBO3,Sc,B,O
ScCoO3,Sc,Co,O
ScCrO3,Sc,Cr,O
ScCuO3,Sc,Cu,O
ScFeO3,Sc,Fe,O
ScGaO3,Sc,Ga,O
ScInO3,Sc,In,O
ScMnO3,Sc,Mn,O
ScMoN3,Sc,Mo,N
ScPdO3,Sc,Pd,O
ScRhO3,Sc,Rh,O
ScSiO3,Sc,Si,O
ScSnO3,Sc,Sn,O
ScTiO3,Sc,Ti,O
ScTlO3,Sc,Tl,O
ScUS3,Sc,U,S
ScVO3,Sc,V,O
ScWN3,Sc,W,N
SiAgO3,Si,Ag,O
SiBiO3,Si,Bi,O
SiBO3,Si,B,O
SiCCl3,Si,C,Cl
SiGeO3,Si,Ge,O
SiMoO3,Si,Mo,O
SiPbO3,Si,Pb,O
SiPdO3,Si,Pd,O
SiPN3,Si,P,N
SiSnO3,Si,Sn,O
SmAgO3,Sm,Ag,O
SmAlO3,Sm,Al,O
SmBeO3,Sm,Be,O
SmBiS3,Sm,Bi,S
SmBO3,Sm,B,O
SmBS3,Sm,B,S
SmCoO3,Sm,Co,O
SmCrO3,Sm,Cr,O
SmCrS3,Sm,Cr,S
SmCuO3,Sm,Cu,O
SmDyO3,Sm,Dy,O
SmErO3,Sm,Er,O
SmFeO3,Sm,Fe,O
SmGaO3,Sm,Ga,O
SmGdS3,Sm,Gd,S
SmGeO3,Sm,Ge,O
SmHoO3,Sm,Ho,O
SmInO3,Sm,In,O
SmLuO3,Sm,Lu,O
SmLuSe3,Sm,Lu,Se
SmMgS3,Sm,Mg,S
SmMgSe3,Sm,Mg,Se
SmMnO3,Sm,Mn,O
SmNiO3,Sm,Ni,O
SmPuO3,Sm,Pu,O
SmRhO3,Sm,Rh,O
SmSbO3,Sm,Sb,O
SmScO3,Sm,Sc,O
SmScS3,Sm,Sc,S
SmSiO3,Sm,Si,O
SmTiO3,Sm,Ti,O
SmTlO3,Sm,Tl,O
SmTmO3,Sm,Tm,O
SmVO3,Sm,V,O
SmYO3,Sm,Y,O
SnBO3,Sn,B,O
SnCCl3,Sn,C,Cl
SnGeO3,Sn,Ge,O
SnGeS3,Sn,Ge,S
SnPbO3,Sn,Pb,O
SnPbS3,Sn,Pb,S
SnPO3,Sn,P,O
SnPS3,Sn,P,S
SnPSe3,Sn,P,Se
SrAgO3,Sr,Ag,O
SrAlH3,Sr,Al,H
SrAlO3,Sr,Al,O
SrAsO3,Sr,As,O
SrAuO3,Sr,Au,O
SrBeO3,Sr,Be,O
SrBiO3,Sr,Bi,O
SrBiSe3,Sr,Bi,Se
SrBO3,Sr,B,O
SrCaO3,Sr,Ca,O
SrCeO3,Sr,Ce,O
SrCO3,Sr,C,O
SrCoO3,Sr,Co,O
SrCrO3,Sr,Cr,O
SrCuO3,Sr,Cu,O
SrDyO3,Sr,Dy,O
SrErO3,Sr,Er,O
SrEuO3,Sr,Eu,O
SrFeO3,Sr,Fe,O
SrGeO3,Sr,Ge,O
SrPdH3,Sr,Pd,H
SrHfO3,Sr,Hf,O
SrHfS3,Sr,Hf,S
SrHoO3,Sr,Ho,O
SrInO3,Sr,In,O
SrIrO3,Sr,Ir,O
SrLiH3,Sr,Li,H
SrLiO3,Sr,Li,O
SrMgO3,Sr,Mg,O
SrMnO3,Sr,Mn,O
SrMoO3,Sr,Mo,O
SrNbO3,Sr,Nb,O
SrNdO3,Sr,Nd,O
SrNiO3,Sr,Ni,O
SrOsO3,Sr,Os,O
SrPbO3,Sr,Pb,O
SrPdO3,Sr,Pd,O
SrPrO3,Sr,Pr,O
SrPS3,Sr,P,S
SrPSe3,Sr,P,Se
SrPtO3,Sr,Pt,O
SrPuO3,Sr,Pu,O
SrReN3,Sr,Re,N
SrReO3,Sr,Re,O
SrRhO3,Sr,Rh,O
SrRuO3,Sr,Ru,O
SrSbO3,Sr,Sb,O
SrSbSe3,Sr,Sb,Se
SrScO3,Sr,Sc,O
SrSeO3,Sr,Se,O
SrSiO3,Sr,Si,O
SrSnO3,Sr,Sn,O
SrSnS3,Sr,Sn,S
SrTaO3,Sr,Ta,O
SrTbO3,Sr,Tb,O
SrTcN3,Sr,Tc,N
SrTcO3,Sr,Tc,O
SrTiO3,Sr,Ti,O
SrTiS3,Sr,Ti,S
SrTlO3,Sr,Tl,O
SrTmO3,Sr,Tm,O
SrVO3,Sr,V,O
SrWN3,Sr,W,N
SrWO3,Sr,W,O
SrYbO3,Sr,Yb,O
SrZnO3,Sr,Zn,O
SrZrO3,Sr,Zr,O
SrZrS3,Sr,Zr,S
SrZrSe3,Sr,Zr,Se
TaAgO3,Ta,Ag,O
TaAgS3,Ta,Ag,S
TaBeO3,Ta,Be,O
TaCuO3,Ta,Cu,O
TaCuS3,Ta,Cu,S
TaFeO3,Ta,Fe,O
TaInO3,Ta,In,O
TaMoN3,Ta,Mo,N
TaSnO3,Ta,Sn,O
TaTlO3,Ta,Tl,O
TaTlS3,Ta,Tl,S
TaTlSe3,Ta,Tl,Se
TaWN3,Ta,W,N
TbAlO3,Tb,Al,O
TbBeO3,Tb,Be,O
TbBO3,Tb,B,O
TbBS3,Tb,B,S
TbCO3,Tb,C,O
TbCoO3,Tb,Co,O
TbCrO3,Tb,Cr,O
TbCrSe3,Tb,Cr,Se
TbCuO3,Tb,Cu,O
TbErO3,Tb,Er,O
TbFeO3,Tb,Fe,O
TbGaO3,Tb,Ga,O
TbGdO3,Tb,Gd,O
TbGeO3,Tb,Ge,O
TbHoO3,Tb,Ho,O
TbInO3,Tb,In,O
TbLuO3,Tb,Lu,O
TbMgO3,Tb,Mg,O
TbMgS3,Tb,Mg,S
TbMgSe3,Tb,Mg,Se
TbMnO3,Tb,Mn,O
TbNiO3,Tb,Ni,O
TbOsO3,Tb,Os,O
TbRhO3,Tb,Rh,O
TbScO3,Tb,Sc,O
TbScS3,Tb,Sc,S
TbSiO3,Tb,Si,O
TbSmO3,Tb,Sm,O
TbTiO3,Tb,Ti,O
TbTmO3,Tb,Tm,O
TbVO3,Tb,V,O
TcPbO3,Tc,Pb,O
TcSnO3,Tc,Sn,O
ThBeO3,Th,Be,O
ThBO3,Th,B,O
ThCrS3,Th,Cr,S
ThCrSe3,Th,Cr,Se
ThCuO3,Th,Cu,O
ThMnSe3,Th,Mn,Se
ThMoO3,Th,Mo,O
ThPdO3,Th,Pd,O
ThReO3,Th,Re,O
ThSiO3,Th,Si,O
ThTaN3,Th,Ta,N
ThWO3,Th,W,O
TiAlO3,Ti,Al,O
TiBeO3,Ti,Be,O
TiBO3,Ti,B,O
TiCdO3,Ti,Cd,O
TiCoO3,Ti,Co,O
TiCrO3,Ti,Cr,O
TiCuO3,Ti,Cu,O
TiFeO3,Ti,Fe,O
TiGeO3,Ti,Ge,O
TiGeS3,Ti,Ge,S
TiMnO3,Ti,Mn,O
TiMoN3,Ti,Mo,N
TiMoS3,Ti,Mo,S
TiNiO3,Ti,Ni,O
TiPbO3,Ti,Pb,O
TiPN3,Ti,P,N
TiReN3,Ti,Re,N
TiSnO3,Ti,Sn,O
TiVO3,Ti,V,O
TiWN3,Ti,W,N
TiZnO3,Ti,Zn,O
TlAgBr3,Tl,Ag,Br
TlAgCl3,Tl,Ag,Cl
TlAgF3,Tl,Ag,F
TlBO3,Tl,B,O
TlBrO3,Tl,Br,O
TlBS3,Tl,B,S
TlBSe3,Tl,B,Se
TlCdBr3,Tl,Cd,Br
TlCdCl3,Tl,Cd,Cl
TlCdF3,Tl,Cd,F
TlCdI3,Tl,Cd,I
TlCdN3,Tl,Cd,N
TlClO3,Tl,Cl,O
TlCoCl3,Tl,Co,Cl
TlCoF3,Tl,Co,F
TlCoO3,Tl,Co,O
TlCrO3,Tl,Cr,O
TlCuCl3,Tl,Cu,Cl
TlCuF3,Tl,Cu,F
TlCuO3,Tl,Cu,O
TlFeBr3,Tl,Fe,Br
TlFeF3,Tl,Fe,F
TlFeI3,Tl,Fe,I
TlFeO3,Tl,Fe,O
TlGaO3,Tl,Ga,O
TlGeBr3,Tl,Ge,Br
TlGeCl3,Tl,Ge,Cl
TlGeF3,Tl,Ge,F
TlGeI3,Tl,Ge,I
TlGeO3,Tl,Ge,O
TlInCl3,Tl,In,Cl
TlIO3,Tl,I,O
TlNiCl3,Tl,Ni,Cl
TlNiF3,Tl,Ni,F
TlNiO3,Tl,Ni,O
TlPbCl3,Tl,Pb,Cl
TlPbI3,Tl,Pb,I
TlPdF3,Tl,Pd,F
TlPO3,Tl,P,O
TlPS3,Tl,P,S
TlSbO3,Tl,Sb,O
TlSiO3,Tl,Si,O
TlSnF3,Tl,Sn,F
TlSnI3,Tl,Sn,I
TlTcO3,Tl,Tc,O
TlVCl3,Tl,V,Cl
TlVO3,Tl,V,O
TlWO3,Tl,W,O
TlZnF3,Tl,Zn,F
TmAlO3,Tm,Al,O
TmBeO3,Tm,Be,O
TmBiO3,Tm,Bi,O
TmBO3,Tm,B,O
TmCoO3,Tm,Co,O
TmCrO3,Tm,Cr,O
TmFeO3,Tm,Fe,O
TmGaO3,Tm,Ga,O
TmGeO3,Tm,Ge,O
TmInO3,Tm,In,O
TmMgS3,Tm,Mg,S
TmMgSe3,Tm,Mg,Se
TmMnO3,Tm,Mn,O
TmNiO3,Tm,Ni,O
TmRhO3,Tm,Rh,O
TmScO3,Tm,Sc,O
TmSeO3,Tm,Se,O
TmTiO3,Tm,Ti,O
TmTlO3,Tm,Tl,O
TmVO3,Tm,V,O
UAlO3,U,Al,O
UBeO3,U,Be,O
UBO3,U,B,O
UCoS3,U,Co,S
UCoSe3,U,Co,Se
UCrS3,U,Cr,S
UCrSe3,U,Cr,Se
UFeS3,U,Fe,S
UFeSe3,U,Fe,Se
UIrO3,U,Ir,O
UMnSe3,U,Mn,Se
UNiS3,U,Ni,S
UNiSe3,U,Ni,Se
UPdO3,U,Pd,O
UPdSe3,U,Pd,Se
