Name,A_site,B_site,X_site
CaPSe3,Ca,P,Se
CaPtO3,Ca,Pt,O
CaReN3,Ca,Re,N
CaRhO3,Ca,Rh,O
CaRuO3,Ca,Ru,O
CaSbO3,Ca,Sb,O
CaScO3,Ca,Sc,O
CaSeO3,Ca,Se,O
CaSiO3,Ca,Si,O
CaSnO3,Ca,Sn,O
CaSnS3,Ca,Sn,S
CaTcN3,Ca,Tc,N
CaTcO3,Ca,Tc,O
CaTiO3,Ca,Ti,O
CaTlBr3,Ca,Tl,Br
CaTlCl3,Ca,Tl,Cl
CaTlF3,Ca,Tl,F
CaTlI3,Ca,Tl,I
CaTmO3,Ca,Tm,O
CaVO3,Ca,V,O
CaWN3,Ca,W,N
CaWO3,Ca,W,O
CaYO3,Ca,Y,O
CaZnO3,Ca,Zn,O
CaZrO3,Ca,Zr,O
CaZrS3,Ca,Zr,S
CdBiO3,Cd,Bi,O
CdBO3,Cd,B,O
CdCO3,Cd,C,O
CdCoO3,Cd,Co,O
CdFeO3,Cd,Fe,O
CdGeO3,Cd,Ge,O
CdInBr3,Cd,In,Br
CdIrO3,Cd,Ir,O
CdOsO3,Cd,Os,O
CdPbO3,Cd,Pb,O
CdPS3,Cd,P,S
CdPSe3,Cd,P,Se
CdRhO3,Cd,Rh,O
CdRuO3,Cd,Ru,O
CdSeO3,Cd,Se,O
CdSiO3,Cd,Si,O
CdSnO3,Cd,Sn,O
CdSO3,Cd,S,O
CdTcO3,Cd,Tc,O
CeAlO3,Ce,Al,O
CeAsO3,Ce,As,O
CeBeO3,Ce,Be,O
CeBO3,Ce,B,O
CeBS3,Ce,B,S
CeCdO3,Ce,Cd,O
CeCrO3,Ce,Cr,O
CeCrS3,Ce,Cr,S
CeCrSe3,Ce,Cr,Se
CeCuO3,Ce,Cu,O
CeDyS3,Ce,Dy,S
CeErS3,Ce,Er,S
CeFeO3,Ce,Fe,O
CeGaO3,Ce,Ga,O
CeLuO3,Ce,Lu,O
CeLuS3,Ce,Lu,S
CeMgS3,Ce,Mg,S
CeMgSe3,Ce,Mg,Se
CeMnO3,Ce,Mn,O
CeNiO3,Ce,Ni,O
CePbO3,Ce,Pb,O
CePuO3,Ce,Pu,O
CeRhO3,Ce,Rh,O
CeSbO3,Ce,Sb,O
CeScO3,Ce,Sc,O
CeScS3,Ce,Sc,S
CeTaO3,Ce,Ta,O
CeTiO3,Ce,Ti,O
CeTmO3,Ce,Tm,O
CeTmS3,Ce,Tm,S
CeVO3,Ce,V,O
CIF3,C,I,F
CoAgF3,Co,Ag,F
CoAgO3,Co,Ag,O
CoAuO3,Co,Au,O
CoBiO3,Co,Bi,O
CoBO3,Co,B,O
CoCO3,Co,C,O
CoGeO3,Co,Ge,O
CoMoN3,Co,Mo,N
CoMoO3,Co,Mo,O
CoNiO3,Co,Ni,O
CoPbO3,Co,Pb,O
CoPS3,Co,P,S
CoRhO3,Co,Rh,O
CoSbO3,Co,Sb,O
CoSeO3,Co,Se,O
CoSiO3,Co,Si,O
CoSnO3,Co,Sn,O
CoWN3,Co,W,N
CrBiO3,Cr,Bi,O
CrBO3,Cr,B,O
CrCoBr3,Cr,Co,Br
CrCoCl3,Cr,Co,Cl
CrCuO3,Cr,Cu,O
CrFeO3,Cr,Fe,O
CrGaSe3,Cr,Ga,Se
CrGeO3,Cr,Ge,O
CrInBr3,Cr,In,Br
CrInO3,Cr,In,O
CrMoO3,Cr,Mo,O
CrPbO3,Cr,Pb,O
CrPSe3,Cr,P,Se
CrRhO3,Cr,Rh,O
CrSbS3,Cr,Sb,S
CrSbSe3,Cr,Sb,Se
CrTcO3,Cr,Tc,O
CrWO3,Cr,W,O
CsAcO3,Cs,Ac,O
CsAgBr3,Cs,Ag,Br
CsAgCl3,Cs,Ag,Cl
CsAgF3,Cs,Ag,F
CsAsO3,Cs,As,O
CsAuBr3,Cs,Au,Br
CsAuCl3,Cs,Au,Cl
CsAuF3,Cs,Au,F
CsAuI3,Cs,Au,I
CsAuO3,Cs,Au,O
CsAuSe3,Cs,Au,Se
CsBaI3,Cs,Ba,I
CsBaO3,Cs,Ba,O
CsBeF3,Cs,Be,F
CsBeH3,Cs,Be,H
CsBiO3,Cs,Bi,O
CsBrO3,Cs,Br,O
CsBSe3,Cs,B,Se
CsCaBr3,Cs,Ca,Br
CsCaCl3,Cs,Ca,Cl
CsCaF3,Cs,Ca,F
CsCaH3,Cs,Ca,H
CsCaI3,Cs,Ca,I
CsCaO3,Cs,Ca,O
CsCdBr3,Cs,Cd,Br
CsCdCl3,Cs,Cd,Cl
CsCdF3,Cs,Cd,F
CsCdO3,Cs,Cd,O
CsClO3,Cs,Cl,O
CsCoCl3,Cs,Co,Cl
CsCoF3,Cs,Co,F
CsCrBr3,Cs,Cr,Br
CsCrCl3,Cs,Cr,Cl
CsCrI3,Cs,Cr,I
CsCuBr3,Cs,Cu,Br
CsCuCl3,Cs,Cu,Cl
CsDyBr3,Cs,Dy,Br
CsDyI3,Cs,Dy,I
CsEuBr3,Cs,Eu,Br
CsEuCl3,Cs,Eu,Cl
CsEuF3,Cs,Eu,F
CsEuO3,Cs,Eu,O
CsFeBr3,Cs,Fe,Br
CsFeCl3,Cs,Fe,Cl
CsFeF3,Cs,Fe,F
CsGaS3,Cs,Ga,S
CsGaSe3,Cs,Ga,Se
CsGdO3,Cs,Gd,O
CsGeBr3,Cs,Ge,Br
CsGeCl3,Cs,Ge,Cl
CsGeI3,Cs,Ge,I
CsGeO3,Cs,Ge,O
CsInBr3,Cs,In,Br
CsInCl3,Cs,In,Cl
CsInF3,Cs,In,F
CsInI3,Cs,In,I
CsIO3,Cs,I,O
CsIrO3,Cs,Ir,O
CsKO3,Cs,K,O
CsLaO3,Cs,La,O
CsMgBr3,Cs,Mg,Br
CsMgCl3,Cs,Mg,Cl
CsMgF3,Cs,Mg,F
CsMgH3,Cs,Mg,H
CsMgI3,Cs,Mg,I
CsMgO3,Cs,Mg,O
CsMnBr3,Cs,Mn,Br
CsMnCl3,Cs,Mn,Cl
CsMnF3,Cs,Mn,F
CsMnI3,Cs,Mn,I
CsMoO3,Cs,Mo,O
CSN3,C,S,N
CsNaF3,Cs,Na,F
CsNaO3,Cs,Na,O
CsNbO3,Cs,Nb,O
CsNdO3,Cs,Nd,O
CsNiBr3,Cs,Ni,Br
CsNiCl3,Cs,Ni,Cl
CsNiF3,Cs,Ni,F
CsNpO3,Cs,Np,O
CsOsO3,Cs,Os,O
CsPaO3,Cs,Pa,O
CsPbBr3,Cs,Pb,Br
CsPbCl3,Cs,Pb,Cl
CsPbF3,Cs,Pb,F
CsPbI3,Cs,Pb,I
CsPbO3,Cs,Pb,O
CsPdBr3,Cs,Pd,Br
CsPdCl3,Cs,Pd,Cl
CsPdF3,Cs,Pd,F
CsPdO3,Cs,Pd,O
CsPO3,Cs,P,O
