Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
FeBO3,Fe,B,O,,,3.0,0.27,1.42,-2
GaBO3,Ga,B,O,3.0,0.62,3.0,0.27,1.42,-2
GdBO3,Gd,B,O,3.0,1.107,3.0,0.27,1.42,-2
GeBO3,Ge,B,O,,,3.0,0.27,1.42,-2
HfBO3,Hf,B,O,4.0,0.83,3.0,0.27,1.42,-2
HoBO3,Ho,B,O,3.0,1.12,3.0,0.27,1.42,-2
InBO3,In,B,O,3.0,0.92,3.0,0.27,1.42,-2
LaBO3,La,B,O,3.0,1.36,3.0,0.27,1.42,-2
LiBO3,Li,B,O,1.0,0.92,3.0,0.27,1.42,-2
LuBO3,Lu,B,O,3.0,1.032,3.0,0.27,1.42,-2
MgBO3,Mg,B,O,2.0,0.89,3.0,0.27,1.42,-2
MnBO3,Mn,B,O,,,3.0,0.27,1.42,-2
NdBO3,Nd,B,O,,,3.0,0.27,1.42,-2
